Singer,Name,Lyric,Category
A-Lin, One Life,白雲撞進藍天 激起昨天畫面我想起你的臉好久不見 在遠方的My Friend不論晴天雨天 也會偶爾懷念一起作夢的歲月再多回味 不如面對面離很遠我們同樣經歷四個季節地球公轉自轉不管幾圈相信會回到起點One Life 會有那一天我們重逢在哪邊星空下 草原邊要狠狠聊整夜One Life 等著那一天我把信念守成約我期待 你出現就像我期待全新每一天生活忙了一點 就找回憶約會那些有你一切總能給我 新力量復原  離很遠我們同樣經歷四個季節地球公轉自轉不管幾圈相信會回到起點One Life 會有那一天我們重逢在哪邊星空下 草原邊要狠狠聊整夜One Life 等著那一天我把信念守成約我期待 你出現就像我期待全新每一天One Life 會有那一天我們重逢在哪邊星空下 草原邊要狠狠聊整夜One Life 等著那一天我把信念守成約我期待 你出現就像我期待全新每一天我準備微笑迎接你的臉,友情
A-Lin, 最好的朋友在身邊,一起笑一起哭一起鬧久別的回憶又浮現一點點一天天一年年最好的朋友在身邊一起走一起跑一起跳相聚到永遠有多好一瞬間時光轉少年老風吹葉落枝條 不眷戀  也許 多年後 我們已天各一邊難再見  莫傷感這一刻  須盡歡一起笑一起哭一起鬧最美的青春不忘掉一天天一年年一輩子最好的朋友永在心間我看見這世界 一直變妳溫暖的笑顏總是燦爛如初見幸運如我  有妳相伴舉杯飲 悲歡聚散情誼存心間,友情
A-Lin, 愛的可能,你出現我身邊 像個奇蹟發生沒想到會是你 讓我如此失魂我心中的感覺是這樣陌生快樂的牽掛在相聚的每一分曾以為我見過 所有愛的可能這一刻才明瞭 我有多麼天真想給你全世界 一刻我都不願等想要你的心 卻怕不能成真因為你有你的人生 我有我的旅程在前方還有等著你的人你會哭會笑會愛會傷神你會不會敲我的門雖然你對我的認真 我也感動萬分你終究不是屬於我的人但記得在你孤單的時候我會伸出雙手我會是你朋友到永久曾以為我見過所有愛的可能這一刻才明瞭 我有多麼天真想給你全世界 一刻我都不願等想要你的心 卻怕不能成真  因為你有你的人生 我有我的旅程在前方還有等著你的人你會哭會笑 會愛會傷神你會不會 你會不會敲我的門雖然你對我的認真 我也感動萬分你終究不是 屬於我的人屬於我的人但記得在你孤單的時候我會伸出雙手 我會是你朋友到永久因為你有你的人生 我有我的旅程在前方還有等著你的人你會哭會笑會愛會傷神會笑 你會不會敲我的門敲我的門雖然你對我的認真 我也感動萬分你終究不是屬於我的人屬於我的人但記得在你孤單的時候記得在你孤單的時候我會伸出雙手我會是你朋友 到永久,友情
A-Lin, 太太太耐斯,孩子還沒睡 拜託別鬧手遊聲太吵 狗狗在叫碗盤在洗碗槽 主婦的煩惱惱公不瞭 他先洗澡奶瓶把香水瓶 位置佔掉累得沙發睡倒 頭髮毛躁貴婦命修指甲 媽媽命沒休假 No 又打掃自己當傭人 這位太太 候命等待關心百分百 無限供應愛太太 太太太耐斯齁太太 那晚餐吃什麼太太 太太超過 太過忘我太太 太太太耐斯齁太太 也發脾氣 心軟居多對她說 太太 You're so nice  工作以及家庭 是雙胞胎這個好起來 那個又不乖家家酒 沒盡頭 比老闆難搞 孩子說不要 先生說好(好啊)靠雙手萬能 每位太太 候命等待服務百分百 上工離不開太太 太太太耐斯齁太太 那晚餐吃什麼太太 太太超過 太過忘我太太 太太太耐斯齁太太 也發脾氣 心軟居多 抱著她說太太 太太太耐斯齁太太 那晚餐吃什麼太太 太太超過 太過忘我太太 太太太耐斯齁太太 也發脾氣 心軟居多對她說 太太 You're so nice,反抗反駁反諷
A-Lin, 抱歉 我不抱歉,恨 什麼叫恨 這個單字 好陌生我只記得 一路走來 愛的人就算他們 多可恨等 雖然溫柔 還打不開 一些門雖然堅忍 沒能感動 一些人回首小半生 出道的年份以為什麼事 都有可能不怕痛 只要吻相信的奇蹟 就算沒發生笑對公審管他們 讓我們 做我們抱歉 我不抱歉每個吻 每枝箭 每張臉他們說 太真實 惹討厭戴著假面 被愛更可憐抱歉 我不抱歉你看我 肩膀上 中的箭有些傷 不一定 能還原  即使 回頭是 鮮血飛濺 選擇看見 溫暖誰 想要我難受 到最後 教會我自救誰 本來想我蒙羞 將 安全網都拿走在 懸崖盡頭我 能做的只有 大膽的開秀謝謝你的迫害 讓我進化 不眠不休抱歉 我不抱歉每個吻 每枝箭 每張臉他們說 太真實 要改編我堅持 忠於原著 一刀不剪抱歉 我不抱歉你看我 肩膀上 中的箭有些傷 不一定 能還原可是你 能把故事 說得非常 哀豔人生太苦短抱歉 我不抱歉我沒有 那種時間為愛 折騰得 兵荒馬亂抱歉 我不抱歉不管你 再問我 多少遍很榮幸 揮霍過 那幾年這部小說 不寫哀怨 只想記錄 纏綿,反抗反駁反諷
A-Lin, 笑笑的,想睡鬧鐘先按掉  心情不好要吃飽先讓脂肪飆一飆  才有機會變苗條煙味太重先落跑  車廂太擠就遲到結果既然難預料  不妨就見招過一招不懂的快來湊熱鬧  (內行的歡迎討教)我非要  總是笑笑的  (不管傻笑  還是微笑)就算大哭也算美妙  (眼淚鹹鹹的味道)我終於  還是笑笑的你呢  城門城門雞蛋糕  意思從來不知道長得高的換燈泡  頂樓空氣比較好哪個妹妹的味道  哈啦什麼我都瞭看你拿翹當耍寶  休想我會為你哭鬧笑笑的  放聲大笑笑笑的  YA YA YA,反抗反駁反諷
A-Lin, 假娃娃,鏡子裡的洋娃娃好像認識她　卻不瞭解她在美麗的包裝下有一顆心　無力在掙扎她　為愛　走進一座象牙高塔卻不知道　愛情有沒有這麼偉大為了他　討好他　變成他的她其實在　血脈裡　奔馳著一匹馬愛著他　防著他　心思太複雜只有夢裡　海角和天涯為了他　討好他　變成他的她其實在　血脈裡　奔馳著一匹馬愛著他　防著他　心思太複雜愛一個人誰敢說　是真的幸福嗎鏡子裡的假娃娃  走出房間　走出她的家外面有風吹雨打卻是她嚮往的天下她　情願　在陽光下慢慢溶化也不想作　一朵溫室的明日黃花為了他　討好他　變成他的她其實在　血脈裡　奔馳著一匹馬愛著他　防著他　心思太複雜不想作個假娃娃　No No NoCome On　Yeah　Yeah　Yeah為快樂　重新再出發　Yeah再找回　已失去的魔法為了他　討好他　變成他的她其實在　血脈裡　奔馳著一匹馬愛著他　防著他　心思太複雜愛一個人誰敢說　是真的幸福嗎一場夢　原來只是一場夢她還是　一個娃娃　一個活著的假娃娃,反抗反駁反諷
A-Lin, 麻煩下一位,陪我吃飯~聊天一副要命的臉問你愛我哪方面說不出算了算了反應慢到了極限還不如爬蟲類姊妹們要我撤退封殺你over over跟我擁抱~親嘴一副應酬的臉陪我去家庭聚會一轉眼溜了溜了耐心已到了極限衝破我的底限這次我心意已絕滅了你 over over這樣不對 你進化了沒是女人看到你都會流淚就算沒天份 用心是絕對勤能補拙的道理要會我覺得好累貼緊的唇不再觸動心扉夜包圍了心碎受夠了你無所謂麻煩下一位用力好好愛我麻煩下一位具備全職溫柔好男人來 大排長龍上一位請你讓座 Oh~  這樣不對 你進化了沒是女人看到你都會流淚就算沒天份 用心是絕對勤能補拙的道理要會我覺得好累貼緊的唇不再觸動心扉夜包圍了心碎受夠了你無所謂麻煩下一位用力好好愛我麻煩下一位具備全職溫柔好男人來 大排長龍上一位請你讓座 Oh~陪我吃飯~聊天一副要命的臉問你愛我哪方面說不出算了算了反應慢到了極限還不如爬蟲類姊妹們要我撤退封殺你over over麻煩下一位用力好好愛我麻煩下一位具備全職溫柔好男人來 大排長龍上一位請你讓座 Oh~麻煩下一位真心態度要有麻煩下一位貼心指數要夠情逢敵手 誰能到手讓愛情放手一搏 Oh,反抗反駁反諷
A-Lin, 最佳男主角,再說什麼也是感傷你的演技 永遠好自然善意視作理所當然原諒變鼓勵 你再犯你假的好逼真入戲還是看戲的太入迷在愛心酸 還自備了燈光你 是在演哪一齣反正真心 娛樂而已只在乎你 忘了自己最佳男主角就頒給你你 現在演哪一齣有完沒完 你的好戲大師級 服了你最佳男主角頒給你換個字眼也是背叛你的道歉 說得好坦然支持都是理所當然我像個粉絲 陪你玩你假的好逼真入戲還是看戲的太入迷在愛心酸 還自備了燈光你 是在演哪一齣  反正真心 娛樂而已只在乎你 忘了自己最佳男主角就頒給你你 現在演哪一齣有完沒完 你的好戲大師級 服了你最佳男主角頒給你被喜歡的人 才有資格 說什麼 我最喜歡你名義上的女主角 輸無可輸你 是在演哪一齣(演哪一齣)反正真心 娛樂而已(反正真心 娛樂而已)只在乎你 忘了自己最佳男主角就頒給你 OH你 是在演哪一齣(演哪一齣)有完沒完 你的好戲(有完沒完 你的好戲)大師級 服了你最佳男主角頒給你演戲的人啊最無情看戲的人啊最多情在愛心酸 青春早已散場,反抗反駁反諷
A-Lin, 稀有動物,物種快絕滅 好男人就要變不見世界在改變 女人開始恐慌警覺愛變珍貴 像鑽石般昂貴的刺眼誰願意拿真心兌現這個世界突然變得有一點可憐完美男人在瀕臨絕種邊緣約會總心不在焉 永遠聽成了過夜我的不安 該怎麼去遮掩這個世界突然變得有一點抱歉對的男人在別人懷裡流連他會在哪裡出現 下一秒在誰身邊或許明天 他會不會在眼前  愛避不見面 是不是在路上誤點我不想停歇 深怕錯過下個景點愛變珍貴 像鑽石般昂貴的刺眼我就要快睜不開眼這個世界突然變得有一點可憐完美男人在瀕臨絕種邊緣約會總心不在焉 永遠聽成了過夜我的不安 該怎麼去遮掩這個世界突然變得有一點抱歉對的男人在別人懷裡流連他會在哪裡出現 下一秒在誰身邊或許明天 他會不會在眼前,反抗反駁反諷
A-Lin, 算了吧,說是談戀愛 卻都是他說話不管怎麼觀察 我都像個路人甲當愛被透明化 誰還會那麼傻沒必要這麼累 就為了愛 他不值得我不習慣 太複雜愛撐不起 就放下不如就算了吧 何必苦苦掙扎不上不下 為一個他都算了吧 只是一念之差不要也罷 我說算了吧還是算了吧 都自顧不暇那就算了吧他說他再忙 也要陪我喝杯茶甜點都還沒上 卻又趕往下一攤原來我不過是 穿插的小空檔有人不懂體貼 倒是很懂抓緊時間我不習慣 太複雜愛撐不起 就放下  不如就算了吧 何必非得是他不上不下 為一個 他都算了吧 只是 一念之差不要也罷 我說算了吧 還是算了吧都自顧不暇 那就算了吧不如就算了吧 何必非得是他不痛不癢 不愛 也罷都算了吧 別等一線曙光不要逞強 我說算了吧~~不如就算了吧 何必苦苦掙扎不上不下 為一個 他都算了吧 只是 一念之差不要也罷 我說算了吧還是算了吧 都自顧不暇那就算了吧(yeah~),反抗反駁反諷
A-Lin, 吞噬蒼穹,命運星河轉如水無法無天 逍遙歲月無邊日月星辰 看光年變換不甘平凡天地間無悔風雨修仙路漫漫踏遍海角天盡頭靈界萬般劫難都付笑談又哪怕天涯路遠千渡萬劫 蒼茫無邊心魔無疆 志在吞噬蒼穹凡塵參破 渡我羽化成仙乘雲追月飛升仙界笑看風華年少時  逍遙蒼穹 前世早已定盤最是心猿難鎖 比天高御劍問天終無憾無悔風雨修仙路漫漫天荒地老也無悔縹緲仙境之中淡看雲煙逃離這人界紛擾千渡萬劫 蒼茫無邊心魔無疆 志在吞噬蒼穹凡塵參破 渡我羽化成仙乘雲追月 飛升仙界,特殊主題
A-Lin, 我很忙,不需要假期我沒地方可去不需要狂歡人群只是空虛多數的關心只是嘴上說說而已真正懂我的人是自己我的眼睛一做夢就看到你一閉上就想哭泣笑容忽然間變成奢侈品我的生活充滿了和你有關的記憶每每靠近 滿城風雨就讓我忙的瘋掉忙的累倒連哭的時間都沒有最好就讓我忙的忘掉你的懷抱 他曾帶給我的美好當有人問好不好怕傷心奪眶就咬牙說我很忙這完美的謊 完美的偽裝才讓我的痛沒人看到我的眼睛一做夢就看到你一閉上就想哭泣  笑容忽然間變成奢侈品你在哪裡 曾是每天要問你的一句我要戒斷 這種惡習就讓我忙的瘋掉忙的累倒 連哭的時間都沒有最好就讓我忙的忘掉你的懷抱 他曾帶給我的美好當有人問好不好怕傷心奪眶就咬牙說我很忙這完美的謊 完美的偽裝才讓我的痛沒人看到當一個麻痹的人那有多好心裡沒別的只有忙忙忙工作是一種抵抗一帖解藥人怎能被想念打倒當有人問好不好怕傷心奪眶就咬牙說我很忙這完美的謊 完美的偽裝才讓我的痛沒人看到,悲傷
