,Name,Lyric
0, 盡情旋轉(Turn),"作詞：姚若龍作曲：A-Lin編曲：Derrick Sepnio 張德銘、Fergus Chow 貢多傑如何從眼裡 了解一個人有沒有 不安定的靈魂如何從笑裡 決定一個人能不能 為妳摘下星辰感情像一種迷幻 哪有標準的答案就是劇情總會不停反轉 故事才浪漫任憑直覺講了算 別問甜蜜保鮮是長是短不如 勇敢 舞出連聲讚嘆嘗試最美的 旋轉別害怕暈眩帶來的茫然從曖昧的開端 戴上驚喜編織的花環雀躍單純 的眼神 多璀璨更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 如何從心裡 原諒一個人擺脫了 快窒息的鬱悶如何從夢裡 拿走一個人甩開了 太潮濕的劇本愛情像件白襯衫 一塵不染是夢幻天天穿著久了難免破損 割捨卻太難承認思念好心酸 也別縱容死灰舊情復燃越釋然 越勇敢 轉身不會太晚嘗試下一個 旋轉別害怕暈眩帶來的茫然有些人有些事 或許當時苦痛地糾纏某個未來 會是能笑著聊的 遺憾Ah~ Woo Ah~ 附送成長 就是 好遺憾
"
1, 雲與海,"夢幻西遊龍宮門派曲作詞：伊子木木作曲：伊子木木天邊的雲一望無際俯瞰那雙眺望的眼睛時間還在遠行 留下誰的腳印海面上倒影的逆鱗命中註定不能靠近愛你的事當做祕密雲的光陰海的影子好天氣多想能夠潛入海底溫柔的棲息是撫平 你心口的原因如果世間萬物能跨越能相愛也能成全雲與海和你乘風破浪化桑田 時光蔓延如果海角天涯不分開不難捱倒影終會廝守別忘了 它們的愛而 不得更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 命中註定不能靠近愛你的事當做祕密海的呼吸雲的身體 化成雨多想能夠潛入海底溫柔的棲息是撫平 你心口的原因如果世間萬物能跨越能相愛也能成全雲與海和你乘風破浪化桑田時光蔓延如果海角天涯不分開不難捱眼淚終會廝守別忘了 它們的愛而 不得如果世間萬物能跨越能相愛也能成全雲與海和你乘風破浪化桑田時光蔓延如果海角天涯不分開不難捱眼淚終會廝守別忘了 它們的愛而 不得
"
2, 一無所有時的愛情,"作詞：呂易秋@SBMS Beijing作曲：楊展鴻/佳旺編曲：鄭楠@SBMS Beijing監製：鄭楠@SBMS Beijing那場時光好慢慢到兩個人沒能察覺心酸曾一無所有只有你慷慨的溫柔終究熱情消散把痛和美滿擺進天平兩端我們最後成就是擁有共同的朋友就算時間開始吝嗇也未發現你坦誠的想自由直到你放開手才懂愛怎會圓滿恕難從容我早就習慣願望落空當流星劃過墜落更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 剩我安慰我多想要回到一無所有用力地美好從不保留在某個路口承諾過的永久一不小心就失蹤有話直說何必搪塞愛到累了就坦誠說想自由這結局本沒有一種愛從此圓滿留給時空別計較孤單有何不同當流星劃過墜落我還擁有我多想要回到一無所有用力地美好從不保留在某個路口承諾過的永久成為珍藏的感動 感謝 rlo84  提供歌詞
"
3, 遠在心中的你,"電視劇 風暴舞 插曲作詞：馬嵩惟作曲：CHOI SANGIN, KIM HADON勉強開的花，往往太難結果直到遇見你才懂，執著什麼命運很狡猾，剛讓人緊緊牽手繞到岔路口，讓戀人，又分開走每當愛要迷路的時候你總點起燈火Here you are Here you are世界太遼闊，而你總停在我心中Here you are Here you are黑夜很深，星光很弱跟著愛吧，找到我城市像迷宮，隔開深愛的感動讓連在一起的心，遠遠寂寞想念是洋蔥，靠近會讓人淚流更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 觸摸不到的，一呼吸，都在眼中每當愛要迷路的時候你總點起燈火Here you are Here you are世界太遼闊，而你總停在我心中Here you are Here you are黑夜很深，星光很弱跟著愛吧 請找到我有種痛，做著夢，不得不感受緊緊抱緊它，卻不在我懷中Here you are Here you are轉過身之後，回憶為你變成荒漠Here you are Here you are往前奔跑，仰望星空你在心中，等待著我
"
4, 旅．課,"作詞：呂易秋作曲：A-Lin、貢多杰編曲：貢多杰多吵鬧的安靜的 那幾年都看遍再自我的灑脫的 可心酸卻難免天真以為 懷念是偶發事件後來發現 其實都在 流連曾荒唐的糊塗的 談起來多經典最難捨的執迷的 卻最無法諒解當熾熱的沸騰的 又在一夜冷卻只剩孤單的 狼狽的 省略旅程還遙遠 沿途風景如詩變遷游離的溫暖 仍教我哽咽在下個終點 也許還能駐足懷緬留在時光裡 珍藏的那些更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 多激烈的糾纏的 總顯得敷衍再銘心的刻骨的 我們兩不相欠說冷漠的不堪的 誰傷得多一點不如乾脆些 別浪費時間旅程還遙遠 沿途風景如詩變遷游離的溫暖 仍教我哽咽在下個終點 也許還能駐足懷緬留在時光裡 悉心珍藏的永遠如果某一天 旅途又能回到起點我們會不會 選擇重複的體會而時間早沈默地 預示了這一切可我們總固執的 後知後覺
"
5, 雨後彩虹,"作詞：李大樂、A-Lin作曲：Fergus Chow, Derrick Sepnio編曲：Fergus Chow, Derrick Sepnio閉上眼 深呼吸 感受著看似簡單的疼痛記憶中 的午後 雨下著忍不住淚ㄧ直流浩瀚宇宙 渺小的你我別眷戀哀愁 (已過去就別再回頭)太陽終究 照亮黑暗角落踏著 雨後那道彩虹找回 遺失心中最初最簡單的自由發現 不過轉個念頭笑容 瞬間融化憂愁我快樂的生活張開手 望天空 享受著雨後天晴的 陽光很暖和微微風 吹向我 笑著說迎接全新的自我更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 浩瀚宇宙 渺小的你我別眷戀哀愁(已過去就別再回頭)太陽終究 照亮黑暗角落踏著 雨後那道彩虹找回 遺失心中最初最簡單的自由發現 不過轉個念頭笑容 瞬間融化憂愁我快樂的生活閃爍著星光的夜晚許下心願我會勇敢踏著 雨後那道彩虹找回 遺失心中最初最簡單的自由發現 不過轉個念頭笑容 瞬間融化憂愁我快樂的生活就是我快樂的生活就是我快樂的生活
"
6, 未完的眷戀,"網路劇 我與你的光年距離2 主題曲作詞：Red Anne作曲：Red Anne編曲：姚書寰(姚頭)@音樂霸中文詞：湯包(湯明憲)@音樂霸你在我懷裡沉睡著幸福得無可救藥下一秒卻幻化成雲煙世界變了調我的心被掏空之後才發現靈魂也會受傷思念是一縷香我朝思又暮想 寂寞成雙命運有多舛 多曲折幾世孤單交換值不值得炙熱的心 溫度依然滾燙冰封的愛 解開的秘密在 你手上人海中眼神交會的那瞬間等待了千年 寂寞邊界 越了線月兒彎彎 勾住彼此影子當時間彷彿靜止啊 還未完的眷戀 多美美得心碎一光年距離多遙遠遠得未來看不見天地合江水為竭更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 都阻擋不了我見你一面千年後愛不曾枯萎用心灌溉等待開花那天炙熱的心 溫度依然滾燙冰封的愛 解開的秘密在 你手上人海中眼神交會的那瞬間等待了千年 寂寞邊界 越了線月兒彎彎 勾住彼此影子當時間彷彿靜止啊 還未完的眷戀我們的愛 艱辛化作繾綣一步步 走向下個永遠一幕幕 守候摯愛的畫面不管危險 只管冒險太陽 都熄滅 愛仍然能照亮黑夜心跳終將停歇 愛仍然能超越一切人海中眼神交會的那瞬間人海中眼神交會的那瞬間等待了千年 寂寞邊界 越了線月兒彎彎 勾住彼此影子當時間彷彿靜止啊 還未完的眷戀 多美美得心碎
"
7, 恰好,"As It So Happens電影 功夫聯盟 主題曲作詞：青修作曲：阿鯤你終於要對我開口還好沒有等得太久這一個結果我已經想過 很多遍了認識你還沒有多久可一切那麼熟悉呢熟悉你的笑 距離微妙剛好模糊我心跳路邊的餐廳恰好滿座雨傘也恰好帶多回去時間 想稍稍晚點呢一切 恰好是巧合連天氣也恰好配合錯過一班一班 又一班的車等你恰好路過恰好我們同路呢白月光照影子兩個踩著步子 偷看你側面輪廓眼光中流轉的 是整片星河更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 把壞的情緒都割捨也不怕你會笑話我笑我儍儍的 笑我執著卻說會一直陪我路邊的餐廳恰好滿座雨傘也恰好帶多回去時間想稍稍晚點呢一切恰好是巧合連天氣也恰好配合錯過一班一班 又一班的車等你恰好路過恰好我們同路呢白月光照影子兩個踩著步子 偷看你側面輪廓不小心靠近了請別浪費這巧合讓我在你身旁默默想你快樂失落都能遇到我想你會愛上我 眼神恰好對視著也恰好想說點什麼此刻彩虹恰好在雨後閃爍掌心恰好溫熱想被你抱著 感謝 軟Q 啊揪  修正歌詞
"
8, 有一種悲傷,"電影 比悲傷更悲傷的故事 主題曲作詞：林孝謙作曲：張簡君偉編曲：張晁毓我不羨慕 太陽照不亮你 過往有些黑暗 我們 都一樣我太嫉妒 時光能離開得 大方不用開口 也就無需躲藏有一種悲傷是你的名字停留在我的過往陪伴我呼吸 決定我微笑模樣無法遺忘有一種悲傷是笑著與你分開 思念卻背對背張望更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 剩下倔強 剩下合照一張Oh~ Oh~成為彼此的路 多嚮往 怎會失去方向？有一種悲傷Oh~留在我過往 無法遺忘Oh~有一種悲傷是你義無反顧 讓愛成為 我身上的光給我溫暖 卻不准我遺忘有一種悲傷不想要與你分開 思念才背對背張望你是所有 你是合照一張[00:02.02]A-Lin[00:04.74][00:07.67]有一種悲傷[00:09.82][00:15.29]我不羨慕 太陽[00:20.96]照不亮你 過往[00:27.09]有些黑暗 我們 都一樣[00:35.38][00:39.20]我太嫉妒 時光[00:44.97]能離開得 大方[00:50.34]不用開口 也就無需躲藏[00:59.16][01:02.80]有一種悲傷[01:06.17]是你的名字停留在我的過往[01:12.10]陪伴我呼吸 決定我微笑模樣[01:19.15]無法遺忘[01:24.47][01:26.49]有一種悲傷[01:30.14]是笑著與你分開 思念卻背對背張望[01:38.28]剩下倔強[01:41.30]剩下合照一張[01:48.70][01:55.25]Oh~ Oh~[02:16.20]成為彼此的路 多嚮往 怎會失去方向[02:27.34][02:29.73]有一種悲傷Oh~[02:41.72]留在我過往 無法遺忘Oh~[02:53.04][02:53.66]有一種悲傷[02:57.08]是你義無反顧 讓愛成為 我身上的光[03:05.12]給我溫暖 卻不准我遺忘[03:16.15][03:17.71]有一種悲傷[03:21.33]不想要與你分開 思念才背對背張望[03:29.62]你是所有 你是合照一張 感謝 james chiu  提供動態歌詞
"
9, 一舞鍾情,"作詞：馬嵩惟作曲：張簡君偉、Oliver編曲：倪子岡、T - MA來～遊戲 通關自己 激活自信太～吸引 裝扮升級 心就炫麗Hey Hey 聽紐約上海全世界舞動回應Hey Hey 快樂像無可抵抗的地心引力來用汗水揮灑旋律 初戀實境 一舞鍾情Dancing in the sky Oh Dancing in the sky不信來跟我們一起 Dancing in the skyDancing all my life Oh Dancing all my life更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 哪來什麼可以煩心愛~舞力全開Oh~還擁有同伴愛~跟上節拍一連線 我和你 就同在愛～有你 親密炫技 心動連擊快～奮起 勇敢私訊 遇見命定Hey Hey 聽首爾北京全世界快樂共鳴Hey Hey 幸福是好友們分享最狂樂趣想要心跳超過頻率 把手牽起 一舞鍾情
"
