,Name,Lyric
0, 十七,"作詞：吳青峰作曲：吳青峰Selina：在無窮無盡之間 充滿吶喊的子夜十七歲的我們在哪 邊在未來攤開之前 期待又怕受傷害 是我和你和你說著夢想 說著心願Hebe:在有來有往之後 三種特別的語言上天選了我們圍成 圈在潮起潮落之間 將我環繞的世界 拾起許多情節 如此和諧 如此無間(S合：許多情節 如此和諧 如此無間)Ella:時間的長河 我非你們不可緣分的比喻 匯流成一首歌Hebe:那是我們 從還懵懂的青春(合：那是我們 從還懵懂的青春)變成合：最重要的人Hebe:也許經歷過聚散和離分(合：也許經歷過聚散和離分)也許嘗受過懷疑眼神(合：也許嘗受過懷疑眼神)合：我們的生命卻不斷延伸(合：我們的生命不斷延伸)更多的回憶Ella:不停誕生合：十七歲的我們Selina:更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我們的感情 不是什麼新聞(合：不是什麼新聞)Ella:你身邊也會 有珍惜你的人(合：你的人)Hebe:那是我們(合：那是我們)最想祝福的你們合：懂得 活著的快樂(合：懂得 活著的快樂)也許經歷過聚散和離分(合：也許經歷過聚散和離分)也許嘗受過懷疑眼神(合：也許嘗受過懷疑眼神)我們的生命卻不斷延伸(合：我們的生命不斷延伸)更多的回憶不停誕生一起走過了 彼此一半的 人生(合：人生)陪伴只會累積得更深Hebe:也許經歷過聚散和離分(合：聚散和離分)Selina:也許嘗受過懷疑眼神(合：懷疑眼神)Ella:我們的生命卻不斷延伸(合：不斷延伸)合：更多的回憶不停誕生啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦就一起走著走到了永恆還請你們陪我們 見證[00:08.42]S.H.E[00:10.21][00:13.33]十七[00:15.67][00:18.99]作詞：吳青峰[00:22.11]作曲：吳青峰[00:34.80][00:39.71]在無窮無盡之間 充滿吶喊的子夜[00:46.03]十七歲的我們 在哪 邊[00:52.47]在未來攤開之前 期待又怕受傷害 是我[00:59.00]和你和你說著夢想 說著心願[01:04.02][01:05.42]在有來有往之後 三種特別的語言[01:11.65]上天選了我們 圍成 圈[01:18.18]在潮起潮落之間 將我環繞的世界 拾起[01:24.59]許多情節 如此和諧 如此無間[01:29.71][01:30.85]時間的長河 我非你們不可[01:37.16]緣分的比喻 匯流成一首歌[01:42.98]那是我們 從還懵懂的青春[01:50.01]變成 最重要的人[01:55.32][01:56.91]也許經歷過聚散和離分[02:03.65]也許嘗受過懷疑眼神[02:09.99]我們的生命卻不斷延伸[02:16.00]更多的回憶 不停誕生[02:23.07][02:39.50]十七歲的我們[02:46.24][02:47.47]我們的感情 不是什麼新聞[02:53.51]你身邊也會 有珍惜你的人[02:59.63]那是我們 最想祝福的你們[03:06.39]懂得 活著的快樂[03:12.70][03:13.67]也許經歷過聚散和離分[03:20.24]也許嘗受過懷疑眼神[03:26.67]我們的生命卻不斷延伸[03:33.27]更多的回憶不停誕生[03:38.81][03:39.89]一起走過了 彼此一半的 人生[03:46.03]陪伴只會累積得更深[03:51.43][03:52.37]也許經歷過聚散和離分[03:58.52]也許嘗受過懷疑眼神[04:05.15]我們的生命卻不斷延伸[04:11.05]更多的回憶不停誕生[04:17.14][04:18.18]啦啦啦啦啦啦啦啦啦[04:41.27][04:43.73]就一起走著走到了永恆[04:49.68]還請你們陪我們 見證[05:02.85]---------------------------------------------十七作詞：吳青峰作曲：吳青峰在無窮無盡之間 充滿吶喊的子夜十七歲的我們 在哪 邊在未來攤開之前 期待又怕受傷害 是我和你和你說著夢想 說著心願在有來有往之後 三種特別的語言上天選了我們 圍成 圈在潮起潮落之間 將我環繞的世界 拾起許多情節 如此和諧 如此無間時間的長河 我非你們不可緣分的比喻 匯流成一首歌那是我們 從還懵懂的青春變成 最重要的人也許經歷過聚散和離分也許嘗受過懷疑眼神我們的生命卻不斷延伸更多的回憶 不停誕生十七歲的我們我們的感情 不是什麼新聞你身邊也會 有珍惜你的人那是我們 最想祝福的你們懂得 活著的快樂也許經歷過聚散和離分也許嘗受過懷疑眼神我們的生命卻不斷延伸更多的回憶不停誕生一起走過了 彼此一半的 人生陪伴只會累積得更深也許經歷過聚散和離分也許嘗受過懷疑眼神我們的生命卻不斷延伸更多的回憶不停誕生啦啦啦啦啦啦啦啦啦就一起走著走到了永恆還請你們陪我們 見證 感謝 ben1202  提供動態歌詞 感謝 Bubble 欣  修正歌詞
"
1, 殊途,"電視劇「仙劍雲之凡」片尾曲作詞：藍小邪作曲：鄭楠編曲：JerryC一邊用力看穿夜的黑一邊再看不懂光的明媚一邊不再計較是和非一邊想分清錯對當我以為打敗多少恨卻已為愛落得傷痕累累當我撕碎了所有虛偽真相卻又難面對怎樣選擇開始才能妥善結尾怎樣改寫命運說來才不後悔我們的殊途　還會不會同歸更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我們找到的自己究竟是誰有多少喜　有多少悲好像哭過笑過是一樣回味有多少醒　有多少醉夢是真的假的有什麼所謂怎樣選擇開始都要好好結尾怎樣改寫命運都沒理由後悔我們的殊途　管會不會同歸至少已放下自己究竟是誰[00:04.680]S.H.E[00:07.280][00:08.616]殊途[00:10.128][00:11.928]仙劍雲之凡 原聲帶[00:13.352]作詞：藍小邪[00:15.208]作曲：鄭楠[00:17.552]編曲：JerryC[00:20.432][00:29.727]一邊用力看穿夜的黑[00:37.104]一邊再看不懂光的明媚[00:44.072]一邊不再計較是和非[00:49.224]一邊想分清錯對[00:55.416][00:57.600]當我以為打敗多少恨[01:04.368]卻已為愛落得傷痕累累[01:11.512]當我撕碎了所有虛偽[01:16.024]真相卻又難面對[01:23.968][01:27.615]怎樣選擇開始才能妥善結尾[01:34.080]怎樣改寫命運說來才不後悔[01:40.904]我們的殊途　還會不會同歸[01:47.743]我們找到的自己究竟是誰[01:58.840][02:01.280]當我以為打敗多少恨[02:07.985]卻已為愛落得傷痕累累[02:14.904]當我撕碎了所有虛偽[02:20.057]真相卻又難面對[02:27.872][02:31.185]怎樣選擇開始才能妥善結尾[02:37.481]怎樣改寫命運說來才不後悔[02:44.960]我們的殊途　還會不會同歸[02:51.289]我們找到的自己究竟是誰[03:01.745][03:02.720]有多少喜　有多少悲[03:08.504]好像哭過笑過是一樣回味[03:15.473]有多少醒　有多少醉[03:21.888]夢是真的假的有什麼所謂[03:28.529][03:29.273]怎樣選擇開始都要好好結尾[03:36.153]怎樣改寫命運都沒理由後悔[03:43.361]我們的殊途　管會不會同歸[03:49.577]至少已放下自己究竟是誰 感謝 KyleHK  提供歌詞 感謝 ben  提供動態歌詞 友站連結： 田馥甄Hebe吧　
"
2, 你曾是少年,"電影 少年班 主題曲作詞：肖洋作曲：楊子樸有些時候 你懷念從前日子可天真離開時 你卻沒說一個字你只是揮一揮手 像扔掉廢紙說是人生必經的事酒喝到七分 卻又感覺悵然若失鏡子裡面 像看到人生終點或許再過上幾年 你也有張虛偽的臉難道我們是為了這樣 才來到這世上這問題來不及想每一天一年 總是匆匆忙忙你我來自湖北 四川 廣西 寧夏 河南山東 貴州 雲南 的小鎮鄉村曾經發誓 要做了不起的人卻在 北京 上海 廣州 深圳某天夜半忽然醒來 站在寂寞的陽臺只想從這無邊的寂寞中逃出來許多年前 你有一雙清澈的雙眼奔跑起來 像是一道春天的閃電想看遍這世界 去最遙遠的遠方感覺有雙翅膀 能飛越高山和海洋許多年前 你曾是個樸素的少年愛上一個人 就不怕付出自己一生更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 相信愛會永恆 相信每個陌生人相信你會成為最想成為的人習慣說謊 就是變成熟了嗎有一套房子之後 才能去愛別人嗎總是以為成功之後 就能撫平傷痕慾望邊 埋著錯過的人當青春耗盡 只剩面目可憎你我來自湖北 四川 廣西 寧夏 河南山東 貴州 雲南 的小鎮鄉村曾經發誓 要做了不起的人卻在北京 上海 廣州 深圳某天夜半忽然醒來 像被命運叫醒了它說你不能就這樣過完一生許多年前 你有一雙清澈的雙眼奔跑起來 像是一道春天的閃電想看遍這世界 去最遙遠的遠方感覺有雙翅膀 能飛越高山和海洋許多年前 我曾是個樸素的少年愛上一個人 就不怕付出自己一生相信愛會永恆 相信每個陌生人當我和世界初相見當我曾經是少年[00:00.00]S.H.E-你曾是少年[00:03.11]詞：肖洋　曲：楊子樸[00:11.18][00:15.10]有些時候 你懷念從前日子[00:20.00]可天真離開時 你卻沒說一個字[00:26.20]你只是揮一揮手 像扔掉廢紙[00:30.13]說是人生必經的事[00:32.67]酒喝到七分 卻又感覺悵然若失[00:38.84][00:39.68]鏡子裡面 像看到人生終點[00:44.60]或許再過上幾年 你也有張虛偽的臉[00:50.79]難道我們是為了這樣 才來到這世上[00:54.95]這問題來不及想[00:57.32]每一天一年 總是匆匆忙忙[01:01.96][01:03.49]你我來自[01:04.71]湖北 四川 廣西 寧夏 河南[01:06.66]山東 貴州 雲南 的小鎮鄉村[01:09.98]曾經發誓 要做了不起的人[01:14.35][01:15.82]卻在 北京 上海 廣州 深圳[01:18.11]某天夜半忽然醒來 站在寂寞的陽臺[01:22.23]只想從這無邊的寂寞中逃出來[01:26.79][01:28.13]許多年前 你有一雙清澈的雙眼[01:34.32]奔跑起來 像是一道春天的閃電[01:40.76]想看遍這世界 去最遙遠的遠方[01:46.55]感覺有雙翅膀 能飛越高山和海洋[01:52.74]許多年前 你曾是個樸素的少年[01:58.89]愛上一個人 就不怕付出自己一生[02:05.40]相信愛會永恆 相信每個陌生人[02:11.18]相信你會成為最想成為的人[02:16.48][02:21.20]習慣說謊 就是變成熟了嗎[02:26.27]有一套房子之後 才能去愛別人嗎[02:32.34]總是以為成功之後 就能撫平傷痕[02:36.11]慾望邊 埋著錯過的人[02:38.80]當青春耗盡 只剩面目可憎[02:43.42][02:45.04]你我來自[02:46.29]湖北 四川 廣西 寧夏 河南[02:48.07]山東 貴州 雲南 的小鎮鄉村[02:51.50]曾經發誓 要做了不起的人[02:55.89][02:57.68]卻在北京 上海 廣州 深圳[02:59.60]某天夜半忽然醒來 像被命運叫醒了[03:03.79]它說你不能就這樣過完一生[03:08.29][03:09.60]許多年前 你有一雙清澈的雙眼[03:15.87]奔跑起來 像是一道春天的閃電[03:22.33]想看遍這世界 去最遙遠的遠方[03:28.04]感覺有雙翅膀 能飛越高山和海洋[03:34.50]許多年前 我曾是個樸素的少年[03:40.40]愛上一個人 就不怕付出自己一生[03:46.93]相信愛會永恆 相信每個陌生人[03:52.71]當我和世界初相見[03:56.13][03:57.80]當我曾經是少年[04:00.89]微博：weibo.com/shebeyonds 感謝 Bubble  提供歌詞 感謝 成明星Beyonds  提供動態歌詞 感謝 成明星Beyonds  修正歌詞 友站連結： Beyonds' weibo　
"
3, SHERO,"首次嘗試Rock英爵搖滾曲風2010臺北國際花卉博覽會指定主題曲作詞：五月天阿信作曲：八三夭阿璞編曲：梯依恩+阿璞製作：阿信+阿璞陪自己　看煙火　陪著自己　去兜風向軟弱　說分手　自己旅行　自己夢喝一罐　冰啤酒　灌溉久違　的酒窩讓笑容　回到雙頰的粉紅那是誰說　女孩沒有ROCK'N ROLL我對我說　當最後只剩下我　誰是我英雄＊看不到　找不到　等不到　妳的　HERO　為何不　作自己　隻手撐天的　SHERO＃妳可以　我可以　為自己赴湯蹈火　的SHERO　像女王　揮舞著　驕傲披風先轉身　先自由　先說再見　先解脫世界在　他背後　原來這麼　的遼闊也堅強　也溫柔　也有緊握　的拳頭更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 去敲奏　全新生活的節奏那是誰說　女孩沒有ROCK'N ROLL我對我說　當最後只剩下我　誰是我英雄Repeat ＊ ＃在我的編年史中　寫下了一個傳說要把History　改寫成Herstory在我的回憶錄中　快樂要蔓延很久那就今天開始建造我王國　我是女王一般的SHERORepeat ＊妳可以　我可以　為自己赴湯蹈火　不再退縮不要了　不找了　不等了　誰要　HERO站出來　作自己　隻手撐天的　SHERORepeat ＃[00:00.01]歌名：SHERO[00:03.00]詞：五月天阿信　曲：八三夭阿璞　編：梯依恩+阿璞[00:05.00]歌手：S.H.E[00:07.00]專輯：SHERO[00:08.00]發行日：2010 年 3 月 26 日[00:09.00][03:00.53][03:09.23][01:09.20][01:07.03][01:05.14][00:14.53][00:12.46][00:10.27]S H E R O[02:06.39][01:11.46][00:16.71]S H E[00:18.91]陪自己　看煙火　陪著自己　去兜風[00:22.93]向軟弱　說分手　自己旅行　自己夢[00:27.58]喝一罐　冰啤酒　灌溉久違　的酒窩[00:31.65]讓笑容　回到雙頰的粉紅[01:30.92][00:36.31]那是誰說　女孩沒有ROCK'N ROLL[01:35.11][00:40.14]我對我說　當最後只剩下我　誰是我英雄[02:21.77][01:40.78][00:46.11]看不到　找不到　等不到　妳的　HERO[02:26.43][01:45.18][00:50.47]為何不　作自己　隻手撐天的　SHERO[02:48.83][01:49.69][00:54.99]妳可以　我可以　為自己赴湯蹈火　的SHERO[02:55.60][01:56.43][01:01.69]像女王　揮舞著　驕傲披風[01:13.47]先轉身　先自由　先說再見　先解脫[01:17.58]世界在　他背後　原來這麼　的遼闊[01:22.20]也堅強　也溫柔　也有緊握　的拳頭[01:26.32]去敲奏(去敲奏)　全新生活的節奏[02:08.28]在我的編年史中　寫下了一個傳說[02:10.29]要把History　改寫成Herstory[02:12.84]在我的回憶錄中　快樂要蔓延很久[02:14.79]那就今天開始建造我王國[02:17.39]我是女王一般的SHERO[02:30.99]妳可以　我可以[02:33.18]為自己赴湯蹈火(赴湯蹈火)　不再退縮[02:40.08]不要了　不找了　不等了　誰要　HERO[02:44.31]站出來　作自己　隻手撐天的　SHERO[03:06.48][03:04.31][03:02.27][03:00.54][02:04.15][02:02.11][01:59.44]S H E R O
"
4, 迫不及待,"作詞：藍小邪作曲：顏小健編曲：JerryC準時站在世界中央迫不及待釋放 我越來越燦爛的光芒不用對我吶喊 只要欣賞 Yeah還有多少節奏 等著雙手雙腳再捧場還有多少音符 準備為喉嚨去搔癢每一寸皮膚都比眼睛更需要流汗身體才會發出光不管眼色多暗 不管風聲多慌不管誰要退場 我舞步不亂準時站在世界中央更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 迫不及待釋放 我越來越燦爛的光芒不用對我吶喊 只要欣賞 Yeah隨便站在什麼地方 都要盡情綻放我為你準備好的風光 不用為我瘋狂你也一樣崇拜過的偶像 還有多少仍然是偶像堅持過的方向 還用不用再找方向不如就讓我忘掉 這個世界多混亂讓自己拼命發光就算琴弦流汗 就算琴鍵流浪就算心聲無常 用歌聲撐場[00:00.00]S.H.E-迫不及待[00:03.11]詞：藍小邪 作曲：顏小健[00:50.22]準時站在世界中央[00:51.80]迫不及待釋放[00:53.15]我越來越燦爛的光芒[00:55.56]不用對我吶喊[00:57.87]只要欣賞 Yeah[01:00.65][01:03.54]還有多少節奏[01:05.58]等著雙手雙腳再捧場[01:08.68]還有多少音符[01:11.07]準備為喉嚨去搔癢[01:14.01]每一寸皮膚[01:15.99]都比眼睛更需要流汗[01:19.26]身體才會發出光[01:24.57]不管眼色多暗[01:27.12]不管風聲多慌[01:29.73]不管誰要退場[01:32.45]我舞步不亂[01:35.80]準時站在世界中央[01:37.44]迫不及待釋放[01:38.82]我越來越燦爛的光芒[01:41.23]不用對我吶喊[01:43.48]只要欣賞 Yeah[01:46.04]隨便站在什麼地方[01:47.89]都要盡情綻放[01:49.21]我為你準備好的風光[01:51.73]不用為我瘋狂[01:53.92]你也一樣[01:56.91][02:07.36]崇拜過的偶像[02:09.37]還有多少仍然是偶像[02:12.60]堅持過的方向[02:15.03]還用不用再找方向[02:17.89]不如就讓我忘掉[02:20.40]這個世界多混亂[02:23.21]讓自己拼命發光[02:28.52]就算琴弦流汗[02:31.11]就算琴鍵流浪[02:33.65]就算心聲無常[02:36.48]用歌聲撐場[02:39.86]準時站在世界中央[02:41.41]迫不及待釋放[02:42.74]我越來越燦爛的光芒[02:45.25]不用對我吶喊[02:47.42]只要欣賞[02:49.98]隨便站在什麼地方[02:51.82]都要盡情綻放[02:53.11]我為你準備好的風光[02:55.66]不用為我瘋狂[02:57.87]你也一樣[03:00.72][03:20.48]準時站在世界中央[03:23.07]迫不及待釋放[03:24.40]我越來越燦爛的光芒[03:26.94]不用對我吶喊[03:29.14]只要欣賞[03:31.73]隨便站在什麼地方[03:33.48]都要盡情綻放[03:34.89]我為你準備好的風光[03:37.42]不用為我瘋狂[03:39.65]你也一樣-----------------------------------------------(全): 準時站在世界中央迫不及待釋放 我越來越燦爛的光芒不用對我吶喊 只要欣賞 YeahE: 還有多少節奏 等著雙手雙腳再捧場還有多少音符 準備為喉嚨去搔癢S: 每一寸皮膚都比眼睛更需要流汗身體才會發出光 Oh Oh OhH: 不管 眼色 多暗 S: 不管 風聲 多慌E: 不管 誰要 退場 H: 我舞步不亂 AhE: 準時站在世界中央迫不及待釋放 我越來越燦爛的光芒E: 不用(不用) 為我吶喊(吶喊) 只要欣賞 Yeah~H: 隨便站在什麼地方 都要盡情綻放我為你準備好的風光 不用 為我瘋狂(S:瘋狂)你也一樣(E:一樣) Yeah~(和:E)E: 崇拜過的偶像還有多少仍然是偶像堅持過的方向還用不用再找方向H: 不如就讓我忘掉這個世界多混亂(混亂)讓自己拼命發光 Oh oh oh~S: 就算 琴弦 流汗 E: 就算 琴鍵 流浪H: 就算 心聲 無常 S: 用歌聲撐場 AhH、E: 準時站在世界中央迫不及待釋放 我越來越燦爛的光芒不用 為我吶喊 只要欣賞 Yeah~(全): 隨便站在什麼地方 都要盡情綻放我為你準備好的風光 不用 為我瘋狂你也一樣 Yeah~H: Oh~E: 準時站在世界中央迫不及待釋放 我越來越燦爛的光芒S: 不用 為我吶喊 只要欣賞 Yeah~ (和:E、H)S: 隨便站在什麼地方 都要盡情綻放我為你準備好的風光 不用(H:不用) 為我瘋狂(瘋狂)(全): 你也一樣(H:一樣) Yeah~
"
5, 痛快,"電玩「新絕代雙驕」廣告曲作詞：施人誠作曲：左安安編曲：Geo痛快去愛　痛快去痛痛快去悲傷　痛快去感動生命給了什麼　我就享受什麼每顆人間煙火　全都不要錯過每一天　都是一個節慶每件事　都發生來豐富我的記憶很好奇　還有誰等著闖進我日記歡迎光臨　親愛的　請享用我的感情*痛快去愛　痛快去痛痛快去悲傷　痛快去感動生命給了什麼　我就享受什麼每顆人間煙火　全都不要錯過(痛快去感受)笑與哭　都值得用力氣更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 吻和淚　都是該裱框紀念的痕跡很樂意　每段路都有陌生人同行愛或傷害　都歡呼　都是活過的證據*(REPEAT)艷陽暴雨　不要客氣請一直　澎湃我熱切的血液我活著的目的　就是活得鮮明痛快迎接　痛快等候痛快去試探　痛快去觸碰生命安排什麼　我就感謝什麼每顆人間煙火　全都美麗了我*(REPEAT)[00:04.18][00:43.55][01:25.43][02:27.95][02:46.60]痛快去愛　痛快去痛[00:08.73][00:48.07][01:29.91][02:32.49][02:51.04]痛快去悲傷　痛快去感動[00:13.12][00:52.46][01:34.24][02:36.80][02:55.41]生命給了什麼　我就享受什麼[00:17.77][00:57.10][01:38.86][02:41.48][02:59.99]每顆人間煙火　全都不要錯過[00:25.01]每一天　都是一個節慶[00:29.72]每件事　都發生來豐富我的記憶[00:34.26]很好奇　還有誰等著闖進我日記[00:38.58]歡迎光臨　親愛的　請享用我的感情[01:01.43][03:04.37]痛快去感受[01:06.72]笑與哭　都值得用力氣[01:11.33]吻和淚　都是該裱框紀念的痕跡[01:15.95]很樂意　每段路都有陌生人同行[01:20.29]愛或傷害　都歡呼　都是活過的證據[01:44.97]艷陽暴雨[01:49.55]不要客氣[01:54.02]請一直　澎湃我熱切的血液[01:58.01]我活著的目的　就是活得鮮明[02:06.99]痛快迎接　痛快等候[02:11.62]痛快去試探　痛快去觸碰[02:16.11]生命安排什麼　我就感謝什麼[02:20.70]每顆人間煙火　全都美麗了我[03:09.92]
"
6, 遠方,"OT：How Did I Fall In Love With You作詞：施人誠作曲：Andrew Fromm/Calum Maccoll/Howie Dorough寬厚肩膀 手指乾淨而修長 笑聲像大海 眼神裡有陽光我想像你 一定就是 這樣還沒出現 就已對你愛戀 還沒遇見 就先有了思念要給我的愛 如果你還在灌溉 要我等待 我就等待北方南方 某個遠方 一定有座 愛情天堂我們用愛 幸福對方 共用一對 翅膀飛翔請找到我 到了對的時候 相遇的路口 請認出我屬於我的愛 先種在你心中 請感動我 等它成熟更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 北方南方 某個遠方 一定有座 愛情天堂我們用愛 幸福對方 共用一對 翅膀飛翔雖然偶爾會孤單 雖然等候太漫長 萬一青春太短Woo~但是只要看遠方 就能再堅定信仰 只有最好的你能　給最好的愛北方南方 某個遠方 一定有座 愛情天堂我們用愛 幸福對方 共用一對 翅膀飛翔我很確定 不遠遠方 會有我們 愛的天堂心會溫暖 笑會燦爛 風沙星辰 永遠相伴
"
7, 還我,"作詞：徐旻鈴作曲：劉寅用你吻過的嘴 吞下自己的淚這樣應該算是兩不相欠你殘留的氣味 讓寂寞去溶解慢慢迎接沒關聯的明天還你 相信過的承諾 美麗過的美夢心突然好空 有沒有什麼要還我被退還的以後 被償還的愧疚我都不要了 請把快樂還我還原每個從前 清掉你的細節還給自己沒愛過的昨天曾奉陪的時間 拿時間來銷毀可是回憶應該放誰那邊更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 還你 相信過的承諾 美麗過的美夢心突然好空 有沒有什麼要還我被退還的以後 被償還的愧疚我都不要了 請把快樂還我還我 你沒收的承諾 你捲走的美夢我心裡好空 為什麼你還不還我被退還的以後 被償還的愧疚我都不要了 請把我還給我還原每個從前 清掉你的細節還給自己沒愛過的昨天[00:00.50]S.H.E-還我[00:05.61][00:08.61]詞:徐旻鈴[00:13.68]曲:劉寅[00:18.61][00:34.04]用你吻過的嘴[00:37.90]吞下自己的淚[00:41.72]這樣應該[00:43.67]算是兩不相欠[00:47.40][00:48.38]你殘留的氣味[00:52.42]讓寂寞去溶解[00:56.46]慢慢迎接[00:58.49]沒關聯的明天[01:02.33][01:05.65]還你[01:08.05]相信過的承諾[01:11.69]美麗過的美夢[01:15.44]心突然好空[01:18.16]有沒有什麼要還我[01:22.48][01:23.00]被退還的以後[01:26.39]被償還的愧疚[01:30.07]我都不要了[01:32.93]請把快樂還我[01:37.89][01:52.82]還原每個從前[01:56.25]清掉你的細節[02:00.10]還給自己[02:02.17]沒愛過的昨天[02:05.42][02:07.70]曾奉陪的時間[02:11.14]拿時間來銷毀[02:14.90]可是回憶[02:16.89]應該放誰那邊[02:20.05][02:20.80]還你[02:22.29]相信過的承諾[02:26.32]美麗過的美夢[02:30.05]心突然好空[02:32.95]有沒有什麼要還我[02:36.82][02:37.42]被退還的以後[02:41.13]被償還的愧疚[02:44.80]我都不要了[02:47.63]請把快樂還我[02:52.40][03:19.62]還我[03:21.87]你沒收的承諾[03:25.46]你捲走的美夢[03:29.14]我心裡好空[03:32.06]為什麼你還不還我[03:35.88][03:36.54]被退還的以後[03:40.19]被償還的愧疚[03:43.75]我都不要了[03:46.69]請把我還給我[03:52.09][03:54.80]還原每個從前[03:58.28]清掉你的細節[04:01.95]還給自己[04:04.05]沒愛過的昨天------------------------------------------------E: 用你吻過的嘴 吞下自己的淚這樣應該算是兩不相欠H: 你殘留的氣味 讓寂寞去溶解慢慢迎接沒關聯的明天S: 還你 相信過的承諾 美麗過的美夢心突然好空 有沒有什麼要還我E: 被退還的以後 被償還的愧疚我都不要了 請把快樂還我H: 還原每個從前 清掉你的細節還給自己沒愛過的昨天 (E:Oh~)S: 曾奉陪的時間 拿時間來銷毀可是回憶應該放誰那邊(全): 還你 相信過的承諾 美麗過的美夢心突然好空 有沒有什麼要還我被退還的以後 被償還的愧疚我都不要了 請把快樂還我S: 還我 你沒收的承諾 你捲走的美夢(E:你捲走美夢)我心裡好空 (全): 為什麼你還不還我(H:Oh~)(全): 被退還的以後 被償還的愧疚(被償還愧疚)我都不要了 請把我還給我E: 還原每個從前 清掉你的細節還給自己沒愛過的昨天 感謝 音璃  提供動態歌詞
"
8, Belief,"台視愛情大魔咒片尾曲作詞：施人誠作曲：左安安編曲：洪敬堯我知道每陣風　吹著吹著就停息也知道每朵雲　飄著飄著就散去But I believe, but I believe因為我們　我們有愛情我相信我和你　一定會有結局任時光再侵襲　擁抱一樣堅定這世界有太多　會消逝的美麗更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 但你是你　so I believe(但你是你　所以我相信　so I believe)就像是每條河　總會流到海裡去你知道我的心　也只願意奔向你我說愛你　就是愛你這是真理　永遠別懷疑真心會給人力氣　穿越過所有距離帶領我們走進永遠裡　Ah~~ Ah~~ Ah~~
"
9, 厚臉皮(Ella),"Ella愛的創作曲作詞：Ella 陳嘉樺作曲：Ella 陳嘉樺編曲：王治平製作人：王治平厚臉皮 我怎麼會 那麼愛你謝謝你 厚著臉皮 約我出去感謝自己 和你一樣 厚著臉皮不等你說 WOULD YOU MARRY ME就說 我願意因為你 早睡早起 準備餐桌上的 東西因為你 相信緣分 不是電視劇裡的劇情不可思議 那麼愛你上天派來 愛我ㄟ男兒 哇麻愛你感謝上帝 我真感謝你到末日那天我都會 用力的愛著你更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 厚臉皮 你總是逗得我開心謝謝你 愛我更勝過你自己感謝神經夠細膩所以懂你生活裡有大小的問題我挺你到底噠噠滴滴噠噠 你用心唱到破音只因為你想看我 大聲笑出一個仙境不可思議 那麼愛你上天派來 愛我ㄟ男兒 哇麻愛你感謝上帝 我真感謝你到末日那天我都會 用力的愛著你不可思議 那麼愛你上天派來愛我的男子我也愛你感謝上帝 我真感謝你到末日那天我都會用力的愛著你
"
