,Name,Lyric
0, 青空未來,"電影 盛夏未來 主題曲作詞：阿信作曲：阿信編曲：蔡巽洋、盧鈞右下雨了 雨停了 天晴了 又黑了天空從不為誰而蔚藍時光從不為誰而等待而你 只能為你自己存在你迂迴 你徘徊 你期待 你深愛用盡一場青春的混亂提煉一個渴望的答案而你 是否依然敢瘋敢愛明天就會明白如果你 如果我 如果回頭看會發現 我們像 貪玩的小孩更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 像未來 不再來 像是沒有明天 的去愛如果你 如果我 如果能重來會不會 還依然 像當初勇敢讓無悔的青空有無垠未來誰來過 誰離開 誰和你 留下來一生要有多少的輾轉才能走到幸福的彼岸才能 活得此生無恨無憾平凡卻不平淡[00:00.84][ 青空未來 ][00:05.17]詞 Lyrics : 五月天阿信[00:08.16]曲 Composed  : 五月天阿信[00:10.99]演唱 : 五月天阿信[00:15.80]下雨了  雨停了[00:23.20]天晴了  又黑了[00:29.36]天空從不為誰而蔚藍[00:32.69]時光從不為誰而等待[00:36.44]而你  只能為你自己存在[00:45.20]你迂迴  你徘徊[00:52.24]你期待  你深愛[00:58.32]用盡一場青春的混亂[01:01.95]提煉一個渴望的答案[01:05.45]而你  是否依然敢瘋敢愛[01:11.04]明天就會明白[01:12.59]如果你  如果我   如果回頭看[01:16.31]會發現  我們像   貪玩的小孩[01:20.15]像未來  不再來   像是沒有明天 的去愛[01:27.51]如果你  如果我   如果能重來[01:30.98]會不會  還依然   像當初勇敢[01:36.50]讓無悔的青空[01:38.30]有無垠未來[01:44.47]更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網[01:55.09]誰來過  誰離開[02:03.39]誰和你  留下來[02:09.22]一生要有多少的輾轉[02:13.09]才能走到幸福的彼岸[02:16.63]才能  活得此生無恨無憾[02:22.10]平凡卻不平淡[02:23.88]如果你  如果我   如果回頭看[02:27.32]會發現  我們像   貪玩的小孩[02:31.14]像未來  不再來   像是沒有明天 的去愛[02:38.53]如果你  如果我   如果能重來[02:41.94]會不會  還依然   像當初勇敢[02:45.59]讓無悔的青空[02:47.80]有無垠未來[02:55.00]更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網[03:07.40]如果你  如果我   如果回頭看[03:10.88]會發現  我們像   貪玩的小孩[03:14.86]像未來  不再來   像是沒有明天 的去愛[03:22.08]如果你  如果我   如果能重來[03:25.71]會不會  還依然   像當初勇敢[03:33.00]讓無悔的青空[03:35.00]有無垠未來[03:41.55]更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網[03:55.55]台中五迷-品睿  製作提供 感謝 菲妮克斯 台中五迷 - 品睿  提供歌詞 感謝 台中五迷 - 品睿  提供動態歌詞
"
1, 因為你 所以我,"作詞：阿信作曲：阿信編曲：于京延人群 煙火 香檳和氣球是你 帶我 從派對逃走逃離 人間 耳語和騷動這裡 只有 你我和星空你是 何時 靜靜靠近我你是 何時 偷偷拯救我在我 掌心 放了 一顆糖果人類 為何 都愛看天空背上 卻都 有一對傷口生在 這個 凡人的星球是否 不配 作天使的夢你將 你的 翅膀給了我帶我 穿越 狼群和鏡頭讓我 能夠 品嚐 片刻自由因為你 所以我 愛上那 片天空天空下 我在祈求 那是你 牽著我更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 最深刻 的故事 最永恆 的傳說不過 是你 是我 能夠 平凡生活因為你 所以我 所以我 不退縮再不願 這一生中 有遺憾 不反駁不再聽 別人說 不在乎 誰能懂只因 世界 再大 不過 你和我用最小回憶 堆成宇宙人生 只是 須臾的剎那人間 只是 天地的夾縫人們 何苦 要活成修羅活在 執著 對錯的牢籠是你 幫我 停下了沙漏是你 教我 別害怕闖禍是你 讓我 活得 與眾不同[00:01.19]五月天[00:13.16]因為你 所以我[00:24.13]作詞：阿信[00:27.42]作曲：阿信[00:27.42]編曲：于京延[00:29.62]五月天 因為你 所以我[00:31.43]人群 煙火 香檳和氣球[00:35.07]是你 帶我 從派對逃走[00:38.16]逃離 人間 耳語和騷動[00:41.28]這裡 只有 你我和星空[00:44.46]你是 何時 靜靜靠近我[00:47.55]你是 何時 偷偷拯救我[00:50.74]在我 掌心 放了 一顆糖果[00:55.69][00:57.11]人類 為何 都愛看天空[01:00.23]背上 卻都 有一對傷口[01:03.26]生在 這個 凡人的星球[01:06.42]是否 不配 作天使的夢[01:09.68]你將 你的 翅膀給了我[01:12.71]帶我 穿越 狼群和鏡頭[01:15.95]讓我 能夠 品嚐 片刻自由[01:21.89]因為你 所以我 愛上那 片天空[01:27.67]天空下 我在祈求 那是你 牽著我[01:34.13]最深刻 的故事 最永恆 的傳說[01:40.54]不過 是你 是我 能夠 平凡生活[01:47.75]人生 只是 須臾的剎那[01:50.75]人間 只是 天地的夾縫[01:53.78]人們 何苦 要活成修羅[01:56.90]活在 執著 對錯的牢籠[02:00.13]是你 幫我 停下了沙漏[02:03.26]是你 教我 別害怕闖禍[02:06.35]是你 讓我 活得 與眾不同[02:12.11]因為你 所以我 愛上那 片天空[02:18.36]天空下 我在祈求 那是你 牽著我[02:24.64]最深刻 的故事 最永恆 的傳說[02:31.44]不過 是你 是我 能夠 平凡生活[02:37.35]因為你 所以我 所以我 不退縮[02:43.23]再不願 這一生中 有遺憾 不反駁[02:49.93]不再聽 別人說 不在乎 誰能懂[02:56.17]只因 世界 再大 不過 你和我[03:00.17]用最小回憶 堆成宇宙[03:15.52]因為你 所以我 愛上那 片天空[03:21.42]天空下 我在祈求 那是你 牽著我[03:27.86]最深刻 的故事 最永恆 的傳說[03:34.29]不過 是你 是我 能夠 平凡生活[03:40.31]因為你 所以我 所以我 不退縮[03:46.44]再不願 這一生中 有遺憾 不反駁[03:53.01]不再聽 別人說 不在乎 誰能懂[03:59.37]只因 世界 再大 不過 你和我[04:03.48]用最小回憶 堆成宇宙 感謝 anqi  提供歌詞 感謝 JG  提供動態歌詞 感謝 比兒 op1984 正太控  修正歌詞
"
2, 溫柔 #MaydayBlue20th,"TENDERNESS #MaydayBlue20thfeat. 孫燕姿作詞：阿信作曲：阿信編曲：賴暐哲、五月天走在風中 今天陽光 突然好溫柔天的溫柔 地的溫柔 像你抱著我然後發現 你的改變 孤單的今後如果冷 該怎麼度過天邊風光 身邊的我 都不在你眼中你的眼中 藏著什麼 我從來都不懂沒有關係 你的世界 就讓你擁有不打擾 是我的溫柔更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 不知道 不明瞭 不想要 為什麼 我的心明明是想靠近 卻孤單到黎明不知道 不明瞭 不想要 為什麼 我的心那愛情的綺麗 總是在孤單裡再把我的最好的愛給你不知不覺 不情不願 又到巷子口我沒有哭 也沒有笑 因為這是夢沒有預兆 沒有理由 你真的有說過如果有 就讓你自由這是我的溫柔 這是我的溫柔讓你自由
"
3, 派對動物(Life Live),"作詞：阿信作曲：阿信編曲：五月天 + 阿璞 (八三夭)Let's go party party all nightoh oh oh ohHey lonely lonely goodbyeoh oh oh oh我們都有覺悟  要瘋狂到日出我們  天生  就是我很嚴肅  這不能耽誤  這不能讓步那現實中  已經有太多讓步Hey 派對動物  別找退路不會跳舞  就不要跳舞  搖擺也幸福就閉著眼  以空氣吉他飆速Hey 派對動物  不要認輸你不孤獨  朋友滿屋瘋狂胡鬧  瘋狂慶祝Let's go party party all nightoh oh oh ohAnd many many good timesoh oh oh oh不願被當寵物 寧願變成怪物 噢噢oh oh oh oh入不敷出  水電和房租  成績和任務這泡沫般  人生是那麼辛苦Hey 派對動物  是否麻木你忘了笑  還忘了能哭  本性被馴服更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 花兩億年  進化卻沒有進步Hey 派對動物  無論你是貓咪老虎  麻雀蝙蝠都要驕傲  都要大步Let's go party party all nightoh oh oh ohAnd many many good timesoh oh oh oh不願被當寵物  寧願變成怪物  噢噢oh oh oh ohLet's go party party all nightoh oh oh ohHey lonely lonely goodbyeoh oh oh oh我們都有覺悟  要瘋狂到日出我們  天生  就是  派對動物Let's go party party all nightoh oh oh ohAnd many many good timesoh oh oh oh「人生難得糊塗  偶爾脫軌演出」噢噢 oh oh oh ohLet's go party party all nightoh oh oh ohHey lonely lonely goodbyeoh oh oh oh「我們都有覺悟  要瘋狂到日出」我們  天生  就是  派對動物
"
4, 最好的一天(Life Live),"作詞：阿信作曲：石頭編曲：五月天 + 陳建騏閉上眼  請你閉上眼問自己  無數平凡  日子裡面選出  你生命中  最好的那一天再問你  最糟的那天或許也  留下什麼  讓你改變後來  你轉了念貧瘠小行星  種一棵玫瑰困在囚房裡  聽見音樂你開起了演唱會把相親對象  組成球隊去奪下那世界盃也許是那天！更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 最好的一天  最好的那一天噢噢噢噢噢  噢噢噢噢噢噢龐大或卑微  恆久或瞬間人間的罣礙  都是相對你懷念昨天  或期待明天或是任何  還呼吸  還生存的每個最好的今天In my life, best day, any day, best day噢噢噢噢噢  噢噢噢噢噢噢噢噢噢噢噢  噢噢噢噢噢噢噢噢噢噢噢  噢噢噢噢噢噢
"
5, 入陣曲(Life Live),"作詞：阿信作曲：怪獸編曲：五月天 + 黃少雍 + 徐平當一座城牆 只為了阻擋 所有自由渴望當一份信仰 再不能抵抗 遍地戰亂饑荒蘭陵撩亂茫  天地離人忘無畏孤塚葬  只怕蒼生殤夜未央  天未亮  我在倖存的沙場只盼望  此生再  奔向思念的臉龐淚未乾  心未涼  是什麼依然在滾燙入陣曲  伴我無悔的狂妄當一份真相 隻手能隱藏 直到人們遺忘寫一頁莽撞 我們的篇章 曾經如此輝煌丹青千秋釀  一醉解愁腸無悔少年枉  只願壯志狂夜未央  天未亮  我在倖存的沙場更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 只盼望  此生再  奔向思念的臉龐淚未乾  心未涼  是什麼依然在滾燙入陣曲  伴我無悔的狂妄忘不記  原不諒  憤恨無疆肅不清  除不盡  魑魅魍魎幼無糧  民無房  誰在分贓千年後  你我都  仍被豢養夜未央  天未亮  我在倖存的沙場只盼望  此生再  奔向思念的臉龐淚未乾  心未涼  是什麼依然在滾燙入陣曲  四面楚歌誰獨唱夜已央  天已亮  白晝隱沒了星光像我們  都終將  葬身歷史的洪荒當世人  都遺忘  我血液曾為誰滾燙入陣曲  伴我無悔的狂妄入陣去  只因恨鐵不成鋼
"
6, 後來的我們(Life Live),"作詞：阿信作曲：怪獸編曲：五月天 + 百田留衣然後呢他們說你的心  似乎痊癒了也開始有個人  為你守護著我該心安或是  心痛呢？然後呢其實我的日子  也還可以呢除了回憶肆虐  的某些時刻慶幸還有眼淚  衝淡苦澀而那些昨日  依然繽紛著它們都有我  細心收藏著也許你還記得  也許你都忘了也不是那麼  重要了只期待  後來的你  能快樂那就是  後來的我  最想的後來的我們  依然走著只是不再並肩了朝各自的人生  追尋了親愛的回憶我們共同  走過的曲折是那些帶我們  來到了這一刻讓珍貴的人生  有失有得更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 用新的幸福  把遺憾包著就這麼朝著  未來前進了有再多的不捨  也要狠心割捨「別回頭看我  親愛的」只期待  後來的你  能快樂那就是  後來的我  最想的後來的我們  依然走著只是不再並肩了朝各自的人生  追尋了無論是  後來故事  怎麼了也要讓  後來人生  精彩著後來的我們  我期待著淚水中能看到  你真的  幸福快樂「在某處  另一個你  留下了」「在那裡  另一個我  微笑著」另一個我們  還深愛著代替我們永恆著「如果能這麼想  就夠了」無論是  後來故事  怎麼了也要讓  後來人生  值得後來的我們  我期待著淚水中能看到  你真的  自由了
"
7, 超人(Life Live),"作詞：阿信作曲：阿信、于京延、冠佑編曲：五月天 + 周恆毅世界如果被殘酷攻擊只要給我一個電話亭把內褲當外衣  如果你能夠開心展開披風  帶你飛行誰賜予我這一身  無助的能力神也不能阻擋  你想離開的心為什麼拯救地球  是那麼容易為什麼束手無策啊  我和你的愛情為什麼我能飛天  也能夠遁地為什麼我卻沒辦法  長驅直入你的心曾經你讚美我手臂  逛街多能提日日夜夜貼身保護你更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 最凶狠的怪獸  也不能與我為敵那為何害怕你的淚滴我給了我這一幕  難堪的結局誰要這樣超人  連自己也救不起為什麼拯救地球  是那麼容易為什麼束手無策啊  我和你的愛情為什麼我能飛天  也能夠遁地為什麼我卻沒辦法  長驅直入你的心為什麼拯救地球  是那麼容易為什麼束手無策啊  我和你的愛情為什麼拯救地球  終於完美結局為什麼 我只能夠 眼看著愛燃燒成 灰燼世界如果被殘酷攻擊 誰來接手我的超能力
"
8, 你不是真正的快樂(Life Live),"作詞：阿信作曲：阿信編曲：五月天 + 于京延人群中哭著  你只想變成透明的顏色你再也不會夢  或痛  或心動了你已經決定了  你已經決定了你  靜靜  忍著  緊緊把昨天在拳心握著而回憶越是甜  就是  越傷人了越是在  手心留下密密麻麻  深深淺淺的刀割你不是真正的快樂你的笑只是你穿的保護色你決定不恨了  也決定不愛了把你的靈魂  關在永遠鎖上的軀殼這世界  笑了  於是你合群的一起笑了當生存是規則  不是你的選擇於是你含著眼淚更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 飄飄盪盪  跌跌撞撞的走著你不是真正的快樂你的笑只是你穿的保護色我站在你左側  卻像隔著銀河難道就真的  抱著遺憾  一直到老了然後才後悔著你不是真正的快樂你的笑只是你穿的保護色你決定不恨了  也決定不愛了把你的靈魂  關在永遠鎖上的軀殼你值得真正的快樂你應該脫下你穿的保護色為什麼失去了  還要被懲罰呢能不能就讓悲傷全部  結束在此刻重新開始活著
"
9, 好好(想把你寫成一首歌)(Life Live),"作詞：阿信作曲：阿信、冠佑編曲：五月天想把你寫成一首歌  想養一隻貓想要回到每個場景  撥慢每隻錶我們在小孩和大人的轉角蓋一座城堡我們好好  好到瘋掉像找回失散多年雙胞生命再長不過  煙火  落下了眼角世界再大不過  你我  凝視的微笑在所有流逝風景與人群中 你對我最好一切好好  是否太好  沒有人知道你和我背著空空的書包逃出名為日常的監牢忘了要長大忘了要變老忘了時間有腳最安靜的時刻  回憶  總是最喧囂更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 最喧囂的狂歡  寂寞  包圍著孤島還以為馴服想念能陪伴我 像一隻家貓它就窩在  沙發一角  卻不肯睡著你和我曾有滿滿的羽毛跳著名為青春的舞蹈不知道未來不知道煩惱不知那些日子  會是那麼少時間的電影  結局才知道原來大人已沒有童謠最後的叮嚀最後的擁抱我們紅著眼笑「我們都要把自己照顧好」好到遺憾無法打擾好好的生活好好的變老好好假裝我  已經把你忘掉
"
