,Name,Lyric
0, After The Rain,"作詞：林俊傑作曲：林俊傑DecemberRunning in the rainChasing down those memories of usWashed awayDo you rememberHow we were togetherHappiness came easyWith your hand in mineI'm going underwaterI'm feeling needles cut throughI see my world getting darkerDrowning the whispersGiven up on the truthWill you take me awayAfter the rainInto a place we'll never have toBear any painWill it ever be the sameWill you feel my embraceNo more sleepless nightsAnd empty daysTake me awayAfter the rainAnd maybe we'll be standing with each otherHand in hand更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 Start believing thatDreams come trueI see you smiling through your eyesI look at pictures of youWe won't give up on each otherEven if it's the last thing that I'll doWill you take me awayAfter the rainInto a place we'll never have toBear any painWill it ever be the sameWill you feel my embraceNo more sleepless nightsAnd empty daysTake me awayAfter the rainAnd maybe we'll be standing with each otherHand in handStart believing thatPrayers come trueSomewhere out thereSomeone's waiting for youI'm sure 感謝 Serendipity  修正歌詞
"
1, 裹著心的光,"Light Of Sanctuary作詞：易家揚作曲：林俊傑光 拿烏雲揉成團像鯨魚吻著浪叫我 和你 去飛翔人 老無語後落單別跟丟了天空 沙灘掙脫 回憶 壯膽裹著心的光 很暖 與你 有關有夢就聽得到 用愛呼應感嘆心裡裹著光 的人 世界 很寬出發就走得到 來時路不會被 剪斷當 那無名領頭羊替明天找希望說嘿 有我 別心慌來 學螢火蟲冥想更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 在昏暗中靜默 發亮是否 有夢 當然裹著心的光 很響 說了 別慌它說孤單很好 信念創造不凡心裡裹著光 的人 初衷 不換誓言讓心不老 帶那些夢探索 遠方一路有雨 也有霜 月落無題江南如我面對太陽 如你追希望一諾冒險 就得闖 單板翻越冰川未來不缺翅膀 冰雨和悶雷 別管裹著心的光 很響 說了 別慌它說孤單很好 信念創造不凡心裡裹著光 的人 初衷 不換誓言讓心不老 帶那些夢探索 遠方問那些年的夢 有多燙 感謝 Serendipity 月  提供歌詞
"
2, While I Can,"作詞：Daniel Padilla、 林俊傑、 張懷秋、 Joshua Kissiah Cumbee、 Ramiro Padilla作曲：Daniel Padilla、 林俊傑、 張懷秋、 Joshua Kissiah Cumbee、 Ramiro Padilla編曲：Ramiro Padilla, Daniel Padilla, Fernando GaribayI've been waking up inside a wonderland I don't know醒在陌生的奇境High above the clouds now we're the ones who cast the shadows在雲端之上營造腳下的倒影Don't let me fall asleep別讓我入睡Don't let me disbelieve別讓我拒絕相信You gotta be the one to keep me focused你是我專注的源泉Tear my heart open敞開我的內心世界I've never felt this way這種感覺前所未有Swear you could change my name我甚至願意為你改變姓名You're gonna be the reason I'm unbroken我得以完好無缺全因有你I'm gonna hold you while I can所能之際  緊抱你Cos you got me feeling things I don't understand你讓我感受到了自己也參不透的情緒I'll give up my pride and all my plans我願為你放棄一切尊嚴與規劃Every second here with you is like falling sand和你相處的每一秒飛逝如流沙The more I hold you the more I lose you the more I know越是擁有  越是失去  我越來越明白Nothing lasts we're frames of glass that break like bones我們易碎如玻璃   一切終究成空It don't matter if all this shatters all this goes雖然如此我依然願意粉身碎骨I'll take that chance我願冒險I'm gonna hold you while I can所能之際  緊抱你I can't take this我無法承受I keep slipping back不斷重蹈覆轍These old habits can't die too fast難以擺脫舊患Don't let me fall asleep別讓我入睡更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 Don't let me disbelieve別讓我拒絕相信You gotta be the one to keep me focused你是我專注的源泉Tear my heart open敞開我的內心世界I've never felt this way這種感覺前所未有Swear you could change my name我甚至願意為你改變姓名You're gonna be the reason I'm unbroken我得以完好無缺全因有你I'm gonna hold you while I can所能之際  緊抱你Cos you got me feeling things I don't understand你讓我感受到了自己也參不透的情緒I'll give up my pride and all my plans我願為你放棄一切尊嚴與規劃Every second here with you is like falling sand 和你相處的每一秒飛逝如流沙The more I hold you the more I lose you the more I know越是擁有  越是失去  我越來越明白Nothing lasts we're frames of glass that break like bones我們易碎如玻璃   一切終究成空It don't matter if all this shatters all this goes雖然如此我依然願意粉身碎骨I'll take that chance我願意冒險I'm gonna hold you while I can所能之際  緊抱你I'm gonna hold you while I can所能之際  緊抱你I'm gonna hold you while I can所能之際  緊抱你Cos you got me feeling things I don't understand你讓我感受到了自己也參不透的情緒I'll give up my pride and all my plans我願為你放棄一切尊嚴與規劃Every second here with you is like falling sand和你相處的每一秒飛逝如流沙I'm gonna hold you while I can所能之際  緊抱你I'm gonna hold you while I can所能之際  緊抱你I'm gonna hold you while I can所能之際  緊抱你
"
3, Like You Do,"作詞：Nasri Atweh / 林俊傑 / Fernando Garibay作曲：Nasri Atweh / 林俊傑 / Fernando Garibay / Ramiro Padilla / Daniel PadillaBabyDon't know if I believe youWhen you say that you love meIt's hard to hear you talk whenYour smile is so distractingBabyYou know you got me wrapped upI can't tell if you're in loveThere's no one on this earthWho wouldn't have this reactionYou can get away with murderYou can get away with crimeYou can get anything you want when you're flashing those eyesI don't know if you love meI don't know what is trueBaby I wish right nowI wish you didn't look like you do (like you do like you do)I wish you didn't look like you doBaby every night before I sleepI pray that you don't leave meCause I don't know how I got somebody who looks like thisYou don't need to try when you want somethingGet everything you want when you look this wayWhen you look this wayYou can get away with murderYou can get away with crimeYou can get anything you want when you're flashing those eyesI don't know if you love meI don't know what is trueBaby I wish right nowI wish you didn't look like you do (like you do like you do)I wish you didn't look like you doYou can get away with murderYou can get away with crimeYou can get anything you want when you're flashing those eyesI don't know if you love meI don't know what is trueBaby I wish right nowI wish you didn't look like you do (like you do like you do)I wish you didn't look like you do (like you do like you do)I wish you didn't look like you do (like you do like you do)I wish you didn't look like you do更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 -----------------------------------------寶貝不知道我是否相信你當你說你愛我很難聽到你說話的時候你的笑容太讓人分心了寶貝你知道你把我包裹起來我不知道你是否戀愛了這個世界上沒有人誰不會有這個反應你可以逃脫謀殺你可以逃脫犯罪眨眨眼，就能得到想要的任何東西我不知道你是否愛我我不知道什麼是真的寶貝，我現在希望我希望你看起來不像你一樣(就像你喜歡你一樣)我希望你看起來不像你寶貝，每晚我睡前我祈禱你不要離開我因為我不知道我怎麼得到這樣的人您不需要時就可以嘗試這樣看來，就能得到想要的一切當你這樣看你可以逃脫謀殺你可以逃脫犯罪眨眨眼，就能得到想要的任何東西我不知道你是否愛我我不知道什麼是真的寶貝，我現在希望我希望你看起來不像你一樣(就像你喜歡你一樣)我希望你看起來不像你你可以逃脫謀殺你可以逃脫犯罪眨眨眼，就能得到想要的任何東西我不知道你是否愛我我不知道什麼是真的寶貝，我現在希望我希望你看起來不像你一樣(就像你喜歡你一樣)我希望你看起來不像你一樣(就像你喜歡你一樣)我希望你看起來不像你一樣(就像你喜歡你一樣)我希望你看起來不像你 感謝 小隆  提供歌詞
"
4, Not Tonight,"作詞：林俊傑 / Joshua Kissiah Cumbee作曲：Daniel Padilla / 林俊傑 / Joshua Kissiah Cumbee / Ramiro PadillaShouldn't walk on my ownWithout you it's so cold hereNo one's lighting my phone upI'm a little obsessedMaybe it's hard to forget youGet you off of my chest yeahI… I shouldn't be hereI… I should be running to you I'm comingI lost my faith for a minuteTold everybody I was over youWe had nothing else to loseI left myself unforgivenGot to the edge of almost falling throughAlmost walked away from youBut not tonightI can't leave you nowI can't leave you noNo matter how hard I tryNot tonightI can't leave you nowI can't leave you noNo matter how hard even harder I'll tryNot tonightNot tonightUsed to call myself strongHow did we get so far gone hereBuried under my flaws更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 I don't know if we'll have tomorrowIf we're barely holding todayAll of these seconds feel borrowed so lateI lost my faith for a minuteTold everybody I was over youWe had nothing else to loseI left myself unforgivenGot to the edge of almost falling throughAlmost walked away from youBut not tonightI can't leave you nowI can't leave you noNo matter how hard I tryNot tonightI can't leave you nowI can't leave you noNo matter how hard even harder I'll tryNot tonightNot tonightNot tonightNot tonightI can't leave you nowI can't leave you noNo matter how hard I tryNot tonightI can't leave you nowI can't leave you noNo matter how hard even harder I'll tryNot tonightNot tonightNot tonightNot tonight 感謝 小隆  提供歌詞
"
5, All In Your Mind,"作詞：Nasri Atweh 、 JJ Lin 、 Fernando Garibay作曲：Nasri Atweh 、 JJ Lin 、 Fernando Garibay 、 Daniel Padilla 、 Ramiro PadillaI made this world for meTo cover up my mistakesAnd I don't knowI don't knowIf I'm better off here aloneWhere nobody tells me, noNo, I don't knowI don't knowI don't know if I can keep this upSaid I don't recognize my face anymoreI don't know if I would feel your loveEven if you walked through the doorYou used to try to tell meIt's all in your mind (It's better here)It's all in your mind (It's safer here)It's all in your mindYou used to try to tell meIt's all in your mind (It's better here)It's all in your mind (It's safer here)It's all in your mindYou used to try to tell meNobody knows the painNobody knows the pain I feelIt's smiling on my faceBut inside I'm dying here更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 I don't know if I can keep this upSaid I don't recognize my face anymoreI don't know if I would feel your loveEven if you walked through the doorYou used to try to tell meIt's all in your mind (It's better here)It's all in your mind (It's safer here)It's all in your mindYou used to try to tell meIt's all in your mind (It's better here)It's all in your mind (It's safer here)It's all in your mindYou used to try to tell meDon't know if I can keep this up, noDon't know what's real anymoreYou used to try to tell meIt's all in your mind (It's better here)It's all in your mind (It's safer here)It's all in your mindYou used to try to tell meIt's all in your mind (It's better here)It's all in your mind (It's safer here)It's all in your mind (Your mind, your mind, your mind)It's all in your mind 感謝 OinKeY  提供歌詞 友站連結： OinKeY　
"
6, Head On,"作詞：Shungudzo Kuyimba 、 JJ Lin 、 Tushar Apte作曲：Shungudzo Kuyimba 、 JJ Lin 、 Tushar ApteI was lost in the night flying up chasing those bright lightsHad to burn, had to fall, just to learn how to love you rightCan't believe I kept you waitingEven if the feeling fadedCan you feel it rushing back?Let it happen, just like thatPicture us in paradise40 days and forty nightsFalling at the speed of lightI'm ready to collideHead on, head onI'll crash into yaHead on, head onOhhhhhhhhHead on, head onHead on. Spiraling landing in heaven and feeling no gravityFall asleep next to ya waking up nothing but clarityOhhhhhhh don't ask what it meansWhen you feel it rushing backLet it happen, just like thatPicture us in paradise40 days and forty nightsFalling at the speed of lightI'm ready to collideHead on, head onI'll crash into yaHead on, head on更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 OhhhhhhhhHead on, head onHead on. I'll crash into yaHead on, head onI'll crash into yaHead on, head onOhhhhhhhhHead on, head onI'll crash into yaHead on. Can't believe I kept you waitingEven if the feeling fadedCan't believe I kept you waitingI'm ready to collideHead on, head onI'll crash into yaHead on, head onOhhhhhhhhHead on, head onI'll crash into yaHead on. I'll crash into ya (Can't believe I kept you waiting)Head on, head onI'll crash into ya (Even if the feeling faded)Head on, head onOhhhhhhhh (Can't believe I kept you waiting)Head on, head onI'll crash into yaHead on 感謝 小隆  提供歌詞
"
7, Steady My Love,"作詞：Joshua Kissiah Cumbee / 林俊傑 / Fernando Garibay作曲：Joshua Kissiah Cumbee / 林俊傑 / Fernando Garibay / Ramiro Padilla / Daniel PadillaHad to walk away to know that I'd come homeUnapologetic standing on my ownHad to say goodbye to everything I knowTo know I need youMaking up for every second that we lostFigured out the truth I'm sorry that it cost usBetter late than never know the good I gotHow I'll always need youOoooohSteady my loveI only want usFor as long as we liveI'll always give you my allI'll take the fallTo come back to where my heart belongsTo youTell me anything you think that it would takeTo remedy the pieces I used to breakEven if I don't deserve another tasteKnow that I'll always want you更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 Let the tears that we cried on our ownBe the river that carries us homeDistance was the only way that I could growTo know that I need you closerOoooohSteady my loveI only want usFor as long as we liveI'll always give you my allI'll take the fallTo come back to where my heart belongsTo youGiving all of my loveCause I only want usFor as long as we liveGiving all of my loveAlwaysSteady my loveMy loveSteady my loveSteady my love 感謝 小隆  提供歌詞
"
8, Not Tonight(Tomorrow Sounds Good Steve Aoki Remix),"作詞：林俊傑、 Joshua Kissiah Cumbee作曲：Daniel Padilla、 林俊傑、 Joshua Kissiah Cumbee、 Ramiro Padilla編曲：Daniel Padilla, Fernando Garibay, Ramiro PadillaShouldn't walk on my ownWithout you it's so cold hereNo one's lighting my phone upI'm a little obsessedMaybe it's hard to forget youGet you off of my chest yeahI… I shouldn't be hereI… I should be running to you I'm comingI lost my faith for a minuteTold everybody I was over youWe had nothing else to loseI left myself unforgivenGot to the edge of almost falling throughAlmost walked away from youBut not tonightI can't leave you nowI can't leave you noNo matter how hard I tryNot tonightI can't leave you nowI can't leave you noNo matter how hard even harder I'll tryNot tonightNot tonightNot tonightNot tonightUsed to call myself strongHow did we get so far gone hereBuried under my flawsI don't know if we'll have tomorrowIf we're barely holding todayAll of these seconds feel borrowed so late更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 I… I shouldn't be hereI… I should be running to you I'm comingI lost my faith for a minuteTold everybody I was over youWe had nothing else to loseI left myself unforgivenGot to the edge of almost falling throughAlmost walked away from youBut not tonightI can't leave you nowI can't leave you noNo matter how hard I tryNot tonightI can't leave you nowI can't leave you noNo matter how hard even harder I'll tryNot tonightNot tonightNot tonightNot tonightNot tonightNot tonightNot tonightI can't leave you nowI can't leave you noNo matter how hard I tryNot tonightI can't leave you nowI can't leave you noNo matter how hard even harder I'll tryNot tonightNot tonightNot tonightNot tonightNot tonight
"
9, 最嚮往的地方,"作詞：楊彤作曲：林俊傑編曲：Troy Laureta海上號角音符在空中飄盪你也聽見了嗎？順著洋流漂向未知的方向你和我都一樣穿越人海和時間的浪是誰的臉孔擱在心上帶不走的就讓他留下轉身前往下一個遠方每一顆心都有最嚮往的地方要堅持就會聽見奇蹟的聲響當未來在那黑夜劃出一道光渴望 信仰Oh woo yeah～潮起潮落再瘋狂咬著牙去闖看浪花積累多少歲月的收藏去擁抱眼前看似渺小的希望不讓 不放感受當下卸下一身負重不前的行囊別再回頭張望往前走下一刻藏什麼寶藏最終會有解答穿越人海和時間的浪是誰的臉孔擱在心上帶不走的就讓他留下轉身前往新的航向更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 每一顆心都有最嚮往的地方要堅持就會聽見奇蹟的聲響當未來在那黑夜劃出一道光渴望 信仰Oh woo yeah～潮起潮落再瘋狂咬著牙去闖看浪花積累多少歲月的收藏去擁抱眼前看似渺小的希望不讓 不放感受當下迎著狂風和孤單並肩流浪就算前方看似無盡的迷惘再渺小的希望會乘著夢長大每一顆心都有最嚮往的地方沒有後悔抓著夢讓它去領航當未來在那黑夜劃出一道光渴望 信仰Oh woo yeah～每一顆心都有最嚮往的地方要堅持就會聽見奇蹟的聲響當未來在那黑夜劃出一道光渴望 信仰Oh woo yeah～潮起潮落再瘋狂咬著牙去闖看浪花積累多少歲月的收藏去擁抱眼前看似渺小的希望不讓 不放那是力量 感謝 Serendipity  提供歌詞
"
