,Name,Lyric
0, 少女(Otomen),"作詞：黃偉文、林宥嘉作曲：林宥嘉我想要買一間房子可能不需要車子最好生一兩個孩子來複製我們的樣子作為一個平凡的男子我對童話的婚禮有點堅持跟你才約會一次人生從此沒其他大事Baby自從遇見你 我比你還要少女偶像的位置 一夜間 全都換成……你和巧克力 為什麼永遠吃不膩What have you done to meBaby戀愛的男子 每一個都是少女每次見到你 忍不住 超超超願意Do～Do～Yeah方圓百里 都懂我的心浪漫的愛情再定義快樂回到三年級自以為完整的身體突然間倒帶再發育更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 魔羯巨蟹該不該一起說不配的要道歉還來得及我們不需要奇蹟因為我是那麼適合你Baby自從遇見你 我比你還要少女偶像的位置 一夜間 全都換成……你和巧克力 為什麼永遠吃不膩What have you done to meBaby戀愛的男子 每一個都是少女每次見到你 忍不住 超超超願意Do～Do～Yeah我只等你 回我同一句Baby做我的愛妻 一百歲還是少女有沒有勇氣 從今後讓我照顧你Do～Do～Yeah此情不渝永結同心再也不是空洞的成語我想要買一間房子裡面住兩個少女 感謝 咬牙  修正歌詞
"
1, 別讓我走遠,"公視 我們與惡的距離 主題曲作詞：HUSH作曲：Karencici整個世界在腐爛腐爛的都與我無關這黑暗 我多習慣習慣到不再需要看我曾在黑暗頂端以為光的距離很短想去攀 又跌下來我還能不能再期待don't you stay?多看我一眼無視我的臉 任何疲倦看穿我最脆弱的防備沈默以對 都無所謂任何角落都沒差別don't you stay?陪在我身邊更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 無視這世界 任何崩裂看進我所深陷的深淵讓我感覺 黑暗裡面光線是抓得到的線讓我感覺 黑暗裡面光線越熾熱越強烈if you stay陪在我身邊凝視我的臉 所有狼狽照亮我陰暗的每一面不顧一切 包圍一切光線裡別讓我走遠-------------------------------------------林宥嘉-別讓我走遠[00:04.30]整個世界在腐爛[00:11.20]腐爛的都與我無關[00:17.73]這黑暗 我多習慣[00:24.54]習慣到不再需要看[00:33.95]我曾在黑暗頂端[00:40.03]以為光的距離很短[00:46.32]想去攀 又跌下來[00:52.78]我還能不能再期待[00:59.64]don't you stay?[01:02.31]多看我一眼[01:05.47]無視我的臉 任何疲倦[01:13.24]看穿我最脆弱的防備[01:19.98]沈默以對 都無所謂[01:23.19]任何角落都沒差別[01:27.18]don't you stay?[01:29.35]陪在我身邊[01:32.87]無視這世界 任何崩裂[01:40.24]看進我所深陷的深淵[01:46.74]讓我感覺 黑暗裡面[01:49.98]光線是抓得到的線[01:55.50][02:14.09]讓我感覺 黑暗裡面[02:17.15]光線越熾熱越強烈[02:21.19]if you stay[02:23.15]陪在我身邊[02:26.44]凝視我的臉 所有狼狽[02:34.29]照亮我陰暗的每一面[02:40.81]不顧一切 包圍一切[02:44.35]光線裡別讓我走遠[02:49.62] 感謝 林口范團  提供歌詞 感謝 小菊  提供動態歌詞 感謝 安安安安  修正歌詞
"
2, 脆弱一分鐘,"電視劇 愛情進化論 片頭曲作詞：徐世珍、吳輝福作曲：林家謙編曲：林家謙時鐘不要走讓我脆弱一分鐘要多久才能 習慣被放手馬克杯空了 暖暖的溫熱卻還在我手中停留勇氣不要走給我理由再衝動去相信愛情 就算還在痛如果我不說 不會有人懂失去你我有多寂寞還是願意更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 付出一切僅僅為了一個好夢夢裡有人真心愛我 陪我快樂也陪我沉默沒有無緣無故的痛 承受越多越成熟能讓你擁抱更好的我誰也不要走應該是一種奢求可是我只想 握緊你的手我寧願等候 也不願錯過你對我微笑的時候還是願意用盡全力僅僅為了一個以後哪怕生命並不溫柔 哪怕被幸福一再反駁也要相信傷痕累累 其實只是在琢磨能讓你為之一亮 的我
"
3, 推動搖籃的手,"作詞：小民作曲：小民那些很小很小的時候很多事情其實 我不是那麼的記得還好有人一邊回憶一邊告訴我就算不太真實也很快樂有些很小很小的念頭我從來沒做過 也從來都沒有說過有些還藏在心裡頭有些已經來不及說有一雙手 送上她的自由因為我的夢想太揮霍小小的羊兒想起媽媽想要手牽手一起回家可是那一雙手已經變成了翅膀飛到牠看不見的地方更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 有些很小很小的念頭我從來沒做過也從來都沒有說過有些還藏在心裡頭有些已經來不及說有一雙手 送上她的自由因為我的夢想太揮霍小小的羊兒想起媽媽想要手牽手一起回家可是那一雙手已經變成了翅膀飛到牠看不見的地方小小的羊兒抬起頭望想念在天空張起了網有一天牠總會回到媽媽的身旁在那之前要保持勇敢在那之前要保持勇敢
"
4, 天天想你,"作詞：陳樂融作曲：陳志遠當我佇立在窗前你愈走愈遠我的每一次心跳你是否聽見當我徘徊在深夜你在我心田你的每一句誓言迴盪在耳邊隱隱約約 閃動的雙眼藏著你的羞怯加深我的思念兩顆心的交界你一定會看見只要你願意走向前天天想你 天天問自己到什麼時候才能告訴你天天想你 天天守住一顆心把我最好的愛留給你更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 隱隱約約 閃動的雙眼藏著你的羞怯加深我的思念兩顆心的交界你一定會看見只要你願意走向前天天想你 天天問自己到什麼時候才能告訴你天天想你 天天守住一顆心把我最好的愛都給妳天天想你 天天守住一顆心把我最好的愛留給你
"
5, 週末夜驚魂,"作詞：陳信延作曲：楊子樸我走在像地獄的月台耳邊汗毛有風吹過來我知道你在七步之外埋伏著 準備要 追過來我逃回十五坪的凶宅聽著像安魂曲的鐘擺我躲進被窩臉色發白等待著 午夜後 你到來可不可以請你好心放過我 不要殺我可不可以請你好心放過我 不要搞我好不容易撐過了 忙碌一週一不小心又來到 恐怖週末我不知道這時候有什麼事情 能夠填充你終於趁十二點到來勒住我脖子哭不出來七天內總有一天會來緊隨著 像咒怨 不能甩親朋好友都置身事外沒有我的世界更精彩更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 拜託誰賜我一句關懷好讓我 再投胎 活過來可不可以請你好心放過我 不要殺我可不可以請你好心放過我 不要搞我不要這樣放任噩夢去行兇不要這樣再次中寂寞陰謀不要這樣虐待我我又沒有 做錯過什麼我 無力抵抗 你的暴力是張溫床喔 要怎樣 才能逃離逃離你的魔掌 難道要我就範可不可以請你好心放過我 不要殺我可不可以請你好心放過我 不要搞我好不容易撐過了 忙碌一週一不小心又來到 恐怖週末我不知道這時候有什麼事情 能夠填充不要這樣虐待我我又沒有 做錯過什麼
"
6, 突然想起你,"作詞：林夕作曲：陳偉一個人的夜 我的心 應該放在哪裡想念著妳 我的念頭應該想到哪裡有什麼方法 讓兩個人不分離都是因為那燈泡 突然閃了一下於是想起你 怕妳 還沒休息都是因為這場雨 忽然間下的那麼大怕來不及 跟妳 走在一起一個人的夜 我的心 應該放在哪裡擁抱過後 我的雙手應該放在哪裡我始終學不會控制 我的呼吸在玻璃窗上 呵出妳美麗的名字寂寞來襲 舊雨衣 到底放在哪裡更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 想念著妳 我的念頭應該想到哪裡有什麼方法 讓兩個人不分離都是因為那燈泡 突然閃了一下於是想起你 怕妳 還沒休息都是因為這場雨 忽然間下的那麼大怕來不及 跟妳 走在一起一個人的夜 我的心 應該放在哪裡擁抱過後 我的雙手應該放在哪裡我始終學不會控制 我的呼吸在玻璃窗上 呵出妳美麗的名字寂寞來襲 舊雨衣 到底放到哪裡想念著妳 我的念頭應該想到哪裡有什麼方法 讓兩個人不分離
"
7, 愛情是圓的,"作詞：藍小邪作曲：丁世光從思念出發 路過了悲傷 下一站儘管幻想邂逅了微笑 錯過了絕望 每一站也算不孤單擠在愛的路上看著人來人往 心還跳就不慌張有一些夢邊走邊做行不行轉幾個彎再找到它行不行因為地球是圓的肯相信就能相遇最美麗是一路上的腳印從思念出發 路過了悲傷 下一站儘管幻想邂逅了微笑 錯過了絕望 每一站也算不孤單擠在愛的路上看著人來人往 心還跳就不慌張有一些夢邊走邊做行不行更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 轉幾個彎再找到它行不行因為地球是圓的肯相信就能相遇最美麗是一路上的腳印就讓我們站在 最遠的距離就讓我們收下最多 的風景有一些夢邊走邊做行不行轉幾個彎再找到它行不行因為地球是圓的肯相信就能相遇 最美麗是一路上的腳印是誰 像我尋尋覓覓轉幾個彎再找到她行不行因為地球是圓的肯堅持就能相遇最幸福是我們都不放棄
"
8, song2,"作詞：JAMES, STEVEN  ALEXANDER, David Alexander De Horne Rowntree作曲：ALBARN, DAMON/COXON, GRAHAM LESLIE純音樂
"
9,,
