,Name,Lyric
0, 今天，半永久,"Today , Halfway to The Permanent作詞：李聰作曲：宇珩天 黑一半 亮一半好不容易 溫暖溫暖豢養 腐爛心 灰一番 熱一番怎麼悉心 打算難免有 遺憾多 信誓旦旦永久的 光環多讓人牽絆 讓人為難我會 收下你的煙花我也 留下我的盔甲然後 親吻你的頭髮 你的鬍渣我會 尋獲一個解答我也 留下我的天涯承認 原來每個靈魂 總有時差留一半留一半～就一半就一半～把為你 背對世界的勇敢也為我 分擔也讓我 燦爛更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 假如呼吸都 敏感怎麼愛讓我有 自己那一半 光環別期許 牽絆讓誰 柔軟我會 收下你的煙花我也 留下我的盔甲然後 親吻你的頭髮 你的鬍渣我會 尋獲一個解答我也 留下我的天涯承認 原來每個靈魂 總有時差留一半就一半～留一半就一半～留一半就一半～留一半就一半～留一半就一半～留一半就一半～
"
1, 昨天，一點愛,"Yesterday, When Love Occurs作詞：黃婷、蘇亦承作曲：蘇亦承任憑自己  緬懷   時光荏苒  追趕想要把回憶都停擺   思緒無從交代寂寞自己 安排   好過思念  難捱若非愛的天才   還能不能盼未來一點愛   就能讓地裂天開能讓我   把傷感重新掩埋等你吹散陰霾   活出我的神采一點愛   能撫平桑田滄海情願我   每一天重新再來呼吸你的存在   填滿我的生命   空白更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 來來去去  人海   有誰流過  心海當日子泛起一些漣漪   你停靠在沙岸誰不是  到最後  一顆塵埃從過去  到後來   留住現在渴望得到永恆   就要愛得自在一點愛   能撫平桑田滄海情願我   每一天重新再來呼吸你的存在   填滿我的生命 空白一點愛    是雨給魚的大海一點愛    是雲對風的等待等緣份的青睞   等轉瞬的美麗   雲彩
"
2, 明天，雙人舞,"Tomorrow, The Dancing Duo作詞：張伍作曲：阿沁誒快點 別浪費 月亮不會後退選一天 可以約 是敷衍或重點另一位 的空缺 舞步的躊躇迷霧遺憾並不美 今夜與其糾結 他的笑臉 day and night哪裡有鬼 動態調閱 make you crazy早就命定最愛嘴硬 的你 動作快別裝蒜現在是現在你明知道規矩心裡不斷練習像電影那般 對上眼現在  你最後的機會一支舞兩個人三分鐘 完美現在是現在你聽到了願意雙人舞的結局動作別僵硬 閉上眼現在  馬上丟掉被動一支舞兩個人三分鐘 完美更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 等一遍 等兩遍 等待滋養後悔第一拍 第二拍 是否也怕後悔當改天 變昨天 像肥皂劇的集數No more chance 危險與其糾結 他的笑臉 day and night哪裡有鬼 動態調閱 make you crazy早就命定最愛嘴硬 的你 動作快再說愛現在是現在你明知道規矩心裡不斷練習像電影那般 對上眼現在  你最後的機會一支舞兩個人三分鐘 完美現在是現在你聽到了願意雙人舞的結局動作別僵硬 閉上眼現在  馬上丟掉被動一支舞兩個人三分鐘 完美現在是現在 …..
"
3, 飄洋過海來看你,"梁靜茹 & 艾怡良作詞：Jonathan Lee作曲：Jonathan Lee編曲：吳加恩為你我用了　半年的積蓄飄洋過海的來看你為了這次相聚　我連見面時的呼吸都曾反覆練習言語從來沒能將我的情意表達千萬分之一為了這個遺憾　我在夜裡想了又想不肯睡去記憶它總是慢慢的累積　在我心中無法抹去為了你的承諾　我在最絕望的時候都忍著不哭泣陌生的城市啊　熟悉的角落裡也曾彼此安慰 也曾相擁嘆息 不管將會面對什麼樣的結局在漫天風沙裡望著你遠去　我竟悲傷得不能自己多盼能送君千里直到山窮水盡　一生和你相依為你我用了　半年的積蓄飄洋過海的來看你更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 為了這次相聚　我連見面時的呼吸都曾反覆練習言語從來沒能將我的情意表達千萬分之一為了這個遺憾　我在夜裡想了又想不肯睡去記憶它總是慢慢的累積　在我心中無法抹去為了你的承諾　我在最絕望的時候都忍著不哭泣陌生的城市啊　熟悉的角落裡也曾彼此安慰 也曾相擁嘆息 不管將會面對什麼樣的結局在漫天風沙裡望著你遠去　我竟悲傷得不能自己多盼能送君千里直到山窮水盡　一生和你相依陌生的城市啊　熟悉的角落裡也曾彼此安慰 也曾相擁嘆息 不管將會面對什麼樣的結局在漫天風沙裡望著你遠去　我竟悲傷得不能自己多盼能送君千里直到山窮水盡　一生和你相依多盼能送君千里直到山窮水盡　一生和你相依
"
4, 想都沒想過,"電影 寒單 主題曲作詞：高敏倫eMMa作曲：高敏倫eMMa想都沒想過 你看我的眼神 飄過我記憶中 你的溫柔 好似棉花糖的 軟柔風一吹就凋落 空氣中的哀愁還有哪顆心能來替代填補我向前走 你的輪廓 留在膠卷底片中愛~ 愛~ 愛就讓我墜落 就當你沒看見了我愛~ 愛~ 愛不是沒想過 只是愛得好累沒結果愛~ 愛~ 愛愛的顏色掉落 故事還沒結束 你就走愛~ 愛~ 愛~~把我的單純帶走更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 在人群中穿梭 找尋當時的溫度黑暗中 你的觸摸 隱隱約約 一點痛我的軟弱 沒人告訴我你的眼神閃爍 我假裝看不懂你向前走 我想停留 別過頭不再聯絡愛~ 愛~ 愛就讓我墜落 就當你沒看見了我愛~ 愛~ 愛不是沒想過 只是愛得好累沒結果愛~ 愛~ 愛愛的顏色掉落 故事還沒結束 你就走愛~ 愛~ 愛~~~把我的眼淚帶走
"
5, 秘果,"電影《秘果》同名主題曲作詞：饒雪漫作曲：彭學斌忘記從哪天起認識了你相親相愛也相互嫌棄遇到困難總是第一個想到你也只有你可以惹我生氣太熟悉所以忘記了距離愛要有縫隙透進陽光和空氣有種怦然心動叫做命中注定有種地久天長叫守口如瓶那年春天 我種下一個秘密發了芽佔據心裡每一寸土地在不懂愛情的年紀相信遇見就是最好的運氣那年秋天 我藏好一個秘密結成果掛滿成長懵懂的四季在蠢蠢欲動的年紀就算全世界都已看穿我的心更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 也許可以 笑著說一句喜歡你 對不起 沒關係太熟悉所以忘記了距離愛要有縫隙透進陽光和空氣有種怦然心動叫做命中注定有種地久天長叫守口如瓶那年春天 我種下一個秘密發了芽佔據心里每一寸土地在不懂愛情的年紀相信遇見就是最好的運氣那年秋天 我藏好一個秘密結成果掛滿成長懵懂的四季在蠢蠢欲動的年紀就算全世界都已看穿我的心就算這輩子你都不會懂我的秘密全由你決定對不起 沒關係 謝謝你
"
6, 不翼而飛,"電視劇 隱形的翅膀 主題曲作詞：黃偉文作曲：鄺梓喬編曲：陳歆儒你在飛 不過與他對望一會地心引力 在消退身體像被 氣泡包圍你在飛 沒翅膀 也沒所謂物理 早已經違背只要他 幾句安慰 一點慈悲舊情的後悔 從小的自卑馬上就 不翼而飛可是你也明白 由此下墜會有多粉碎愛情有給過你什麼最後帶走的一定更多你為何 願意為 一秒飛翔 餘生在墮落愛情有給過你什麼 你沉默再苦笑地反問我誰不是 赴湯蹈火找一片 小快樂一秒鐘誰不是一路忍痛 換幸福一秒鐘更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 你覺得 世情萬種 沒有不同不怕有犧牲 只怕不光榮真愛總來去洶洶慶幸上過天空才有資格 跌得那樣重愛情有給過你什麼最後帶走的一定更多你為何 願意為 一秒飛翔 餘生在墮落愛情有給過你什麼 你沉默再苦笑地反問我有什麼花火 不是在一聲 一閃就散落愛情有給過你什麼最後帶走的一定更多你為何 願意為 一秒飛翔 餘生在墮落～愛情有給過你什麼 你沉默再苦笑地反問我誰不是 受盡折磨卑微中 尋找快樂[00:02.06]梁靜茹 /不翼而飛[00:06.87]電視劇 隱形的翅膀 主題曲[00:10.87]作詞：黃偉文/作曲：鄺梓喬/編曲：陳歆儒[00:12.87][00:13.29]你在飛 不過與他對望一會[00:19.48]地心引力 在消退[00:25.04]身體像被 氣泡包圍[00:29.03][00:29.28]你在飛 沒翅膀 也沒所謂[00:35.35]物理 早已經違背[00:40.70]只要他 幾句安慰 一點慈悲[00:45.89]舊情的後悔 從小的自卑[00:49.46]馬上就 不翼而飛[00:53.76]可是你也明白 由此下墜[00:57.79]會有多粉碎[01:01.87][01:02.92]愛情有給過你什麼[01:06.52]最後帶走的一定更多[01:10.75]你為何 願意為 一秒飛翔 餘生在墮落[01:18.86]愛情有給過你什麼 你沉默[01:25.52]再苦笑地反問我[01:29.77]誰不是 赴湯蹈火[01:33.06]找一片[01:37.13]小快樂[01:43.14][01:56.52]一秒鐘[01:59.36]誰不是一路忍痛 換幸福一秒鐘[02:08.65]你覺得 世情萬種 沒有不同[02:13.37]不怕有犧牲 只怕不光榮[02:17.09]真愛總來去洶洶[02:20.99]慶幸上過天空[02:23.08]才有資格 跌得那樣重[02:29.47][02:30.35][03:33.51]愛情有給過你什麼[02:33.83][03:37.30]最後帶走的一定更多[02:37.97][03:41.29]你為何 願意為 一秒飛翔 餘生在墮落[02:45.60][03:49.10]愛情有給過你什麼 你沉默[02:52.80][03:55.56]再苦笑地反問我[02:56.67]有什麼花火 不是在一聲 一閃就散落[03:09.60][03:59.48]誰不是 受盡折磨[04:02.95]卑微中 尋找快樂[04:18.12] 感謝 loming  提供歌詞 感謝 Alin  提供動態歌詞
"
7, 在愛裡等你,"作詞：張彰作曲：Jun Man、董基鑒開了窗 等待天亮看這城市 悄悄的熄了光聽風的方向 這一刻是否和我一樣孤單的飛翔 模糊了眼眶廣播裡那首歌曲重複當時那條街那個你相同的桌椅 不用言語 就會有默契這份親密 那麼熟悉在愛裡等著你 被你疼惜有種暖意在夢裡全是你 不要再遲疑 把我抱緊更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 兩顆心一輩子不分離 不想確定日期拉長幸福距離 來填滿回憶在愛裡等著你 未來變得那麼清晰在愛裡全是你 思念讓心跳無法呼吸愛本來就沒什麼邏輯也許是不經意相遇在人海裡 就知道是你做什麼都多餘 我知道是你[00:00.00]梁靜茹-在愛裡等你[00:03.11]作詞：張彰 作曲：Jun Man、董基鑒[00:11.18]微博：weibo.com/shebeyonds[00:35.26]開了窗 等待天亮[00:42.45]看這城市[00:43.78]悄悄的熄了光[00:48.13]聽風的方向[00:51.42]這一刻是否和我一樣[00:55.21]孤單的飛翔[00:58.58]模糊了眼眶[01:04.01]廣播裡那首歌曲[01:11.09]重複當時[01:12.33]那條街那個你[01:16.89]相同的桌椅[01:20.04]不用言語[01:21.14]就會有默契[01:23.98]這份親密那麼熟悉[01:30.17]在愛裡等著你[01:33.65]被你疼惜有種暖意[01:37.33]在夢裡全是你[01:40.21]不要再遲疑[01:42.25]把我抱緊[01:44.56]兩顆心一輩子不分離[01:49.17]不想確定日期[01:52.51]拉長幸福距離[01:54.74]來填滿回憶[01:58.78]在愛裡等著你[02:02.24]未來變得那麼清晰[02:06.06]在愛裡全是你[02:08.83]思念讓心跳無法呼吸[02:13.22]愛本來就沒什麼邏輯[02:17.80]也許是不經意[02:21.16]相遇在人海裡[02:23.41]就知道是你[02:28.35][02:44.43]廣播裡那首歌曲[02:51.43]重複當時[02:52.66]那條街那個你[02:57.26]相同的桌椅[03:00.55]不用言語[03:01.52]就會有默契[03:04.07]這份親密那麼熟悉[03:14.00]在愛裡等著你[03:17.55]被你疼惜有種暖意[03:21.23]在夢裡全是你[03:24.09]不要再遲疑[03:26.10]把我抱緊[03:28.35]兩顆心一輩子不分離[03:33.07]不想確定日期[03:36.32]拉長幸福距離[03:38.57]來填滿回憶[03:42.68]在愛裡等著你[03:46.16]未來變得那麼清晰[03:49.83]在愛裡全是你[03:52.79]思念讓心跳無法呼吸[03:57.05]愛本來就沒什麼邏輯[04:01.77]也許是不經意[04:05.03]相遇在人海裡[04:07.22]就知道是你[04:12.91][04:14.97]在愛裡[04:16.91]在愛裡等著你[04:20.53]未來變得那麼清晰[04:24.17]在愛裡全是你[04:27.05]思念讓心跳無法呼吸[04:31.27]愛本來就沒什麼邏輯[04:35.90]也許是不經意[04:39.17]相遇在人海裡[04:41.49]就知道是你[04:46.41]做什麼都多餘[04:48.85]我知道是你[04:58.91]微博：weibo.com/shebeyonds 感謝 成明星Beyonds  提供動態歌詞 感謝 成明星Beyonds  修正歌詞 友站連結： Beyonds' weibo　
"
8, 愛久見人心,"作詞：彭學斌、陳沒作曲：彭學斌編曲：楊朝焰、李祥熙監製：彭學斌我冷漠 是不想被看出 太容易 被感動觸及我比較喜歡 現在的自己 不太想 回到過去我常常 為我們之間 忽遠忽近的關係 擔心或委屈別人只一句話 就刺痛心裡 每一根神經你的孤單 是座城堡 讓人景仰 卻處處防疫你的溫柔 那麼緩慢 小心翼翼 脆弱又安靜也許 我們都意會到 這次面對的幸福 是真的來臨因為太珍惜 所以才猶豫　忘了先把彼此 抱緊我不是流言　不能猜測你瘋狂的遊戲　需要誰准許別人怎麼說　我都不介意我愛不愛你　日久見人心存一寸光陰　換一個世紀摘一片苦心　釀一滴蜂蜜用盡了全力　只為在一起我愛不愛你　愛久見人心更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 你的孤單 是座城堡 讓人景仰 卻處處防疫你的溫柔 那麼緩慢 小心翼翼 脆弱又安靜也許 我們都意會到 這次面對的幸福 是真的來臨因為太珍惜 所以才猶豫　忘了先把彼此 抱緊我不是流言　不能猜測你瘋狂的遊戲　需要誰准許別人怎麼說　我都不介意我愛不愛你　日久見人心存一寸光陰　換一個世紀摘一片苦心　釀一滴蜂蜜用盡了全力　只為在一起我愛不愛你　愛久見人心存一寸光陰　換一個世紀摘一片苦心　釀一滴蜂蜜用盡了全力　只為在一起我愛不愛你　愛久見人心[00:00.00]梁靜茹-愛久見人心[00:03.11]詞:陳沒、彭學斌 曲:彭學斌[00:10.40]我冷漠是不想被看出太容易被感動觸及[00:20.64]我比較喜歡現在的自己不太想回到過去[00:29.77]我常常為我們之間[00:33.08]忽遠忽近的關係[00:36.13]擔心或委屈[00:39.99]別人只一句話就刺痛[00:44.10]心裡每一根神經[00:50.93]你的孤單是座城堡讓人景仰卻處處防疫[01:01.11]你的溫柔那麼緩慢小心翼翼脆弱又安靜[01:10.52]也許我們都意會到[01:13.87]這次面對的幸福[01:16.93]是真的來臨[01:21.06]因為太珍惜所以才猶豫[01:26.38]忘了先把彼此抱緊[01:30.87]我不是流言[01:32.94]不能猜測你[01:35.89]瘋狂的遊戲[01:38.06]需要誰准許[01:41.19]別人怎麼說[01:43.03]我都不介意[01:46.14]我愛不愛你[01:48.72]日久見人心[01:51.18]存一寸光陰[01:53.10]換一個世紀[01:56.15]摘一片苦心[01:58.29]釀一滴蜂蜜[02:01.24]用盡了全力[02:03.33]只為在一起[02:06.59]我愛不愛你[02:10.15]愛久見人心[02:33.38]你的孤單是座城堡讓人景仰卻處處防疫[02:43.41]你的溫柔那麼緩慢小心翼翼脆弱又安靜[02:52.70]也許我們都意會到[02:55.98]這次面對的幸福[02:59.09]是真的來臨[03:02.80]因為太珍惜所以才猶豫[03:08.43]忘了先把彼此抱緊[03:15.60]我不是流言[03:17.49]不能猜測你[03:20.59]瘋狂的遊戲[03:22.51]需要誰准許[03:25.69]別人怎麼說[03:27.82]我都不介意[03:30.74]我愛不愛你[03:32.77]日久見人心[03:35.84]存一寸光陰[03:37.99]換一個世紀[03:41.00]摘一片苦心[03:43.14]釀一滴蜂蜜[03:46.03]用盡了全力[03:48.19]只為在一起[03:51.23]我愛不愛你[03:55.08]愛久見人心[03:56.89]存一寸光陰[03:58.35]換一個世紀[04:01.32]摘一片苦心[04:03.59]釀一滴蜂蜜[04:06.48]用盡了全力[04:08.55]只為在一起[04:11.74]我愛不愛你[04:16.00]愛久見人心 感謝 阿寶 J-KING  提供歌詞 感謝 Cyrus 呱呱  修正歌詞 友站連結： Beyonds' weibo　
"
9, 小愛情,"作詞：王藍茵作曲：王藍茵編曲：于京延十歲的我喜歡偷偷地穿著大人高跟鞋拖地 想做少女十七歲是瘋狂的年齡實現了一個人的旅行 想要奇遇Du du du du du du～二十一歲步入成人禮愛是當時最好的知己 也是天敵當我經過時間的洗禮心是唯一不銹的東西 繼續相信每個人的心裡都住著美麗的小愛情不管怎樣受過傷也有敲不碎的堅定每個人都希望被對的人收留在心裡愛是豐收的租金誰能讓我搬進去三十以後是新的一集擦破的日記有幾個你 幾個自己更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 當我見證許多的婚禮愛是唯一珍貴的東西 完整生命每個人的心裡都住著美麗的小愛情不管怎樣受過傷也有敲不碎的堅定每個人都希望被對的人收留在心裡什麼年紀沒關係我有我的小愛情繼續相信每個人的心裡都住著美麗的小愛情不管怎樣受過傷也有敲不碎的堅定每個人都希望被對的人收留在心裡什麼年紀沒關係我有我的小愛情每個人都希望被對的人收留在心裡什麼年紀沒關係我有我的小愛情[00:01.02]小愛情[00:02.76]演唱：梁靜茹[00:05.10][00:16.72]十歲的我喜歡偷偷地[00:21.68]穿著大人高跟鞋拖地 想做少女[00:26.80]十七歲是瘋狂的年齡[00:31.71]實現了一個人的旅行 想要奇遇[00:38.30]Du du du du du du～[00:43.10][00:46.70]二十一歲步入成人禮[00:51.63]愛是當時最好的知己 也是天敵[00:56.65]當我經過時間的洗禮[01:01.58]心是唯一不銹的東西 繼續相信[01:06.62]每個人的心裡都住著美麗的小愛情[01:11.64]不管怎樣受過傷也有敲不碎的堅定[01:16.65]每個人都希望被對的人收留在心裡[01:20.74]愛是豐收的租金[01:25.61]誰能讓我搬進去[01:31.31][01:41.64]三十以後是新的一集[01:46.66]擦破的日記有幾個你 幾個自己[01:51.56]當我見證許多的婚禮[01:56.33]愛是唯一珍貴的東西 完整生命[02:01.54]每個人的心裡都住著美麗的小愛情[02:06.76]不管怎樣受過傷也有敲不碎的堅定[02:11.59]每個人都希望被對的人收留在心裡[02:15.73]什麼年紀沒關係[02:20.64]我有我的小愛情[02:28.75][02:50.61]繼續相信[02:51.95]每個人的心裡都住著美麗的小愛情[02:56.92]不管怎樣受過傷也有敲不碎的堅定[03:02.00]每個人都希望被對的人收留在心裡[03:06.03]什麼年紀沒關係[03:11.10]我有我的小愛情[03:16.91][03:27.17]每個人都希望被對的人收留在心裡[03:31.10]什麼年紀沒關係[03:37.40][03:41.39]我有我的小愛情[03:47.67] 感謝 W  提供歌詞 感謝 成明星Beyonds  提供動態歌詞 感謝 W  修正歌詞
"
