,Name,Lyric
0, The Ruthless,"作曲：陳璿翔編曲：陳璿翔
"
1,,
2, Bad Lady,"作詞：鯨魚 Whale作曲：Karencici編曲：海大富 Déjà Fu剛剛醒過來 燈火夜闌珊 外賣 好慢皮囊千千萬 越好看越不好玩 好爛管我運動褲搭什麼外套 乖乖的弟弟 別讓我傷心管我怎麼哭笑怎麼撒嬌 我不做自己 誰做我自己BAD BAD LADY BAD BAD LADY BAD BAD LADY BAD BAD LADY  要不要BAD BAD LADY BAD BAD LADY BAD BAD LADY BAD BAD LADY 要不要BAD BAD LADY更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 慢歌都有毒 誰給個節奏 嘔吐 跳舞找個另一半 再愛個如假包換 我敢管我運動褲搭什麼外套 乖乖的弟弟 別讓我傷心管我怎麼哭笑怎麼撒嬌 我不做自己 誰做我自己BAD BAD LADY BAD BAD LADY BAD BAD LADY BAD BAD LADY 要不要BAD BAD LADY BAD BAD LADY BAD BAD LADY BAD BAD LADY 要不要BAD BAD LADY[00:01]楊丞琳[00:02]Bad Lady[00:03]作詞：鯨魚 Whale[00:04]作曲：Karencici[00:05]編曲：海大富 Deja Fu[00:14]剛剛醒過來 燈火夜闌珊 外賣 好慢[00:25]皮囊千千萬 越好看越不好玩 好爛[00:36]管我運動褲搭什麼外套[00:42]乖乖的弟弟 別讓我傷心[00:47]管我怎麼哭笑怎麼撒嬌[00:53]我不做自己 誰做我自己[00:58][02:06]BAD BAD LADY[01:01][02:08]BAD BAD LADY[01:03][02:11]BAD BAD LADY[01:06][02:14]BAD BAD LADY 要不要[01:09][02:17]BAD BAD LADY[01:12][02:20]BAD BAD LADY[01:15][02:22]BAD BAD LADY[01:18][02:25]BAD BAD LADY 要不要[01:20][02:28]BAD BAD LADY[01:22]慢歌都有毒 誰給個節奏 嘔吐 跳舞[01:33]找個另一半 再愛個如假包換 我敢[01:44]管我運動褲搭什麼外套[01:49]乖乖的弟弟 別讓我傷心[01:55]管我怎麼哭笑怎麼撒嬌[02:00]我不做自己 誰做我自己 感謝 sherry088  提供動態歌詞
"
3, Singing In The Rain,"作詞：賴暐哲編曲：賴暐哲也許是這樣的雨天 讓思緒無限地蔓延也許是 店內的音樂 讓我不由自主地想起你I'm just fine 不好不壞 別擔心一個人不自在 不過就只是你已經離開Always 總會想起你 伴隨著我呼吸的頻率Always 總會想到你 和過去所有美好回憶I sing around, walk around without you 我會好好的 好好的生活I just be normal, suddenly I just wanna sing a songCause you're in my mind I just wanna sing, wanna sing a song也許是這樣的雨天 讓思緒無限地蔓延也許是 店內的音樂 讓我不由自主地想起你I'm just fine 不好不壞 別擔心一個人不自在 不過就只是你已經離開更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 I just be normal, suddenly I just wanna sing a songCause you're in my mind I just wanna sing, wanna sing a songI said never think of youBut I lie, I did it inside, outsideStill now I just wanna think of youNow all bitter and sweet on my own夢中的每個場景 都聽見你的聲音 我想我還無法忘記 I know youI just be normal, suddenly I just wanna sing a songCause you' re in my mindI just wanna sing, wanna sing a song
"
4, 女孩們,"作詞：嚴云農、剃刀蔣 RAZOR作曲：Nico Larsson, Jay Max, Tae Wan, Alicia Angel編曲：ØZI、 剃刀蔣RAZOR作曲：Tae Wan&Alicia Angel&Nico Larsson&Jay Max作詞：嚴云農&剃刀蔣RAZOR完美就是個折磨人的念頭 想在它耳邊 說現形吧惡魔我們身體裡有一座皇宮 外牆卻過份雕琢LADY 諧音是淚滴 對不起 靈魂是 水做的誰下了標題 胸圍與胸襟 他們選了最廉價的那種女孩們加油 為何你要加油？ 這世界是誰狀況外 YEAH為生命開頭 還要收拾善後 這世界是誰在擔待 YEAH更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 請你自愛  由自己愛 自由自在 身為女孩 請自愛請你自愛  由自己愛 自由自在 所有男孩 請自愛給WOMAN一個 夢想與方向盤 馬路上的人會說 快 快 快 避難偏頗的眼光 有太多飛沫 卻在指責 誰咳了嗽DARLING 是說你大齡 對不起 說出了 小秘密那甜言蜜語 是要你相信 天下為公 同工不同酬Rap:經營的是內在  別再迷失不再虧待了自己  誰的評比 不用默認世界上的無理(無禮)  可以多一點華麗 一點叛逆 不用小心機 比較大器 誰沒那些過去 那些秘密  就當作是在品味 演個戲
"
5, 像是一顆星星,"作詞：李榮浩作曲：Jay Hong, Jackson Lee編曲：李榮浩、 Jackson Lee跌倒真的會不想再站起來 然後對著鏡子說 好多人還在等我我想我是一個倔強又平凡的人 我要經歷的 我正經歷著那時候變得堅定我記得好清楚 是第一次有人叫我名字 開始有人為我加油像是一顆星星 被保護著前進 那笑著笑著就想哭的心啊幸好有一些人不需要我太多解釋 只要求我 幾十年去換一點點成就大人們總告訴我該怎麼做 我一邊聽著聽著 一邊長成大人了我不想對過去的自己說些什麼 努力就好了 也就足夠了那時候變得堅定我記得好清楚 是第一次有人叫我名字 揮著手像是一顆星星 被保護著前進 那笑著笑著就想哭的心啊更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 幸好有一些人不需要我太多解釋 只要求我 幾十年去換一點點成就走過的那些日子 我有了我的故事被保護著前進 那笑著笑著就想哭的心啊幸好有一些人不需要我太多解釋 只要求我 幾十年去換一點點成就被保護著前進 那笑著笑著就想哭的心啊幸好有一些人不需要我太多解釋 只要求我 幾十年去換一點點成就最大的成就 是一些人會替我 記得 我做過什麼[00:00]楊丞琳[00:01]像是一顆星星[00:02]作詞：李榮浩[00:03]作曲：Jay Hong, Jackson Lee[00:04]編曲：李榮浩、 Jackson Lee[00:03]跌倒真的會不想再站起來[00:09]然後對著鏡子說 好多人還在等我[00:16]我想我是一個倔強又平凡的人[00:21]我要經歷的 我正經歷著[00:28]那時候變得堅定我記得好清楚[00:34]是第一次有人叫我名字[00:40]開始有人為我加油[00:46]像是一顆星星 被保護著前進[00:53]那笑著笑著就想哭的心啊[00:59]幸好有一些人不需要我太多解釋[01:06]只要求我 幾十年去換一點點成就[01:17]大人們總告訴我該怎麼做[01:21]我一邊聽著聽著 一邊長成大人了[01:29]我不想對過去的自己說些什麼[01:34]努力就好了 也就足夠了[01:41]那時候變得堅定我記得好清楚[01:47]是第一次有人叫我名字 揮著手[01:55]像是一顆星星 被保護著前進[02:03]那笑著笑著就想哭的心啊[02:08]幸好有一些人不需要我太多解釋[02:15]只要求我 幾十年去換一點點成就[02:23]走過的那些日子 我有了我的故事[02:37]被保護著前進 那笑著笑著就想哭的心啊[02:46]幸好有一些人不需要我太多解釋[02:53]只要求我 幾十年去換一點點成就[03:03]被保護著前進[03:06]那笑著笑著就想哭的心啊[03:11]幸好有一些人不需要我太多解釋[03:18]只要求我 幾十年去換一點點成就[03:28]最大的成就 是一些人會替我[03:34]記得 我做過什麼 感謝 sherry088  提供動態歌詞 感謝 hsuan  修正歌詞
"
6, 配對配,"作詞：啟兒作曲：Dena 張粹方, KIRE編曲：小安想你在做什麼 才過了幾分鐘沒你牽著的手 已經感覺失落好久沒有這樣的 戀愛心事和悸動總忍不住地想 你會怎麼說說對不對 說配不配 我的心卻只願為你解開配了就對 就配對配 愛了就愛了 就這麼簡單把每一部經典羅曼史再讀一次 越意外的愛情 是不是越有意思只是我不想是 別人口中的故事 只想陪你 就這一次更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 想和你 (再)靠近點 (能)面對面 貼著你的臉 有點害羞想要 抱著你 愛著你 配對配 叫一聲寶貝 你怎麼說說對不對 說配不配 我的心卻早已為你解開配了就對 就配對配 愛了就愛了 就這麼簡單把每一部浪漫電影也再看一次 越意外的愛情 總是越值得堅持只是我不想是 別人口中的故事 要你陪我 就這一次說對不對 說配不配 我的心卻早已為你解開配了就對 就配對配 愛了就愛了 就這麼簡單
"
7, 漂流浴室,"作詞：陳星翰、 M.A.T.H編曲：陳星翰、 M.A.T.H任水花 無私 包覆我 從耳朵 腳跟去滲透這時候 我只是我 寬衣解帶之後看不清 霧中 這臉孔 深呼吸 心跳 太赤裸 蓮蓬頭 代我淚流 浴缸化成了方舟ah 我漂流在一點七米的海 ah 天還沒亮我不要回來唸一串 浪編織的詩句追一隻 神秘鯨魚 沉浸 蔚藍幽靜 無人仙境讓我慢慢 閉上眼睛 自由式地享受孤寂 游過 奇想漩渦 直到黎明浴簾外 有誰 呼喚我 可惜我 還不想回頭珊瑚花 還沒看透 海馬在 深淵等我
"
8, 都因為你,"作詞：許哲珮作曲：高維綸, Vera Chai, 唐紹崴 $$uperCandy編曲：Fergus Chow, Derrick Sepnio我一直以為當烏雲密佈 想哭的時候剩我一人若昨天太沈重 對未來有困惑 此刻你說 it's okay如果想哭Wu~ 就哭~吧 肩膀借我 都因為你陪著我一起 唱起那首歌 我們笑著說著那些難忘的片刻不怕夜太深 重溫那道月色 像一朵彎彎的月 他瞇著眼笑著現在的我終於 能夠勇敢 回首過去癒合的傷口那些青春灑脫 為愛走失的夢 現在看來都~ 好等待升空 Wu~ 漫天煙火照亮了我 都因為你陪著我一起 唱起那首歌 我們笑著說著那些難忘的片刻更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 不怕夜太深 重溫那道月色 像一朵彎彎的月 他瞇著眼笑著有你 有我呀 Wu~ 是你 是我 在時光中迷藏有你 有我呀 Wu~ 是你 是我 找尋彼此方向只有你 聽懂 我頑強的心跳躍著時光的沙漏匯成了永恆 我在這  都因為你陪著我一起 唱起那首歌 我們笑著說著那些難忘的片刻不怕夜太深 重溫那道月色 像一朵彎彎的月 他瞇著眼笑著有你 有我呀 Wu~ 是你 是我 在時光中迷藏有你 有我呀 Wu~ 是你 是我(為)彼此指引方向
"
9, Tyre Burnout,"作曲：剃刀蔣 RAZOR編曲：剃刀蔣RAZOR
"
