,Name,Lyric
0, Intro,"作詞：Deca Joins作曲：Deca Joins編曲：鍾承洋我把我的靈魂送給你或是一首歌 帶你潛進深海裡我把我的秘密借給你一些孤獨的 自言自語[00:00.00]編曲：鍾承洋[01:01.62]我把我的靈魂送給你[01:07.13]或是一首歌 帶你潛進深海裡[01:16.32]我把我的秘密借給你[01:21.91]一些孤獨的 自言自語 友站連結： 田馥甄Hebe　
"
1, 先知,"作詞：葛大為作曲：張博彥、王宗凱、Tae Wan Kim、Nemo Lin、鈴凱編曲：小安你看起來有點累 晚餐有誰陪喔嗚 喔嗚 喔嗚喔不喜歡太常見面 但我約你就出現喔嗚 喔嗚 啊嗚判斷你 醒著 睡著 跑著 躺著排列 我的時間你控制一切 包括我的愛了You should know about itI did know about it我忽然 哭了 茫了 怕了 瘋了對齊 你的世界我清楚一切 除了你的愛呢You should know about itI do know about it訊息還在打逗點 你就往下接嗚嗚 嗚嗚 嗚嗚喔我也不算傻白甜 卻輕易被你破解嗚嗚 嗚嗚 啊嗚判斷你 醒著 睡著 跑著 躺著排列 我的時間你控制一切 包括我的愛了You should know about itI did know about it我忽然 哭了 茫了 怕了 瘋了對齊 你的世界我清楚 一切 除了你的愛呢更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 You should know about itI do know about it佔上風 又如何 攻或守 又如何潛移默化 鑽進你 記憶裡 多快樂(You should know about itI do know about it)(You should know about itI do know about it)然後你 醒著 睡著 跑著 躺著聽從 我的指揮制約你一切 挑個表白時辰You should know about itI did know about it於是我 哭了 茫了 怕了 瘋了期待 你的支配催眠我一切 差不多該吻了先知需要 意志堅定 面不改色隨你念的 怨的逃的 全歸我的先知是否 愛情滿分 誰會曉得解鈴的人 繫鈴的人 不都在這先知需要 意志堅定 面不改色隨你念的 怨的逃的 全歸我的先知是否 愛情滿分 誰會曉得(You should know about itI do know about it)[00:00.000]編曲：小安[01:23.448]你看起來有點累 晚餐有誰陪[01:29.332]喔嗚 喔嗚 喔嗚喔[01:36.565]不喜歡太常見面 但我約你就出現[01:42.582]喔嗚 喔嗚 啊嗚[01:49.481]判斷你 醒著 睡著 跑著 躺著[01:53.049]排列 我的時間[01:55.885]你控制一切 包括我的愛了[01:59.651]You should know about it[02:01.385]I did know about it[02:02.847]我忽然 哭了 茫了 怕了 瘋了[02:06.098]對齊 你的世界[02:09.265]我清楚一切 除了你的愛呢[02:12.782]You should know about it[02:14.565]I do know about it[02:29.931]訊息還在打逗點 你就往下接[02:36.065]嗚嗚 嗚嗚 嗚嗚喔[02:43.164]我也不算傻白甜 卻輕易被你破解[02:49.048]嗚嗚 嗚嗚 啊嗚[02:56.181]判斷你 醒著 睡著 跑著 躺著[02:59.665]排列 我的時間[03:02.639]你控制一切 包括我的愛了[03:06.349]You should know about it[03:07.866]I did know about it[03:09.447]我忽然 哭了 茫了 怕了 瘋了[03:12.981]對齊 你的世界[03:15.998]我清楚 一切 除了你的愛呢[03:19.582]You should know about it[03:21.182]I do know about it[03:22.781]佔上風 又如何 攻或守 又如何[03:29.231]潛移默化 鑽進你 記憶裡 多快樂[03:36.402](You should know about it[03:37.965]I do know about it)[03:49.885]然後你 醒著 睡著 跑著 躺著[03:53.081]聽從 我的指揮[03:55.933]制約你一切 挑個表白時辰[03:59.682]You should know about it[04:01.218]I did know about it[04:02.816]於是我 哭了 茫了 怕了 瘋了[04:06.365]期待 你的支配[04:09.215]催眠我一切 差不多該吻了[04:16.181]先知需要 意志堅定 面不改色[04:19.232]隨你念的 怨的逃的 全歸我的[04:22.581]先知是否 愛情滿分 誰會曉得[04:25.765]解鈴的人 繫鈴的人 不都在這[04:29.402]先知需要 意志堅定 面不改色[04:32.419]隨你念的 怨的逃的 全歸我的[04:35.783]先知是否 愛情滿分 誰會曉得[04:39.334](You should know about it[04:41.184]I do know about it) 友站連結： 田馥甄Hebe　
"
2, 田,"作詞：Monday Nightz作曲：秦旭章編曲：黃少雍翻過一個圈 飛進裡面大豐收的玉米田垂直降落翻滾一次頭昏眼裡冒 金星精密儀器算準了 距離為了你打造描繪the myth of crop circlesyou know你留下不負責的圖騰 在我心裡留下問號養外星人在玉米田 讓外星人死在田裡翻過一個圈 飛進裡面大豐收的玉米田更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 垂直降落翻滾一次頭昏眼裡冒 金星精密儀器算準了 距離為了你打造描繪the myth of crop circlesyou know你留下不負責的圖騰 在我心裡留下問號養外星人在玉米田 讓外星人死在田裡回收解不開的答案 留在房間自生自滅讓這裡的溫度失衡 讓外星人死在田裡[00:00.000]編曲：黃少雍[00:25.157]翻過一個圈 飛進裡面[00:30.222]大豐收的玉米田[00:34.756]垂直降落翻滾一次[00:39.491]頭昏眼裡冒 金星[00:44.805][00:45.456]精密儀器算準了 距離[00:48.255]為了你打造描繪[00:52.106]the myth of crop circles[00:54.974]you know[00:56.557][00:58.223]你留下不負責的圖騰 在我心裡留下問號[01:09.520]養外星人在玉米田 讓外星人死在田裡[01:20.136][01:42.981]翻過一個圈 飛進裡面[01:48.365]大豐收的玉米田[01:52.782]垂直降落翻滾一次[01:57.098]頭昏眼裡冒 金星[02:02.866][02:03.613]精密儀器算準了 距離[02:06.046]為了你打造描繪[02:10.212]the myth of crop circles[02:13.146]you know[02:14.663][02:41.580]你留下不負責的圖騰 在我心裡留下問號[02:52.363]養外星人在玉米田 讓外星人死在田裡[03:03.614][03:04.297]回收解不開的答案 留在房間自生自滅[03:14.963]讓這裡的溫度失衡 讓外星人死在田裡 友站連結： 田馥甄Hebe　
"
3, 底里歇斯,"作詞：周耀輝作曲：安眠巫師/川流編曲：魯綱宇水在心底流到哪裡有一些力氣不叫力氣火在腳底燒到哪裡真實不夠真實就算整個世界都說不可以可是一切渴望都靠潛意識最好讓你 歇斯底里不能自已才更自己至少陪我 底裡歇斯越是著迷越不受控制越著迷自然愛恨突然散聚能不能偶然沒有回憶更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 靈魂原始肉身開始會不會結果沒有原因就算整個世界都說不可以可是所有人類都要深呼吸最好讓你 歇斯底里不能自已才更自己至少陪我 底裡歇斯越是著迷越不受控制越著迷歇斯底里 呼喊生命不用別的只需要生命底裡歇斯 翻天覆地翻來覆去另有天地底裡歇斯 歇斯底里不用別的只需要生命歇斯底里 底裡歇斯最後要為最大的美麗最著迷 最著迷[00:00.000]編曲：魯綱宇[00:19.909]水在心底[00:21.607]流到哪裡[00:23.605]有一些力氣不叫力氣[00:27.668]火在腳底[00:29.649]燒到哪裡[00:31.732]真實不夠真實[00:35.926]就算整個世界都說不可以[00:44.185]可是一切渴望都靠潛意識[00:55.308]最好讓你 歇斯底里[01:00.091]不能自已才更自己[01:03.555]至少陪我 底裡歇斯[01:07.966]越是著迷越不受控制越著迷[01:28.396]自然愛恨[01:30.744]突然散聚[01:32.859]能不能偶然沒有回憶[01:36.871]靈魂原始[01:38.820]肉身開始[01:40.835]會不會結果沒有原因[01:45.199]就算整個世界都說不可以[01:53.293]可是所有人類都要深呼吸[02:00.348]最好讓你 歇斯底里[02:05.009]不能自已才更自己[02:08.539]至少陪我 底裡歇斯[02:13.085]越是著迷越不受控制越著迷[02:41.247]歇斯底里 呼喊生命[02:45.495]不用別的只需要生命[02:49.273]底裡歇斯 翻天覆地[02:53.785]翻來覆去另有天地[02:57.415]底裡歇斯 歇斯底里[03:01.862]不用別的只需要生命[03:05.291]歇斯底里 底裡歇斯[03:10.019]最後要為最大的美麗最著迷 最著迷 友站連結： 田馥甄Hebe　
"
4, 一一,"作詞：火星電台 Radio Mars作曲：火星電台 Radio Mars編曲：火星電台 Radio MarsGoodbye 偷信的人並不壞Goodbye 被愛的背對著愛 回來我們從小聰明 我們從大道理 先出來我們把老實的 我們把天才的 一一膜拜一一我們把小聰明 我們把大道理 先放開我們把找到的 我們把丟掉的 一 一 愛一 一 寵愛更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我們把小聰明 我們把大道理 先放開我們把找到的 我們把丟掉的 一 一 愛一 一 寵愛Goodbye 作秀的人 誰青睞 Hmm...Oh Bye 做錯的如果能再重來我們從老實的 我們從天才的 先出來我們把小聰明 我們把大道理 一 一用壞一 一[00:00.000]編曲：火星電台 Radio Mars[00:04.305]Goodbye 偷信的人並不壞[00:13.470]Goodbye 被愛的背對著愛 回來[00:28.389]我們從小聰明 我們從大道理 先出來[00:39.921]我們把老實的 我們把天才的 一一膜拜[00:52.054]一一[00:58.088]我們把小聰明 我們把大道理 先放開[01:10.138]我們把找到的 我們把丟掉的 一 一 愛[01:22.142]一 一 寵愛[02:25.081]我們把小聰明 我們把大道理 先放開[02:36.254]我們把找到的 我們把丟掉的 一 一 愛[02:49.073]一 一 寵愛[03:00.755]Goodbye 作秀的人 誰青睞 Hmm...[03:12.670]Oh Bye 做錯的如果能再重來[03:25.089]我們從老實的 我們從天才的 先出來[03:37.022]我們把小聰明 我們把大道理 一 一用壞[03:49.437]一 一 友站連結： 田馥甄Hebe　
"
5, 皆可,"作詞：藍小邪作曲：林家謙編曲：吳加恩可以只睡覺嗎不做成 什麼夢可以只呼吸嗎不吞吐 茫茫人生不勇敢不慌張不懷疑不信仰不用有什麼不聰明不笨拙不怕錯也不害怕不錯我可不可以 飄蕩成雨可不可以 碎裂成瓦礫可不可以 開成一朵 粉的雲誰懂 我可不可以 心向光明可不可以 身陷在泥濘可不可以 僅僅擁抱 我自己不勇敢不慌張不懷疑不信仰不用有什麼好在不聰明不笨拙不怕錯也不害怕不錯更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我可不可以 飄蕩成雨可不可以 碎裂成瓦礫可不可以 開成一朵 粉的雲誰懂 我可不可以 心向光明可不可以 身陷在泥濘可不可以 緊緊擁抱 我自己隨便我變成一粒塵 還是一顆星變成了海洋 還是空氣變成了自己 放過了自己都可以隨便我想要去哪裡 偏去了哪裡路過誰懷裡 誰的心裡看透了風景 淪為了風景都可以容我 哄哄 自己[00:00.000]編曲：吳加恩[00:24.527]可以只睡覺嗎[00:27.576]不做成 什麼夢[00:34.677]可以只呼吸嗎[00:37.509]不吞吐 茫茫人生[00:43.909]不勇敢不慌張不懷疑不信仰[00:48.927]不用有什麼[00:54.259]不聰明不笨拙不怕錯也不害怕[01:01.092]不錯[01:04.444]我可不可以 飄蕩成雨[01:09.843]可不可以 碎裂成瓦礫[01:14.845]可不可以 開成一朵 粉的雲[01:23.479]誰懂[01:24.609]我可不可以 心向光明[01:29.963]可不可以 身陷在泥濘[01:35.011]可不可以 僅僅擁抱 我自己[02:07.560]不勇敢不慌張不懷疑不信仰[02:12.162]不用有什麼[02:16.930]好在不聰明不笨拙不怕錯也不害怕[02:24.595]不錯[02:28.294]我可不可以 飄蕩成雨[02:33.612]可不可以 碎裂成瓦礫[02:38.712]可不可以 開成一朵 粉的雲[02:47.329]誰懂[02:48.010]我可不可以 心向光明[02:53.810]可不可以 身陷在泥濘[02:58.878]可不可以 緊緊擁抱 我自己[03:07.579]隨便我[03:09.511]變成一粒塵 還是一顆星[03:14.028]變成了海洋 還是空氣[03:19.412]變成了自己 放過了自己[03:24.510]都可以[03:27.762]隨便我[03:29.328]想要去哪裡 偏去了哪裡[03:34.128]路過誰懷裡 誰的心裡[03:39.594]看透了風景 淪為了風景[03:44.762]都可以[03:48.461]容我 哄哄 自己 友站連結： 田馥甄Hebe　
"
6, 無人知曉,"作詞：葛大為作曲：謝馨哲/吳萌編曲：張晁毓/柯遵毓我像是 小數點 第幾位存在但 能自動 被省略也習慣不避嫌跟你看作一對你也算 夠謹慎 的同類踏著卻 不逾越 那條線發生一切 或不發生一切又有什麼 差別看不見 聽不到 愛不了卻注定要糾結我想我 是壞人故意不聽懂你的拒絕難以昭告世界 愛上你多優越無人知曉 可不可憐不靠近 不走遠 不定義像玩笑的曖昧你說你 是壞人想安定也沒缺過消遣無權為你崩潰 卻帶一點慚愧我不夠好 害你虧欠還能夠 再糾纏 幾個月像爛戲 碰上了 好演員你想矯情一點 我就加倍收斂更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 陪到你 有下個 新對像記得要 找台階 讓我下兄弟姊妹 你就賜個稱謂反正我沒 負累看不見 聽不到 愛不了卻注定要糾結我想我 是壞人故意不聽懂你的拒絕難以昭告世界 愛上你多優越無人知曉 可不可憐不靠近 不走遠 不定義像玩笑的曖昧你說你 是壞人想安定也沒缺過消遣無權為你崩潰 卻帶一點慚愧我不夠好 害你虧欠好狡猾 好僥倖 好浪費誰道歉 都虛偽我們都 是壞人沒籌碼 卻想賭贏一切貪圖痛徹心扉 找不到施力點你既是誰 又不是誰進不進 退不退 又怎樣愛不愛 等不等 都不說無人知曉 多美[00:03.56]田馥甄 - 無人知曉[00:05.37]作詞：葛大為[00:06.73]作曲：謝馨哲、吳萌[00:16.36]我像是 小數點 第幾位[00:20.06]存在但 能自動 被省略[00:23.75]也習慣不避嫌[00:25.71]跟你看作一對[00:31.01]你也算 夠謹慎 的同類[00:34.92]踏著卻 不逾越 那條線[00:38.15]發生一切 或不發生一切[00:45.42]又有什麼 差別[00:53.42]看不見 聽不到 愛不了[00:56.06]卻註定要糾結[01:00.62]我想我 是壞人[01:02.58]故意不聽懂你的拒絕[01:07.73]難以昭告世界 愛上你多優越[01:14.48]無人知曉 可不可憐[01:22.93]不靠近 不走遠 不定義[01:25.72]像玩笑的曖昧[01:30.18]你說你 是壞人[01:32.15]想安定也沒缺過消遣[01:37.34]無權為你崩潰 卻帶一點慚愧[01:44.24]我不夠好 害你虧欠[02:16.24]還能夠 再糾纏 幾個月[02:19.93]像爛戲 碰上了 好演員[02:23.78]你想矯情一點 我就加倍收斂[02:31.20]陪到你 有下個 新對象[02:34.71]記得要 找臺階 讓我下[02:38.00]兄弟姊妹 你就賜個稱謂[02:45.44]反正我沒 負累[02:53.37]看不見 聽不到 愛不了[02:56.01]卻註定要糾結[03:00.72]我想我 是壞人[03:02.53]故意不聽懂你的拒絕[03:07.67]難以昭告世界 愛上你多優越[03:14.41]無人知曉 可不可憐[03:22.86]不靠近 不走遠 不定義[03:25.64]像玩笑的曖昧[03:30.10]你說你 是壞人[03:31.99]想安定也沒缺過消遣[03:37.34]無權為你崩潰 卻帶一點慚愧[03:43.98]我不夠好 害你虧欠[03:52.45]好狡猾 好僥倖 好浪費[03:55.25]誰道歉 都虛偽[03:59.78]我們都 是壞人[04:01.64]沒籌碼 卻想賭贏一切[04:06.83]貪圖痛徹心扉 找不到施力點[04:13.71]你既是誰 又不是誰[04:25.56]進不進 退不退 又怎樣[04:29.48]愛不愛 等不等 都不說[04:33.40]無人知曉 多美 友站連結： 田馥甄Hebe　
"
7, 諷刺的情書,"作詞：丁世光作曲：丁世光編曲：丁世光、程振興愛過幾個人 篤定的眼神差點以為世界多天真糾纏幾回合 問自己要不要這麼笨屢次揮霍信任當夜讓房間失溫 才曉得心要止疼忘卻要是本能就好了我執迷的 渴求的 愛綻放的煙火被熄滅了 冷卻了 是否我還不夠虔誠讓一個人 活著的 是不自知的溫柔那糖果盒子打開以後唯一真相是你不屬於我從前笑別人 寫言情為生好成那樣哪裡有可能寫文字的人 怎麼冷靜寫自己愚蠢落款是淚痕當咖啡店也清冷 祇能回寓所出神似乎還有事情要做我焚燒的 吹散的 是諷刺的情書將我淹沒的窒息的 是你鎮定的信口開河讓一個人重生的 是不自知的溫柔更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 這並不是什麼塞翁的傳說只是兩個隨風的靈魂錯過談不上失去什麼怎能為沒發生的事難過我們終究要對自己坦誠我執迷的 渴求的 愛綻放的煙火被熄滅了 冷卻了 莫非夢得還不夠虔誠讓一個人 活著的 是不自知的溫柔那糖果盒子打開以後唯一真相是你不屬於我這諷刺的情書將我淹沒的窒息的 是你諱莫如深的信口開河讓一個人重生的 是不自知的溫柔這並不是什麼塞翁的傳說只是兩個隨風的靈魂錯過愛過幾個人 篤定的眼神好像這個世界多天真[00:00.000]編曲：丁世光、程振興[00:15.003]愛過幾個人 篤定的眼神 差點以為世界多天真[00:26.920]糾纏幾回合 問自己要不要這麼笨 屢次揮霍信任[00:39.237]當夜讓房間失溫 才曉得心要止疼 忘卻要是本能就好了[00:51.138]我執迷的 渴求的 愛綻放的煙火[00:57.172]被熄滅了 冷卻了 是否我還不夠虔誠[01:03.539]讓一個人 活著的 是不自知的溫柔[01:09.454]那糖果盒子打開以後 唯一真相是你不屬於我[01:28.288]從前笑別人 寫言情為生 好成那樣哪裡有可能[01:40.220]寫文字的人 怎麼冷靜寫自己愚蠢 落款是淚痕[01:52.266]當咖啡店也清冷 祇能回寓所出神 似乎還有事情要做[02:04.650]我焚燒的 吹散的 是諷刺的情書[02:10.349]將我淹沒的窒息的 是你鎮定的信口開河[02:16.666]讓一個人重生的 是不自知的溫柔[02:22.332]這並不是什麼塞翁的傳說 只是兩個隨風的靈魂錯過[02:31.966]談不上失去什麼 怎能為沒發生的事難過 我們終究要對自己坦誠[02:47.517]我執迷的 渴求的 愛綻放的煙火[02:53.500]被熄滅了 冷卻了 莫非夢得還不夠虔誠[02:59.883]讓一個人 活著的 是不自知的溫柔[03:06.000]那糖果盒子打開以後 唯一真相是你不屬於我[03:15.517]這諷刺的情書[03:18.384]將我淹沒的窒息的 是你諱莫如深的信口開河[03:24.734]讓一個人重生的 是不自知的溫柔[03:30.784]這並不是什麼塞翁的傳說 只是兩個隨風的靈魂錯過[03:49.666]愛過幾個人 篤定的眼神 好像這個世界多天真 友站連結： 田馥甄Hebe　
"
8, 人什麼的最麻煩了,"作詞：QUARK作曲：QUARK編曲：葉賀璞你走下樓梯 在轉角最近的便利商店只是坐著 像不再期待地坐著手中那杯失溫的咖啡 比心還暖一點只是看著車子一輛一輛經過身邊只是看著 像沒有盼望地看著也沒有人說話 沒有人願意說出心底的話人啊 真是一種麻煩的生物呼吸要比說謊還辛苦 誰認真誰認輸人啊 笑著笑著怎麼就哭了太清醒比愛困還折騰 不清楚 到底什麼緣故麻煩到底 矛盾到底 難搞到底人什麼的最麻煩了我走出房門 在你曾靜默的那個位子只是坐著 像沒有回憶地坐著臉頰那滴發燙的眼淚 比心還暖一點只是看著行人一步一步經過身邊更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 只是看著 像不被在乎地看著也不想要說話 沒有人願意聽懂心底的話人啊 真是一種麻煩的生物呼吸要比說謊還辛苦 誰認真誰認輸人啊 笑著笑著怎麼就哭了太清醒比愛困還折騰 不清楚 到底什麼緣故麻煩到底 矛盾到底 難搞到底真是無可救藥的生物不願透露自己的無助 卻渴望被在乎人啊 生活要比電影還浮誇流淚特寫慢動作放大 多上相 連敷衍都完美無瑕麻煩到底 矛盾到底 難搞到底人什麼的最麻煩了[00:01.000]編曲：葉賀璞[00:23.667]你走下樓梯　在轉角最近的便利商店[00:28.246]只是坐著　像不再期待地坐著[00:33.857]手中那杯失溫的咖啡　比心還暖一點[00:41.249]只是看著車子一輛一輛經過身邊[00:44.881]只是看著　像沒有盼望地看著[00:49.793]也沒有人說話　沒有人願意說出心底的話[02:37.328][01:00.665]人啊　真是一種麻煩的生物[02:42.083][01:05.509]呼吸要比說謊還辛苦　誰認真誰認輸[02:47.069][01:10.305]人啊　笑著笑著怎麼就哭了[02:51.823][01:15.118]太清醒比愛困還折騰　不清楚　到底什麼緣故[03:37.678][02:59.083][01:22.440]麻煩到底　矛盾到底　難搞到底[03:53.462][01:38.010]人什麼的最麻煩了[02:00.603]我走出房門　在你曾靜默的那個位子[02:05.016]只是坐著　像沒有回憶地坐著[02:10.647]臉頰那滴發燙的眼淚　比心還暖一點[02:18.123]只是看著行人一步一步經過身邊[02:21.586]只是看著　像不被在乎地看著[02:26.451]也不想要說話　沒有人願意聽懂心底的話[03:18.524]真是無可救藥的生物[03:20.823]不願透露自己的無助　卻渴望被在乎[03:25.717]人啊　生活要比電影還浮誇[03:30.496]流淚特寫慢動作放大　多上相　連敷衍都完美無瑕 友站連結： 田馥甄Hebe　
"
9, 懸日,"作詞：葛大為作曲：知更編曲：柯宏昇、羅恩妮黃昏宣告著 今天已死亡淡去的光陰 是我的戰場重遇在熱絡的市集我很喜歡你的她多配你呀是真的開心 不是在作假沒有煙硝 互動健康趕緊拿出我的手機也讓你看看我的他不介意的話落下 同一顆太陽有什麼特別的嗎你還不是一樣溫暖卻停在遠方對峙著不可能的愛情也該像懸日那樣讓它落下她刻意放空自己想留點時間讓我們再說說話更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我像在愚弄自己演哪齣破綻百出的心胸寬大你不忘調侃自己不夠好卻總是有人為你牽掛我又被回憶波及心怎會這樣不強壯落下 同一顆太陽有什麼特別的嗎你還不是一樣溫暖卻停在遠方對峙著不可能的愛情也該像懸日那樣讓它落下讓它落下讓我放下我沒放下我想放下[00:00.000]編曲：柯宏昇、羅恩妮[00:23.309]黃昏宣告著 今天已死亡[00:28.944]淡去的光陰 是我的戰場[00:34.243]重遇在熱絡的市集[00:37.893]我很喜歡你的她[00:45.361]多配你呀[00:57.944]是真的開心 不是在作假[01:03.763]沒有煙硝 互動健康[01:09.176]趕緊拿出我的手機[01:12.544]也讓你看看我的他[01:19.660]不介意的話[01:25.743]落下 同一顆太陽[01:30.348]有什麼特別的嗎[01:38.426]你還不是一樣[01:42.012]溫暖卻停在遠方[01:49.143]對峙著不可能的愛情[01:53.561]也該像懸日那樣[02:00.443]讓它落下[02:24.709]她刻意放空自己[02:28.226]想留點時間讓我們[02:31.461]再說說話[02:36.097]我像在愚弄自己[02:39.810]演哪出破綻百出的[02:43.112]心胸寬大[02:47.910]你不忘調侃自己[02:51.359]不夠好卻總是有人[02:54.913]為你牽掛[02:59.278]我又被回憶波及[03:02.879]心怎會這樣不強壯[03:09.597]落下 同一顆太陽[03:14.778]有什麼特別的嗎[03:21.993]你還不是一樣[03:26.262]溫暖卻停在遠方[03:33.379]對峙著不可能的愛情[03:37.793]也該像懸日那樣[03:44.460]讓它落下[03:50.260]讓它落下[03:56.111]讓我放下[04:01.812]我沒放下[04:07.894]我想放下 感謝 不被記著的人  修正歌詞 友站連結： 田馥甄Hebe　
"
