,Name,Lyric
0, 彼得潘,"Peter Pan作詞：金田作曲：蕭敬騰將 你的舌頭 你的拳頭 你的心魔 拿來作為掠奪 獵物的刀口把 你的苦毒 你的可惡 你的憤怒 拿來當成折磨 俘虜的成就我該怎麼做 又該怎麼過 這一池混水祈禱著自己可以勇敢長大陌生世界裡不再築牆黑暗迷途中抓住光亮不躲藏我 沈默 不代表我接受我 拯救 心裡的小朋友彼得潘  Peter Pen更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我會將 你的舌頭 你的拳頭 你的心魔 獻祭當成悔過 靈魂的解脫把 你的苦毒 你的可惡 你的憤怒 埋葬作為養分 盛開的花朵我不再懦弱 也不再退縮 攪一池混水祈禱著自己努力蛻下翅膀不在虛幻的夢裡飛翔不再警戒逝去的時光不懼怕我 沈默 不代表我接受我 拯救 心裡的小朋友彼得潘  彼得潘Peter Pen彼得潘
"
1, 我,"feat. 馬佳作詞：奶六作曲：蕭敬騰[Verse]靜默了藤羅痕跡 蔓延那胡同巷裡誰人的醉墨淋漓 寫成傳記褪下的朱紅故居 靈魂深處埋詩韻而我不停踏進 不停追尋[Pre Chorus]花 飛紛飛漫 用思念去灌溉擁抱 圍繞 赤裸的未來時逆 水逆 跨越這一片海找回真正的自己 不再等待[Chorus]還是我 最初的我你一直都在 我身後被你疼愛 我不寂寞[Verse 2]揮袖脂粉歌戲曲 撥動故人心弦泣窗外穿透一聲擊 萬奏鳴起橋上的悲歡合離 祈禱著萬世安寧載承多少記憶 多少曾經[Pre Chorus 2]心 遺忘燦爛 而迷失方向感遠方 前方 萬人崇拜越靠 越近 心臟逐漸發熱找回真正的自己 不再等待[Chorus 2]還是我 最初的我你一直都在 我身後被你疼愛 我不寂寞你一直都在 我身後被你疼愛 我不墜落
"
2, 不完美的我,"電影 跟你老婆去旅行 主題曲作詞：林孝謙作曲：蕭敬騰編曲：Xie Jiawang你走得太刻意連嘆息都清晰太沈重的流星 已墜地告別滿天的曾經一萬句對不起換一句沒關係像傾盆的大雨 全抹去關於你所有痕跡深愛過 才執著終於放開手解脫了解脫但我淚在流Oh 那不完美的我有你陪伴 青春的殘破也都顯得成熟深愛過才退縮更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 分開的路口錯過了錯過永遠離開我Oh從不完美的我你填補了我 生命的缺漏卻留下我面對 全宇宙沒轉圜的餘地沒打破的僵局像承諾的話語 已過期剩下心碎 (的) 軌跡深愛過 才脆弱放心忘了我以後的以後從不屬於我Oh那不完美的我你始終為我 默默地守候替我隱藏著傷口Oh 從不完美的我是愛終於讓  我學會接受那個沒有你的 全宇宙
"
3, 薩哈星球,"作詞：阿火、奶六作曲：蕭敬騰編曲：劉品賢雨後目擊外星生物流言將幻想給撐住妳的星球適合登陸設定座標直線加速飛越薩哈星球 我是妳的索羅吉他或是長笛 發送愛美樂蒂飛越薩哈星球 足跡將妳肉搜粉紅流星劃開 整個宇宙突破大氣層的厚度掩飾不了興奮眼珠人多的地球太擁擠我跟著繞 氧氣不足更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 飛越薩哈星球 我是妳的索羅吉他或是長笛 發送愛美樂蒂飛越薩哈星球 足跡將妳肉搜唯一沒有之一 抓緊愛馬上就抵達星球     成為妳的索羅編號17N9    會在一起很久薩哈星球     成為妳的索羅發射我的脈搏 劃開整個宇宙Woo~wa~wa~wa~快坐上太空梭加滿了自由Rainbow貼滿星球 ya~薩哈星球
"
4, 猴籠,"Dance Monkey原唱：Tones and I中文填詞：奶六作詞：Tones and I作曲：Tones and IDance for me Dance for me Dance for me不用懷疑 沒人像你一樣 為我付出所有他說 Move for me Move for me Move for me安可響起 再一首別停下來唄快一點籠裏 歐買尬 關不住的光彩親愛的 今晚我為你停下來聚光燈照射 序幕即將被拉開成千上萬 眼珠子昏暗中飄閃Ooh I see you see you(你的每次出現)See you every time(我都移不開視線)你的風采 我崇拜喔 你讓我 讓我 讓我 跳起來舞動夜晚 尖叫 吶喊 萬人狂歡當我說 Dance for me Dance for me Dance for me不用懷疑 沒人像你一樣 為我付出所有他說 Move for me Move for me Move for me安可響起 再一首別停下來唄萬眾矚目 頻頻騷首Walking by不說話 娛樂了眾人的依賴更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 就像隻猴子一生跳舞的精彩尾巴出來 回應了所有的期待Ooh I see you see youSee you every time你的風采 換我崇拜喔 你讓我 讓我 讓我 跳起來舞動夜晚 尖叫 吶喊 萬人狂歡當我說 Dance for me Dance for me Dance for me不用懷疑 沒人像你一樣 為我付出所有他說 Move for me Move for me Move for me安可響起 再一首別停下來我說 Dance for me Dance for me Dance for me不用懷疑 沒人像你一樣 為我付出所有他說 Move for me Move for me Move for me安可響起 再一首別停下來唄當我說 Dance for me Dance for me Dance for me不用懷疑 沒人像你一樣 為我付出所有他說 Move for me Move for me Move for me安可響起 再一首別停下來唄我說 Dance for me Dance for me Dance for me不用懷疑 沒人像你一樣 為我付出所有他說Move for me Move for me Move for me安可響起 再一首別停下來唄Dance for me 感謝 菲妮克斯  提供歌詞
"
5, 我說了算,"綜藝 我們的樂隊 主題曲演唱：蕭敬騰 / 謝霆鋒 /王俊凱作詞：藍小邪作曲：謝霆鋒編曲：陳子龍(合) 我恨我愛 (合體)我瘋我壞 (合體)我來這世界 鬧一場 我說了算我恨我愛 (合體) 我瘋我壞 (合體)我來這世界 走一趟 難道還怕太痛快(蕭) 這遊戲好玩就在一旦打開就絕不能 重來在座的沒有誰敢不流點汗 只冷著眼旁觀(謝) 輸了的都是應該贏了的不過是活該我只能活好現在管明天它愛來不來(合) 我恨我愛 (合體)我瘋我壞 (合體)我來這世界 鬧一場 我說了算我恨我愛 (合體) 我瘋我壞 (合體)我來這世界 走一趟 難道還怕太痛快(王) 我管我一身血汗能不能讓 這人間更燦爛只知道眼角太乾更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 不會好玩 不會證明存在(蕭) 生命像一場狂歡總能容下我的節拍命運愛瘋狂轉彎就比它更熱烈搖擺(合) 我恨我愛 (合體)我瘋我壞 (合體)我來這世界 鬧一場 我說了算我恨我愛 (合體) 我瘋我壞 (合體)我來這世界 走一趟 難道還怕太痛快Woo Woo Woo Woo WooWoo Woo Woo Woo WooWoo Woo Woo Woo WooWoo Woo Woo Woo WooWoo Woo Woo Woo WooWoo Woo Woo Woo WooWoo Woo Woo Woo WooWoo Woo Woo Woo Woo(合) 我恨我愛 (合體)我瘋我壞 (合體)我來這世界 鬧一場 我說了算我恨我愛 (合體) 我瘋我壞 (合體)我來這世界 走一趟 難道還怕太痛快 感謝 菲妮克斯  提供歌詞
"
6, 正義之獅,"電視劇 你好檢察官 主題曲作詞：易家揚作曲：樸成日(PARK SUNG IL)編曲：Uncle Sam天平攤在手掌一劍劈開黑暗非真勿視我公正的宣判雷聲轟炸心臟盼望 雨後太陽為嚇走惡獸放手一戰聽 慾望在叫嚷心沒亂 衝撞邪惡的鋒芒一路上 仗義行俠 永遠不投降我聽到正義獅吼像巨浪破烏雲謎團 讓惡魔膽寒更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我不怕不苦不退讓對所有的魑魅魍魎 宣戰淚 銘記了信仰心別忘 萬分之一的希望這世上 善惡參半 心鏡誰擦亮我看到正義獅吼在發燙愛烙成勳章 將熱血點燃我不退不等不孤單讓天下的 雪霾霧霜 退散我聽到正義獅吼像巨浪破烏雲謎團 讓惡魔膽寒我不怕不苦不退讓對所有的魑魅魍魎 宣戰宣戰 感謝 菲妮克斯  提供歌詞
"
7, 亡羊,"電影 誤殺 主題曲作詞：樓南蔚作曲：鍾興民編曲：鍾興民是誰在暗地角落 給一槍是誰用謊言 控訴真相安靜的凌晨幾點擾人眠的聲響我們都身不由己披荊上戰場生活不能再 順理成章睜開眼睛就要計算著如何去武裝盲從世界裡蒙著眼很迷茫 也很慌張迷途的歧路亡羊我要不一樣我渴望 有擔當 有雙翅膀自由如鳥飛翔生命的長廊等待一支火柴的照亮更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 習慣了 順著陽光 去眺望習慣這地方 處處天堂看不清那些詭計有心人 在醞釀聽不到 流言蜚語 全面在釋放生活已經脫序 太荒唐可能影子都要背叛你 走另個方向盲從世界裡蒙著眼很迷茫 也很慌張迷途的歧路亡羊我要不一樣我渴望 有擔當 有雙翅膀自由如鳥飛翔盲從世界裡蒙著眼很迷茫 也很慌張迷途的歧路亡羊我要不一樣我渴望 有擔當 有雙翅膀自由如鳥飛翔生命的長廊等待一支火柴的照亮 感謝 菲妮克斯  提供歌詞
"
8, 美麗，醜與我,"作詞：蕭敬騰作曲：蕭敬騰編曲：蕭敬騰、阿火美麗的是不是掩蓋著醜陋醜陋的是否能將永恆解鎖或許答案不只是美麗與否還有一個我 還有一個我我怎麼好像有預感暴風雨要襲來空氣中早已被佈滿花火即將引燃所有花瓶都飛起來快要釀成意外更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 所有花瓶都掉下來我們也碎碎成了平安不要吵了 啊~啊~別再吵了 啊~啊~美麗的是不是掩蓋著醜陋醜陋的是否能將永恆解鎖或許答案不只是美麗與否還有一個我 還有一個我[00:02.81]蕭敬騰[00:04.72][00:05.90]美麗，醜與我[00:06.98][00:08.14]作詞：蕭敬騰[00:09.30]作曲：蕭敬騰[00:10.82]編曲：蕭敬騰、阿火[00:11.42][01:24.61][00:11.65]美麗的是不是掩蓋著醜陋[01:30.93][00:18.36]醜陋的是否能將永恆解鎖[01:37.30][00:25.43]或許答案不只是美麗與否[01:42.94][00:31.72]還有一個我 還有一個我[01:56.76][00:44.05][02:02.53][00:58.74]我怎麼好像有預感[02:04.83][01:00.80]暴風雨要襲來[02:08.82][01:04.86]空氣中早已被佈滿[02:11.28][01:07.22]花火即將引燃[02:15.29][01:11.19]所有花瓶都飛起來[02:17.41][01:13.35][02:17.69][01:13.53]快要釀成意外[02:21.61][01:17.62]所有花瓶都掉下來[02:23.99][01:20.08]我們也碎成了平安[02:26.94][01:23.56][02:28.30][01:24.32]不要吵了 啊~啊~[02:37.96][02:41.36]別再吵了 啊~啊~[02:46.91][03:26.68][02:54.24]美麗的是不是掩蓋著醜陋[03:34.47][03:00.58]醜陋的是否能將永恆解鎖[03:41.72][03:06.87]或許答案不只是美麗與否[03:54.26][03:12.56]還有一個我 還有一個我[04:09.23][03:26.31] 感謝 菲妮克斯  提供歌詞 感謝 Wuden  提供動態歌詞
"
9, 耍 light(OPPO R17 廣告歌曲),"作詞：鄒強作曲：鄒強編曲：鄒強黑夜靠近來對 新世界的期待那 城市裡的舞臺是心動的所在帥氣的瀏海拍 一張帥的自拍想 全力探索今晚我把能量充滿白天為你存在黑夜為你而來捕捉你的現在埋藏深深腦海觸碰你的坦白解鎖你的色彩指紋留在心坎感動照亮未來耍light 美麗的夜晚啟動超閃能量滿載解鎖全新色彩夜 裡的展開隨光而變心動所在R17陪你玩Oh oh oh oh  請你打給我更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 Oh oh oh oh  請你打給我Oh oh oh oh  不要再閃躲Oh oh oh oh  現在就打給你越夜你越美麗越夜你越美麗越夜你越美麗我變得不得已越夜你越美麗越夜你越美麗越夜你越美麗我的世界只有你耍light 美麗的夜晚啟動超閃能量滿載解鎖全新色彩夜 裡的展開隨光而變心動所在R17陪你耍light美麗的夜晚啟動超閃能量滿載解鎖全新色彩夜 裡的展開隨光而變心動所在R17陪你玩
"
