,Name,Lyric
0, Tomorrow will be fine.,"作詞：史俊威作曲：史俊威編曲：徐千秀這條路  好漫長  時光逼著我們長大好多話  不能講  只有把酒言歡地藏這世界  說大不大一生能有多少的失望一人能裝多少的希望我最盼望有一雙翅膀能夠帶我飛離這城牆  讓我們 都一樣停不了對夢想的渴望那就放膽一搏再去闖一闖Tomorrow will be fine.Tomorrow I'll be fine.Tomorrow we'll be fine.黑夜裡  的亮光  放在心裡自問自答對不起  我好傻  並不只是一句氣話再一起  地老天荒一生能有多少個願望我最盼望有一雙翅膀更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 能夠帶我飛離這城牆  讓我們 都一樣停不了對夢想的渴望那就放膽一搏再去闖一闖Tomorrow will be fine.Tomorrow I'll be fine.Tomorrow we'll be fine.穿過雲間的光照在人間這是我們宣告的信念我最盼望有一雙翅膀能夠帶我飛離這城牆  讓我們 都一樣停不了對夢想的渴望那就放膽一搏再去闖一闖Tomorrow will be fine.Tomorrow I'll be fine.Tomorrow we'll be fine.[00:00.00]Tomorrow will be fine - 蘇打綠[00:20.00]作詞：史俊威 作曲：史俊威 編曲：徐千秀[00:51.34]這條路 好漫長 時光逼著我們長大[01:01.71]好多話 不能講 只有把酒言歡地藏[01:11.21]這世界 說大不大[01:16.57][01:18.69]一生能有多少的失望[01:28.67]一人能裝多少的希望[01:35.67][01:38.00]我最盼望有一雙翅膀[01:42.68]能夠帶我飛離這城牆 讓我們 都一樣[01:52.12]停不了對夢想的渴望[01:56.78]那就放膽一搏再去闖一闖[02:03.08]Tomorrow will be fine[02:07.24]Tomorrow I'll be fine[02:12.22]Tomorrow we'll be fine[02:18.29][02:33.64]黑夜裡 的亮光 放在心裡自問自答[02:43.02]對不起 我好傻 並不只是一句氣話[02:53.00]再一起 地老天荒[03:01.00]一生能有多少個願望[03:10.73]我最盼望有一雙翅膀[03:15.23]能夠帶我飛離這城牆 讓我們 都一樣[03:24.63]停不了對夢想的渴望[03:29.32]那就放膽一搏再去闖一闖[03:35.73]Tomorrow will be fine[03:40.23]Tomorrow I'll be fine[03:44.43]Tomorrow we'll be fine[03:49.22]穿過雲間的光照在人間[03:56.14]這是我們宣告的信念[04:06.14][04:08.14]我最盼望有一雙翅膀[04:12.44]能夠帶我飛離這城牆 讓我們 都一樣[04:22.24]停不了對夢想的渴望[04:26.68]那就放膽一搏再去闖一闖[04:33.00]Tomorrow will be fine[04:37.54]Tomorrow I'll be fine[04:42.14]Tomorrow we'll be fine[04:48.14]We'll be fine[04:51.84]
"
1, 故事,"作詞：吳青峰作曲：吳青峰編曲：蘇打綠、林暐哲秋風，推開緊閉的門扉；階前，秋水孟浪逼上眼。梧桐，吹亂漫身黃雨煙；歸雁，揉碎無邊豔陽天。浮生願，不曾解，我還有，一些念，向桃花的盡頭追；一葉舟，一蓑煙，丟了槳，也無悔，任江水漂流我飛。我唱，我寫，我藏，我找，這緜延的故事還未了；我愛，我恨，我哭，我笑，人生一場大夢，葉落知多少？更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 (人生一場大夢，知多少？)(人生一場大夢，夜落不覺曉。)生活，幾莖頭髮幾莖愁；飄過，恰似天地一蜉蝣。曲終了，燈未盡，月積水，帶露去，衣袖沾溼不要緊；人不見，數峰青，東籬下，一身輕，繽紛落英，忘了路遠近。醒來，也無風雨也無晴；睡去，已忘言語已忘我。[00:00.00]故事 - 蘇打綠[00:15.00]詞曲：吳青峰[00:30.00][00:34.84]秋風，推開緊閉的門扉；[00:43.27]階前，秋水孟浪逼上眼。[00:50.36][00:52.13]梧桐，吹亂漫身黃雨煙；[01:00.66]歸雁，揉碎無邊艷陽天。[01:08.42][01:09.67]浮生願，不曾解，我還有，一些念，[01:14.20]向桃花的盡頭追；[01:18.23]一葉舟，一蓑煙，丟了槳，也無悔，[01:22.94]任江水漂流我飛。[01:27.72][01:33.53]我唱，我寫，我藏，我找，[01:38.14]這緜延的故事還未了；[01:42.33]我愛，我恨，我哭，我笑，[01:46.85]人生一場大夢，葉落知多少？[01:53.96][02:11.95]生活，幾莖頭髮幾莖愁；[02:20.38]飄過，恰似天地一蜉蝣。[02:27.74][02:29.09]曲終了，燈未盡，月積水，帶露去，[02:33.82]衣袖沾濕不要緊；[02:37.89]人不見，數峰青，東籬下，一身輕，[02:42.53]繽紛落英，忘了路遠近。[02:52.74][02:53.25]我唱，我寫，我藏，我找，[02:57.82]這緜延的故事還未了；[03:01.99]我愛，我恨，我哭，我笑，[03:06.49]人生一場大夢，知多少？[03:10.46][03:10.62]我唱，我寫，我藏，我找，[03:15.29]這緜延的故事還未了；[03:19.35]我愛，我恨，我哭，我笑，[03:23.99]人生一場大夢，夜落不覺曉。[03:33.44][03:58.79]醒來，也無風雨也無晴；[04:08.64]睡去，已忘言語已忘我。[04:20.85]
"
2, 蟬想,"作詞：吳青峰作曲：吳青峰某個夏天 一座花園 沾滿塵土的翅膀那棵名以為我的樹 招惹了一陣蟬榻春天氾濫的痕跡 淪喪的溫床愛呀 弄污了一個又一個胸膛粉飾魔鬼的幻想是我背叛地心磁場讓歸巢的白鴿無法再回航重傷的魚在泥沼中掙扎夏蟬猛把天地叫窄 容不下過去未來蝴蝶夫人白費等待 換來斷氣的絢爛更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 點破容易看透難 都一身糾纏愛呀 弄污了一個又一個胸膛粉飾魔鬼的幻想慾望掠奪後更窮涼再認不得路回家我弄污了愛情的胸膛背叛多年等待的夢想再不能愛 也是活該只能短暫 所以大嚷[00:09.60]蟬想[00:21.02]詞曲/吳青峰[00:33.04][00:56.09]某個夏天 一座花園[01:01.78]沾滿塵土的翅膀[01:07.59]那棵名以為我的樹[01:13.15]招惹了一陣蟬榻[01:17.93]春天氾濫的痕跡 淪喪的溫床[01:27.65][01:28.74]愛呀 弄污了一個又一個胸膛[01:36.06]粉飾魔鬼的幻想[02:50.96][01:41.72]是我背叛地心磁場[02:57.35][01:48.15]讓歸巢的白鴿無法再回航[03:04.85][01:55.63]重傷的魚在泥沼中掙扎[02:03.76][02:05.77]夏蟬猛把天地叫窄[02:11.52]容不下過去未來[02:17.24]蝴蝶夫人白費等待[02:22.88]換來斷氣的絢爛[02:27.57]點破容易看透難 都一身糾纏[03:121.77][02:36.99][03:35.57][02:38.42]愛呀 弄污了一個又一個胸膛[03:42.93][02:45.76]粉飾魔鬼的幻想[03:48.10]慾望掠奪後更窮涼[03:54.57]再認不得路回家[03:59.56]我弄污愛情的胸膛[04:04.97]背叛多年等待的夢想[04:10.07]再不能愛 也是活該[04:37.94][04:23.57][04:28.21]只能短暫 所以大嚷
"
3, 融雪之前,"作詞：青峰作曲：青峰某夜 你離開 某天 你走來某刻 我明白 某種 我的愛睡在 夢境徘徊 世界停擺 只剩我存在看見 風吹來 聽見 雲散開預見 你的愛 遇見 心雪白天地 不慢不快 不好不壞 專心而澎湃更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 不再 費疑猜 不再 害怕醒過來不再 有不安 有陽光 就有黑暗放開時間空間而存在日代替月笑著醒過來[00:01.00]蘇打綠 - 融雪之前[00:03.00]某夜 你離開 某天 你走來[00:24.17]某刻 我明白 某種 我的愛[00:37.56]睡在 夢境徘徊 世界停擺 只剩我存在[00:51.21]看見 風吹來 聽見 雲散開[01:05.37]預見 你的愛 遇見 心雪白[01:18.12][02:08.59]天地 不慢不快 不好不壞 專心而澎湃[01:31.43][02:52.62]不再 費疑猜 不再 害怕醒過來[01:44.98][03:06.20]不再 有不安 有陽光 就有黑暗[01:58.03][03:19.65]放開時間空間而存在[03:29.76]日代替月笑著醒過來
"
4, 痛快的哀艷,"作詞：吳青峰作曲：吳青峰編曲：蘇打綠 / 林暐哲監製：林暐哲整個星群 無人不病 只是要比 誰病得輕細菌持續蔓延 突然潛伏又越來越高白日低吟 一臉冷靜 夜晚解禁 放聲詬病細菌持續蔓延 突然潛伏又越來越高沒人能離開 沒人能離開 祈禱而上帝也只好兩手攤開沒人能例外 沒人能例外 冷淡宿命玩弄著他哀艷的痛快哀艷的痛快 哀艷的痛快整個星群 無人不病 只是要比 誰病得輕細菌持續蔓延 突然潛伏又越來越高更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 沒人能離開 沒人能離開 祈禱而上帝也只好兩手攤開沒人得到理睬 沒人得到理睬 乞討而所有也只是不理不睬沒人可能隱埋 沒人可能隱埋 逃跑而世界也只教落得活埋沒人能例外 沒人能例外 冷淡宿命玩弄著他哀艷的痛快哀艷的痛快 哀艷的痛快來繼續崇拜 來繼續耍賴 來繼續萌芽更多的鬼胎繼續被欺瞞 繼續被出賣 繼續廉價地證明自己所存在白鴿沾染 黑色塵埃 綠樹記載 血紅陰霾我想跑開 無法跑開 我想期待 沒有期待我讓你揭發 我讓你恨 我讓你罪怪我[ti:痛快的哀豔][ar:蘇打綠][al:冬 未了][by:GetNoTogether][00:00.00]痛快的哀豔 - 蘇打綠[00:20.00]詞曲：吳青峰 編曲:蘇打綠 林暐哲[00:40.00][00:48.47]整個星群 無人不病[00:56.27]只是要比 誰病得輕[01:04.24]細菌持續蔓延 突然潛伏又越來越高[01:20.09][01:20.54]白日低吟 一臉冷靜[01:28.24]夜晚解禁 放聲詬病[01:36.20]細菌持續蔓延 突然潛伏又越來越高[01:52.05][01:52.86]沒人能離開 沒人能離開[01:56.66]祈禱而上帝也只好兩手攤開[02:00.91]沒人能例外 沒人能例外[02:04.68]冷淡宿命玩弄著他哀豔的痛快[02:11.01]哀豔的痛快 哀豔的痛快[02:20.47][02:40.30]整個星群 無人不病[02:48.47]只是要比 誰病得輕[02:56.25]細菌持續蔓延 突然潛伏又越來越高[03:12.15][03:12.87]沒人能離開 沒人能離開[03:16.80]祈禱而上帝也只好兩手攤開[03:20.78]沒人得到理睬 沒人得到理睬[03:24.70]乞討而所有也只是不理不睬[03:28.79][03:29.13]沒人可能隱埋 沒人可能隱埋[03:32.68]逃跑而世界也只教落得活埋[03:36.87]沒人能例外 沒人能例外[03:40.70]冷淡宿命玩弄著他哀豔的痛快[03:47.18]哀豔的痛快 哀豔的痛快[03:59.62][04:00.17]來繼續崇拜 來繼續耍賴[04:04.51]來繼續萌芽更多的鬼胎[04:08.47]繼續被欺瞞 繼續被出賣[04:12.22]繼續廉價地證明自己所存在[04:16.28][04:16.58]白鴿沾染 黑色塵埃[04:20.32]綠樹記載 血紅陰霾[04:24.38]我想跑開 無法跑開[04:28.37]我想期待 沒有期待[04:36.92][05:44.24]我讓你揭發 我讓你恨 我讓你罪怪我[05:57.61]
"
5, 你心裡最後一個,"作詞：吳青峰作曲：吳青峰編曲：蘇打綠、林暐哲眼著溶解的雲，緩慢地開綻，碎裂的時間，滑著傘沿打下。戰爭歇在心裡，祈禱披蓋一場綿­綿。寂寞都霧了。空蕩蕩的舞台上，孤單單的指揮家，在你面前演一場，我曾懷疑是幻象。藥水請蕭邦地擦，­謊言請李白地講，在你手裡睡一下，帶著暖心的傷，結痂。耳著凝結的雨，倒帶地昇華，共鳴的時間，枕著故事而上。場景醒在睡裡，預言沖刷一片朗­朗，溫柔都亮了。更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 紅通通的月亮下，暖烘烘的燕尾床，在你面前扯了嗓，我也脫掉了害怕。快樂請煙火地嚷，­憂傷請汪洋地放，在你心裡睡一下，生著微笑的花，帶傷。沉甸甸的寧靜上，輕飄飄的精靈光，趕走失眠裡的羊，不需為幻象害怕。聲線就青鳥地唱，­腳步就落葉地踏，在你笑裡睡一下，結著守護的痂，生花。躺在海的眠床上......你在眼前......[00:00.00]你心裡最後一個 - 蘇打綠[00:05.00]詞曲：吳青峰[00:10.00][00:12.24]眼著溶解的雲 緩慢地開綻[00:19.28]碎裂的時間 滑著傘沿打下[00:25.81]戰爭歇在心裡 祈禱披蓋一場綿綿[00:31.40]寂寞都霧了[00:35.44][00:39.84]空蕩蕩的舞台上 孤單單的指揮家[00:46.25]在你面前演一場我曾懷疑是幻象[00:53.01]藥水請蕭邦地擦 謊言請李白地講[00:59.03]在你手裡睡一下 帶著暖心的傷 結痂[01:15.16][01:33.97]耳著凝結的雨 倒帶地昇華[01:40.50]共鳴的時間 枕著故事而上[01:47.21]場景醒在睡裡預言 沖刷一片朗-朗[01:52.74]溫柔都亮了[01:55.72][02:00.61]紅通通的月亮下 暖烘烘的燕尾床[02:07.08]在你面前扯了嗓 我也脫掉了害怕[02:13.81]快樂請煙火地嚷 憂傷請汪洋地放[02:19.93]在你心裡睡一下 生著微笑的花帶傷[02:32.05][02:32.96]沉甸甸的寧靜上 輕飄飄的精靈光[02:39.72]趕走失眠裡的羊 不需為幻象害怕[02:45.91]聲線就青鳥地唱 腳步就落葉地踏[02:53.43]在你笑裡睡一下 結著守護的痂 生花[03:08.96][03:29.02]躺在海的眠床上 你在眼前[03:42.76]
"
6, 後悔莫及,"作詞：青峰作曲：青峰風景 能不能更美麗抽屜 塞不下太多太多的東西風景 就不能再美麗抽屜 也只好越來越來越擁擠因為你哭泣 因為你孤寂 就變成無可預期的一瞬間因為你哭泣 因為你孤寂 就變成無可預期的一瞬間電梯 它能上下來去腦筋 能不能自由自在的來去電梯 也只能夠上下交替腦筋 只好慢慢死去麻痹於是你哭泣 於是你孤寂 停在那不能自己的一瞬間更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 於是你哭泣 於是你孤寂 停在那不能自己的一瞬間行李 收拾了隨你去情緒 可否只是一場無聊遊戲行李 你拒絕那麼容易情緒 了不起那麼危險沒道理所以你哭泣 所以你孤寂 就在那已來不及的一瞬間所以你哭泣 所以你孤寂 就在那已來不及的一瞬間最後你哭泣 最後你孤寂 永遠在遙不可及的一瞬間最後你哭泣 最後你孤寂 永遠在遙不可及的一瞬間[00:01.23]後悔莫及[00:08.23]詞曲：青峰[00:14.23]演唱：蘇打綠[00:20.23][03:34.49]蘇打綠-後悔莫及[00:27.23][03:37.11][00:34.03]風景能不能更美麗[00:40.86]抽屜塞不下太多太多的東西[00:47.65]風景就不能再美麗[00:54.43]抽屜也只好越來越來越擁擠[01:01.05][01:08.13]因為你哭泣因為你孤寂[01:04.68][01:11.54]就變成無可預期的一瞬間[01:15.60]Oh…la Oh…la Oh…lala[01:15.60]Oh…la Oh…la Oh…laoh[01:28.89]電梯它能上下來去[01:35.67]腦筋能不能自由自在的來去[01:42.46]電梯也只能夠上下交替[01:49.26]腦筋只好慢慢死去麻痹[01:56.07][02:02.93]於是你哭泣於是你孤寂[01:59.51][02:06.27]停在那不能自己的一瞬間[02:10.00][02:16.86][02:23.68][02:30.54]La……[02:37.36]行李收拾了隨你去[02:44.17]情緒可否只是一場無聊遊戲[02:51.04]行李你拒絕那麼容易[02:57.69]情緒了不起那麼危險沒道理[03:04.45][03:11.50]所以你哭泣所以你孤寂[03:08.01][03:14.87]就在那已來不及的一瞬間[03:18.22][03:25.14]最後你哭泣最後你孤寂[03:21.65][03:28.64]永遠在遙不可及的一瞬間
"
7, 吵,"作詞：小威 青峰作曲：小威瀕臨破曉 空氣寂寥 放下尋找 等一個擁抱(等他的擁抱)諾言煩惱 錯過就好 你了不了 沒那麼重要(我不想知道)反覆擱淺 等一片味道 這場戲演得無聊(這場戲太過無聊)清晨三點 不許你吵 你還在胡鬧 新鮮早已退潮停止不了 拖延不如趁早 放肆情緒發燒你想找 我想逃 倒不如分道揚鑣更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 相思潮 啃咬我 揮不掉你打擾 我祈禱 過眼就變成飛鳥你的手 撫不了 我羽毛反覆擱淺 等一片味道 這場戲太過無聊清晨三點 不許你吵 你還在胡鬧 新鮮早已退潮停止不了 拖延不如趁早 呼吸停不了 你別吵 別吵 別吵[00:18.92]瀕臨破曉 空氣寂寥[00:22.84]放下尋找 等一個擁抱[00:26.56]諾言煩惱 錯過就好[00:30.18]你了不了 沒那麼重要[00:33.90]反覆擱淺 等一片味道[00:37.61]這場戲演得無聊[00:41.28]清晨三點 不許你吵[00:44.16]你還在胡鬧 新鮮早已退潮[00:48.29]停止不了 拖延不如趁早[00:51.80]放肆情緒發燒[00:56.65]瀕臨破曉 空氣寂寥[01:00.12]放下尋找 等一個擁抱[01:03.81]諾言煩惱 錯過就好[01:07.47]你了不了 沒那麼重要[01:10.76]反覆擱淺 等一片味道[01:14.35]這場戲演得無聊[01:18.73]清晨三點 不許你吵[01:21.73]你還在胡鬧 新鮮早已退潮[01:25.62]停止不了 拖延不如趁早[01:29.22]放肆情緒發燒[01:33.57]你想找 我想逃[01:37.11]倒不如分道揚鑣[01:40.83]相思潮 啃咬我 揮不掉[01:48.14]你打擾 我祈禱[01:51.82]過眼就變成飛鳥[01:55.51]你的手 撫不了 我羽毛[02:30.39]你想找 我想逃[02:34.41]倒不如分道揚鑣[02:38.15]相思潮 啃咬我 揮不掉[02:45.56]你打擾 我祈禱[02:49.12]過眼就變成飛鳥[02:52.83]你的手 撫不了 我羽毛[02:59.97]你想找 我想逃[03:03.56]倒不如分道揚鑣[03:07.33]相思潮 啃咬我 揮不掉[03:14.74]你打擾 我祈禱[03:18.27]過眼就變成飛鳥[03:22.02]你的手 撫不了 我羽毛[03:29.62]瀕臨破曉 空氣寂寥[03:33.28]放下尋找 等他的擁抱[03:36.93]諾言煩惱 錯過就好[03:40.67]你了不了 我不想知道[03:43.93]反覆擱淺 等一片味道[03:48.05]這場戲太過無聊[03:51.72]清晨三點 不許你吵[03:54.56]你還在胡鬧 新鮮早已退潮[03:58.66]停止不了 拖延不如趁早[04:02.30]呼吸停不了 你別吵 別吵 別吵
"
8, 城市,"作詞：青峰作曲：青峰這座城市一般讓你在夢中不停的衰老人像落葉一般冬天的空中冰冷的容貌城市面目猙獰 駕著光速奔跑我們是沉默機器 對照著時間表我們就像溫室的花朵麻木的心 刷白的瞳孔彩色的臉 混亂的慾望和顫抖現在是謠言侵略事實的時代必須偷看哪個誰是不是在偷看這座城市一般享受著奢侈卻莫名失落人像稀釋一般在鬧區列車上逐漸沉默更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我們囚禁在格林威治的規則裡在數位的銀色浪花中喘不過氣我們就像溫室的花朵麻木的心 刷白的瞳孔彩色的臉 混亂的慾望和顫抖現在是現在侵略過去的時代必須悲哀快樂所帶來的更悲哀這座城市裡面試著讓自己沒有那麼糟人像落葉迎面在一座ㄧ座孤獨島中間我微笑[ti:城市][ar:蘇打綠][al:無與倫比的美麗][by:][00:00.00]曲目：城市[00:05.00]演唱：蘇打綠[00:10.00][00:21.15]這座城市一般[00:25.07]讓你在夢中不停地衰老[00:34.76]人像落葉一般[00:38.73]冬天的空中冰冷的容貌[00:49.41][00:49.79]城市面目猙獰 駕著光速奔跑[00:56.30]我們是沉默機器 對照著時間表[01:03.25][01:03.41]我們就像溫室的花朵[01:10.19]麻木的心 刷白的瞳孔[01:17.03]彩色的臉 混亂的慾望和顫抖[01:26.56]現在是謠言侵略事實的時代[01:33.38]必須偷看哪個誰是不是在偷看[01:43.87][02:09.09]這座城市一般[02:13.93]享受著奢侈卻莫名失落[02:23.67]人像稀釋一般[02:27.66]在鬧區列車上逐漸沉默[02:37.48][02:37.67]我們囚禁在格林威治的規則里[02:44.16]在數位的銀色浪花中喘不過氣[02:52.60][02:52.75]我們就像溫室的花朵[02:59.54]麻木的心 刷白的瞳孔[03:06.37]彩色的臉 混亂的慾望和顫抖[03:15.19]現在是現在侵略過去的時代[03:21.93]必須悲哀快樂所帶來的更悲哀[03:34.33][03:48.34]這座城市里面[03:52.85]試著讓自己沒有那麼糟[04:02.86]人像落葉迎面[04:06.66]在一座一座孤獨島中間
"
9, 小情歌,"作詞：青峰作曲：青峰這是一首簡單的小情歌唱著人們心腸的曲折我想我很快樂 當有你的溫熱腳邊的空氣轉了這是一首簡單的小情歌唱著我們心頭的白鴿我想我很適合 當一個歌頌者青春在風中飄著你知道 就算大雨讓整座城市顛倒我會給你懷抱受不了 看見你背影來到寫下我 度秒如年難捱的離騷就算整個世界被寂寞綁票我也不會奔跑逃不了 最後誰也都蒼老寫下我 時間和琴聲交錯的城堡這是一首簡單的小情歌更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 唱著我們心頭的白鴿我想我很適合 當一個歌頌者青春在風中飄著你知道 就算大雨讓整座城市顛倒我會給你懷抱受不了 看見你背影來到寫下我 度秒如年難捱的離騷就算整個世界被寂寞綁票我也不會奔跑逃不了 最後誰也都蒼老寫下我 時間和琴聲交錯的城堡你知道 就算大雨讓整座城市顛倒我會給你懷抱受不了 看見你背影來到寫下我 度秒如年難捱的離騷就算整個世界被寂寞綁票我也不會奔跑最後誰也都蒼老寫下我 時間和琴聲交錯的城堡[00:13.65]3.小情歌[00:18.23]作詞：青峰 作曲：青峰[00:29.33]這是一首簡單的小情歌[00:36.66]唱著人們心腸的曲折[00:42.92]我想我很快樂　當有你的溫熱[00:51.18]腳邊的空氣轉了[00:59.91][02:28.14][01:13.64]這是一首簡單的小情歌[02:37.52][01:20.96]唱著我們心頭的白鴿[02:42.72][01:27.02]我想我很適合　當一個歌頌者[02:50.40][01:34.73]青春在風中飄著[03:30.21][02:57.54][01:41.88]你知道　就算大雨讓整座城市顛倒[03:35.57][03:02.16][01:46.04]我會給你懷抱[03:37.57][03:04.72][01:48.73]受不了　看見你背影來到[03:41.98][03:08.34][01:52.23]寫下我　度秒如年難挨的離騷[03:45.84][03:12.93][01:57.25]就算整個世界被寂寞綁票[03:49.94][03:16.45][02:00.69]我也不會奔跑[03:53.39][03:19.78][02:03.50]逃不了　最後誰也都蒼老[03:56.03][03:23.45][02:06.97]寫下我　時間和琴聲交錯的城堡[02:18.56]
"
