,Name,Lyric
0, 兩個你(粵),"Double You作詞：G.E.M.鄧紫棋作曲：G.E.M.鄧紫棋編曲：G.E.M.鄧紫棋、T-Ma 馬敬恆像  未曾認識你像全部憶記  你早拋棄太異樣  想要望穿你直覺這刻你有  太多可揭秘這場遊戲  我只想學懂怎樣識別你是要抽離  定有轉機有兩個你一個我憎恨  想要忘記快將要視你  已經死一個卻深夜  總會念記記憶裡極美  這兩個你這兩個你  這兩個你異常地抽象更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 為何熟悉你已  彷彿似我幻象怎去辨真相大腦有點缺氧  世間太無常這場遊戲  我只想學懂怎樣識別你是要抽離  定有轉機有兩個你一個我憎恨  想要忘記快將要視你  已經死一個卻深夜  總會念記記憶裡極美有兩個你心裡清楚  這是歪理卻不惜包庇  沒有骨氣心知不爭氣  卻甘心入戲不捨不棄  這兩個你這兩個你
"
1, 兩個自己,"Double Me作詞：G.E.M.鄧紫棋作曲：G.E.M.鄧紫棋編曲：G.E.M.鄧紫棋、T-Ma 馬敬恆像  從不認識你像全部的回憶  都已被你拋棄無法看透你直覺你心裡有  太多的秘密被你蒙住了眼睛我該如何去分析是要離去  還是繼續兩個自己一個想忘記  想要逃離一切有關於你的消息一個卻心裡  遙望著你等一個奇蹟  兩個自己兩個自己  兩個自己到底你是誰為何面對你會  突然不知進退理智被摧毀更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 對你難分錯對  是我太愚昧被你蒙住了眼睛我該如何去分析是要離去  還是繼續兩個自己一個想忘記  想要逃離一切有關於你的消息一個卻心裡  遙望著你等一個奇蹟欺騙自己  這叫愛情刻骨銘心  才難捨難離恨我自己  明明都看清卻狠不下心  不能自已兩個自己兩個自己[00:00.00]G.E.M.鄧紫棋[00:01.00]兩個自己[00:02.00]Double Me[00:03.00][00:05.00]作詞：G.E.M.鄧紫棋[00:06.00]作曲：G.E.M.鄧紫棋[00:07.00]編曲：G.E.M.鄧紫棋、T-Ma 馬敬恆[00:08.00]By MAX007[00:10.68]像 從不認識你[00:14.64]像全部的回憶 都已被你拋棄[00:22.76]無法看透你[00:25.40]直覺你心裡有 太多的秘密[00:31.90]被你蒙住了眼睛[00:36.00]我該如何去分析[00:40.60]是要離去[00:46.16]還是繼續[00:51.76]兩個自己[00:54.64]一個想忘記 想要逃離[00:59.32]一切有關於你的消息[01:05.16]一個卻心裡 遙望著你[01:10.40]等一個奇蹟 兩個自己[01:23.48]兩個自己[01:34.28]兩個自己[01:37.36]到底你是誰[01:40.00]為何面對你會 突然不知進退[01:48.00]理智被摧毀[01:50.59]對你難分錯對 是我太愚昧[01:57.05]被你蒙住了眼睛[02:01.63]我該如何去分析[02:06.09]是要離去[02:11.70]還是繼續[02:17.04]兩個自己[02:20.00]一個想忘記 想要逃離[02:24.72]一切有關於你的消息[02:30.08]一個卻心裡 遙望著你[02:35.56]等一個奇蹟[02:38.24]欺騙自己 這叫愛情[02:43.65]刻骨銘心 才難捨難離[02:48.54]恨我自己 明明都看清[02:54.44]卻狠不下心 不能自已[02:59.40]兩個自己[03:10.13]兩個自己 感謝 MAX007  提供動態歌詞
"
2, 超能力(Superpower),"作詞：G.E.M.鄧紫棋作曲：G.E.M.鄧紫棋編曲：G.E.M.鄧紫棋、T-Ma 馬敬恆還沒完全離去也許  是在等個結局Yeah 但故事再延續你演了場 滑稽的喜劇要忘掉一個人也許  心裡要帶點怨恨例如發現你  沒多單純我卻有多愚蠢這會不會是你唯一的謊言不可能  不可能這只不過是我第一次發現你的謊  有多漂亮你是否有超能力說謊才能全部都不留痕跡  不可思議原來你的超能力瞬間能夠崩塌我所有回憶  我討厭你Biu Biu Biu Biu Biu Biu Biu噢我好想代替月亮消滅你  我討厭你Biu Biu Biu Biu Biu Biu Biu噢你的偽裝實在無人能及  天下無敵Shhhhhh  關閉嘴巴就讓假亦真時真亦假你的笑話  我無法消化Badaboom  原地爆炸更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 你炸到我心碎成了煙花(My God)那讓我苦中作樂吧這會不會是你唯一的謊言不可能  不可能這只不過是我第一次發現你的謊  有多漂亮你是否有超能力說謊才能 全部都不留痕跡  不可思議原來你的超能力瞬間能夠崩塌我所有回憶  我討厭你Biu Biu Biu Biu Biu Biu Biu噢我好想代替月亮消滅你  我討厭你Biu Biu Biu Biu Biu Biu Biu噢你的偽裝實在無人能及  天下無敵我從未想過有一天會感覺不認識你你神奇得就像世界第八個奇蹟超能力說謊才能 全部都不留痕跡  不可思議原來你的超能力瞬間能夠崩塌我所有回憶  我討厭你Biu Biu Biu Biu Biu Biu Biu超能力  超能力Biu Biu Biu Biu Biu Biu Biu超能力  超能力
"
3, 萬國覺醒(Rise),"作詞：G.E.M.鄧紫棋作曲：G.E.M.鄧紫棋編曲：陳令韜、BFCat大肥貓兵無常勢水無常形不移我的決心倒數最後的寂靜迎接我的天命AH AH一聲號令忘卻悲歡AH AH砍下荊棘編織皇冠英雄來時都無名誰大夢先覺醒 OH~覺醒~英雄去時都無字為萬國的覺醒 OH~覺醒~微風搖曳的燭光照亮鏡子里的妝耳聽聲嘶的吶喊俯瞰劍影和刀光AH AH更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 一聲號令噩夢里狂歡AH AH砍下荊棘編織皇冠英雄來時都無名誰大夢先覺醒 OH~覺醒~英雄去時都無字為萬國的覺醒 OH~覺醒~稱王的路無歸烽火之間除我無誰而我若於心無愧成王敗寇也無悔英雄來時都無名誰大夢先覺醒 OH~覺醒英雄去時都無字為萬國的覺醒 OH~覺醒英雄本無名萬國終覺醒OH~覺醒~ OH~覺醒~英雄本無名萬國終覺醒OH~覺醒~ OH~覺醒~ 感謝 羊羊  修正歌詞
"
4, 平凡天使,"作詞：鄧紫棋作曲：鄧紫棋別怕漫長的黑夜抬頭看看星星 此刻正連成線也許是一場考驗看散落的心靈 此刻是否並肩當你祈禱能看見奇蹟你是否相信 那答案就是你你是最平凡 卻最溫暖 的天使此刻風雨裡 可幸有你 的堅持你帶淚的笑容 有天會帶來雨後的彩虹世界因為你 在痛裡有感動多少次沿路顛簸更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 多少大雨滂沱 我們都曾渡過儘管會怕會難過同舟的你和我 再不必退縮當你祈禱能看見奇蹟你是否相信 那答案就是你你是最平凡 卻最溫暖 的天使此刻風雨裡 可幸有你 的堅持你帶淚的笑容 有天會帶來雨後的彩虹世界因為你 在痛裡有感動[00:06.50]鄧紫棋 - 平凡天使[00:11.31]作詞：鄧紫棋[00:14.54]作曲：鄧紫棋[00:19.28][00:28.75]別怕漫長的黑夜[00:33.00]抬頭看看星星 此刻正連成線[00:40.65][00:42.49]也許是一場考驗[00:46.50]看散落的心靈 此刻是否並肩[00:54.16][00:56.50]當你祈禱能看見奇蹟[01:00.42]你是否相信 那答案就是你[01:08.20][01:08.85]你是最平凡 卻最溫暖 的天使[01:15.60]此刻風雨裡 可幸有你 的堅持[01:21.20]你帶淚的笑容 有天會帶來雨後的彩虹[01:29.30]世界因為你 在痛裡有感動[01:35.17][01:37.56]多少次沿路顛簸[01:41.68]多少大雨滂沱 我們都曾渡過[01:50.97]儘管會怕會難過[01:55.32]同舟的你和我 再不必退縮[02:04.00][02:04.45]當你祈禱能看見奇蹟[02:09.13]你是否相信 那答案就是你[02:16.90][02:17.41]你是最平凡 卻最溫暖 的天使[02:24.10]此刻風雨裡 可幸有你 的堅持[02:29.60]你帶淚的笑容 有天會帶來雨後的彩虹[02:37.67]世界因為你 在痛裡有感動 感謝 台中五迷 - 品睿  提供歌詞 感謝 台中五迷 - 品睿  提供動態歌詞
"
5, 句號,"作詞：G.E.M.鄧紫棋作曲：G.E.M.鄧紫棋可惜我們終於來到 一個句號窗外不願飛的蜂鳥 也在哀悼城市再也不會聽到 我們爭吵你會不會少了一點煩惱回到十二年前 回憶就在眼前你帶著帽子 而我樣子 帶著靦腆不過第一次的見面 你說你有先見 我的先天 被訓練過 我能有片天我當時天真 寡見鮮聞不像成年人 有能力辨認不是為了賺了有錢分 我為我的前程希望我寫的歌裡面有更好的和弦聲時針滴滴答 你還記得嗎說句心裡話 你還懷念嗎第一次發唱片 就一馬當先從此在大場面 我不再站旁邊我是真的感謝 佩服你的眼界怎麼想到和你是帶著刺痛地完結你看著一朵花慢慢萌芽我卻看著你意氣慢慢風發慾望聚沙成塔 價值慢慢分岔太多失望讓我對你的信任慢慢崩塌可惜我們終於來到 一個句號窗外不願飛的蜂鳥 也在哀悼城市再也不會聽到 我們爭吵你會不會少了一點煩惱更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 時針滴滴答 你還記得嗎說句心裡話 你還懷念嗎你說我是個商品 沒有你我就不可以這些扭曲的真理 差點毁掉我的自信如今的我已覺醒 如今我不再哭泣再不怕堅持自己 做你沒做對的決定你知道嗎 這一輩子除了我的爸爸你曾是我最信任的男人吧但空白的娃娃 總會慢慢長大抱歉我沒法永遠當你聽話的傻瓜可惜我們終於來到 一個句號窗外不願飛的蜂鳥 也在哀悼城市再也不會聽到 我們爭吵你會不會少了一點煩惱多少年裡 多少遍你 多少錯卻沒多少歉意但過去了就不再介意 把珍貴的放心裡把痛的傷的全都忘記 我青春的全部回憶那愛的恨的全都是你 希望你偶爾也會想起就讓我真心真意 把歌唱完重新開始時針滴滴答 你還記得嗎說句心裡話 你還懷念嗎[00:12.85]可惜我們終於來到 一個句號[00:19.28]窗外不願飛的蜂鳥 也在哀悼[00:25.91]城市再也不會聽到 我們爭吵[00:32.57]你會不會少了一點煩惱[00:39.88]回到十二年前 回憶就在眼前[00:43.23]你帶著帽子 而我樣子 帶著靦腆[00:46.51]不過第一次的見面 你說[00:48.36]你有先見 我的先天 被訓練過 我能有片天[00:53.22]我當時天真 寡見鮮聞[00:56.27]不像成年人 有能力辨認[00:59.49]不是為了賺了有錢分 我為我的前程[01:03.35]希望我寫的歌裡面有更好的和弦聲[01:06.31]時針滴滴答 你還記得嗎[01:12.48]說句心裡話 你還懷念嗎[01:19.04]第一次發唱片 就一馬當先[01:23.11]從此在大場面 我不再站旁邊[01:26.43]我是真的感謝 佩服你的眼界[01:29.90]怎麼想到和你是帶著刺痛地完結[01:33.20]你看著一朵花慢慢萌芽[01:36.41]我卻看著你意氣慢慢風發[01:39.63]慾望聚沙成塔 價值慢慢分岔[01:43.10]太多失望讓我對你的信任慢慢崩塌[01:46.40]可惜我們終於來到 一個句號[01:51.88]窗外不願飛的蜂鳥 也在哀悼[01:59.52]城市再也不會聽到 我們爭吵[02:05.63]你會不會少了一點煩惱[02:13.13]時針滴滴答 你還記得嗎[02:19.31]說句心裡話 你還懷念嗎[02:25.53]你說我是個商品 沒有你我就不可以[02:29.11]這些扭曲的真理 差點毀掉我的自信[02:32.26]如今的我已覺醒 如今我不再哭泣[02:35.71]再不怕堅持自己 做你沒做對的決定[02:39.07]你知道嗎 這一輩子除了我的爸爸[02:43.27]你曾是我最信任的男人吧[02:46.18]但空白的娃娃 總會慢慢長大[02:49.70]抱歉我沒法永遠當你聽話的傻瓜[02:52.75]可惜我們終於來到一個句號[02:59.46]窗外不願飛的蜂鳥 也在哀悼[03:06.03]城市再也不會聽到 我們爭吵[03:13.13]你會不會少了一點煩惱[03:21.64]多少年裡 多少遍你[03:24.99]多少錯卻沒多少歉意[03:27.88]但過去了就不再介意[03:30.49]把珍貴的放心裡 把痛的傷的全都忘記[03:34.55]我青春的全部回憶[03:37.78]那愛的恨的全都是你[03:41.48]希望你偶爾也會想起[03:43.70]就讓我真心真意 把歌唱完重新開始[03:47.30]時針滴滴答 你還記得嗎[03:52.30]說句心裡話 你還懷念嗎 感謝 阿呆  修正歌詞
"
6, 差不多姑娘,"作詞：姚中仁、G.E.M. 鄧紫棋作曲：姚中仁、G.E.M. 鄧紫棋編曲：T-Ma 馬敬恆差不多的姑娘追逐差不多的漂亮她們差不多的願望牽著她們鼻子方向我回到差不多的家躺在差不多的沙發微博差不多的刷 都吃著差不多的瓜那標題差不多的炸 八著差不多的卦網友差不多的嘴弄髒了差不多的話一條差不多的事業線 抓差不多的眼看著差不多的留言 都是差不多的賤到處差不多的Baby 比著差不多的基尼舉著差不多的V 擠著差不多的D在差不多的街頭 擺著差不多的Pose跟差不多的潮流 整了差不多的Nose交差不多的男友 走得差不多的Close供差不多的樓 送差不多的Rose跳著差不多的舞 扭著差不多的屁股差不多的思路 嫌差不多的腿粗看差不多的臉書 人差不多都想哭女孩差不多的路 都差不多無助差不多的姑娘追逐差不多的漂亮她們差不多的願望牽著她們鼻子方向都露著差不多的腰Fake著差不多的微笑撒著差不多的嬌 關係差不多的靠抱 差不多的大腿 語氣差不多的騷靠 差不多的方法 買了差不多的包都逞著差不多的強所以講話差不多的嗆差不多思想 都有著差不多狹窄審美觀更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 差不多 的彈 差不多 的讚為差不多 的閃光 差不多 的忙喝差不多的紅酒 啃著差不多的肉對差不多的鏡頭 演著差不多的秀圖差不多的修 修得差不多的瘦身邊差不多的密友 都是差不多的LowOH 差不多的優越感寫在差不多的臉上在差不多的機場 走差不多紅的地毯差不多 的妝 差不多 的浪裙子差不多 的短 家裡差不多 的髒差不多的姑娘追逐差不多的漂亮她們差不多的願望牽著她們鼻子方向差不多的你 差不多的我差不多的她 差不多的傻聽著差不多的廢話差不多的那些烏鴉 又嘻嘻哈哈吱吱又喳喳 都差不多的瞎差不多姑娘 都土生土長 在有毒的土壤差不多都曾對鏡子裡的自己失望差不多都遺忘 沒有武裝的模樣這差不多的症狀 誇張而現在各位姑娘 這裡我要分享曾經的我都一樣 有差不多的憂傷差不多兩個禮拜沒有吃飯差不多我就把命給送上數不盡的差不多 都差不多差不多 人生真的不該這麼過像我唱的那首歌差不多的虛榮如果能夠看破只是差不多的那個 泡沫[00:00.05]G.E.M.鄧紫棋[00:00.08]差不多姑娘[00:00.11]作詞：姚中仁、G.E.M. 鄧紫棋[00:00.15]作曲：姚中仁、G.E.M. 鄧紫棋[00:00.18]編曲：T-Ma 馬敬恆[00:00.23][00:01.60]差不多的姑娘[00:06.37]追逐差不多的漂亮[00:11.77]她們差不多的願望[00:17.08]牽著她們鼻子方向[00:23.06]我回到差不多的家[00:24.30]躺在差不多的沙發[00:25.94]微博差不多的刷 都吃著差不多的瓜[00:28.39]那標題差不多的炸 八著差不多的卦[00:31.17]網友差不多的嘴弄髒了差不多的話[00:34.03]一條差不多的事業線 抓差不多的眼[00:36.60]看著差不多的留言 都是差不多的賤[00:39.41]到處差不多的Baby 比著差不多的基尼[00:42.09]舉著差不多的V 擠著差不多的D[00:44.89]在差不多的街頭 擺著差不多的Pose[00:47.40]跟差不多的潮流 整了差不多的Nose[00:50.08]交差不多的男友 走得差不多的Close[00:52.58]供差不多的樓 送差不多的Rose[00:55.62]跳著差不多的舞 扭著差不多的屁股[00:58.44]差不多的思路 嫌差不多的腿粗[01:01.20]看差不多的臉書 人差不多都想哭[01:03.87]女孩差不多的路 都差不多無助[01:06.96]差不多的姑娘[01:11.61]追逐差不多的漂亮[01:17.09]她們差不多的願望[01:22.54]牽著她們鼻子方向[01:27.74]都露著差不多的腰[01:29.69]Fake著差不多的微笑[01:31.22]撒著差不多的嬌 關係差不多的靠[01:33.78]抱 差不多的大腿 語氣差不多的騷[01:36.49]靠 差不多的方法 買了差不多的包[01:39.02]都逞著差不多的強[01:40.50]所以講話差不多的嗆[01:42.33]差不多思想 都有著差不多狹窄審美觀[01:44.97]差不多 的彈 差不多 的讚[01:47.76]為差不多 的閃 光 差不多 的忙[01:50.53]喝差不多的紅酒 啃著差不多的肉[01:53.07]對差不多的鏡頭 演著差不多的秀[01:55.62]圖差不多的修 修得差不多的瘦[01:58.31]身邊差不多的密友 都是差不多的Low[02:01.07]OH 差不多的優越感[02:02.46]寫在差不多的臉上[02:04.03]在差不多的機場 走差不多紅的地毯[02:06.75]差不多 的妝 差不多 的浪[02:09.47]裙子差不多 的短 家裡差不多 的髒[02:12.40]差不多的姑娘[02:16.99]追逐差不多的漂亮[02:22.49]她們差不多的願望[02:27.88]牽著她們鼻子方向[02:33.93]差不多的你 差不多的我[02:36.01]差不多的她 差不多的傻[02:38.11]聽著差不多的廢話[02:39.65]差不多的那些烏鴉 又嘻嘻哈哈[02:42.44]吱吱又喳喳 都差不多的瞎[02:44.84]差不多姑娘 都土生土長 在有毒的土壤[02:48.57]差不多都曾對鏡子裡的自己失望[02:51.30]差不多都遺忘 沒有武裝的模樣[02:53.95]這差不多的症狀 誇張[02:58.95]而現在各位姑娘 這裡我要分享[03:01.76]曾經的我都一樣 有差不多的憂傷[03:04.54]差不多兩個禮拜沒有吃飯[03:06.99]差不多我就把命給送上[03:09.94]數不盡的差不多 都差不多[03:11.39]差不多 人生真的不該這麼過[03:14.57]像我唱的那首歌[03:15.98]差不多的虛榮如果能夠看破[03:18.17]只是差不多的那個 泡沫[03:24.31] 感謝 封光  提供動態歌詞 感謝 Ig :@_fake_love_3_9  修正歌詞
"
7, 岩石裡的花 (Love Finds A Way),"作詞：G.E.M. 鄧紫棋作曲：G.E.M. 鄧紫棋監製：Lupo Groinig當 愛還在溫室裡醞釀當眼裡只有彼此的臉龐以為來日方長像 最天真的孩子一樣曾以為抱緊我那雙肩膀會永遠在身旁時間像 最洶湧的巨浪我們在懸崖上 寸步也艱難但愛是 不回頭的流浪雙眼若哭乾 就睡一場岩石裡的花會開 離開的你會回來黑夜再漫長 眼淚再流淌緊握你的雙手絕不放岩石裡的花會開 倔強的我會等待無悔的等待 是我對你無聲的告白像 沉入不見底的海洋繁鬧世界裡的潮落潮漲與我痛癢無關倔強 是不被理解的勇敢當世界一遍遍勸我投降我卻不曾絕望更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 思念像 被折斷的翅膀流落回憶路上 飛不出過往已把你 烙印在我心上今夜一個人 也不孤單岩石裡的花會開 離開的你會回來黑夜再漫長 眼淚再流淌緊握你的雙手絕不放岩石裡的花會開 倔強的我會等待無悔的等待 是我對你最瘋狂的愛無悔的等待因為愛 無悔的等待岩石裡的花會開 離開的你會回來黑夜再漫長 眼淚再流淌緊握你的雙手絕不放岩石裡的花會開 倔強的我會等待無悔的等待 是我對你最瘋狂的愛[00:02.09]岩石裡的花 (Love Finds A Way)[00:03.44][00:05.51]作詞：G.E.M. 鄧紫棋[00:06.91]作曲：G.E.M. 鄧紫棋[00:08.32]監製：Lupo Groinig[00:09.56][00:10.76][00:17.06]當 愛還在溫室裡醞釀[00:22.37]當眼裡只有彼此的臉龐[00:26.90]以為來日方長[00:29.86][00:33.51]像 最天真的孩子一樣[00:38.82]曾以為抱緊我那雙肩膀[00:43.42]會永遠在身旁[00:46.65][00:49.29]時間像 最洶湧的巨浪[00:55.89]我們在懸崖上[01:00.02]寸步也艱難[01:03.57][01:05.98]但愛是 不回頭的流浪[01:12.64]雙眼若哭乾[01:17.61]就睡一場[01:20.45][01:21.77]岩石裡的花會開[01:25.81]離開的你會回來[01:29.83]黑夜再漫長 眼淚再流淌[01:34.07]緊握你的雙手絕不放[01:38.23]岩石裡的花會開[01:42.43]倔強的我會等待[01:46.47]無悔的等待[01:48.72]是我對你無聲的 告白[01:54.10][02:01.47][02:08.34]像 沉入不見底的海洋[02:14.05]繁鬧世界裡的潮落潮漲[02:18.66]與我痛癢無關[02:22.10][02:24.45]倔強[02:26.40]是不被理解的勇敢[02:30.59]當世界一遍遍 勸我投降[02:35.13]我卻不曾絕望[02:38.84][02:41.04]思念像 被折斷的翅膀[02:47.76]流落回憶路上 飛不出過往[02:57.44]已把你 烙印在我心上[03:04.31]今夜一個人[03:09.30]也不孤單[03:13.02][03:13.58]岩石裡的花會開[03:17.58]離開的你會回來[03:21.68]黑夜再漫長[03:23.65]眼淚再流淌[03:25.83]緊握你的雙手絕不放[03:30.11]岩石裡的花會開[03:34.16]倔強的我會等待[03:38.20]無悔的等待[03:40.28]是我對你最瘋狂的愛[03:47.11][03:47.21]無悔的等待[03:51.28]因為愛[03:55.42]無悔的等待[04:00.29][04:01.07]岩石裡的花會開[04:05.13]離開的你會回來[04:09.26]黑夜再漫長[04:11.40]眼淚再流淌[04:13.40]緊握你的雙手絕不放[04:17.73]岩石裡的花會開[04:21.60]倔強的我會等待[04:25.72]無悔的等待[04:27.86]是我對你 最瘋狂的愛[04:33.39] 感謝 迪亞  提供動態歌詞
"
8, WHY,"作詞：G.E.M.鄧紫棋作曲：G.E.M.鄧紫棋WHY也不是缺一個擁抱我又不是沒你就死掉我們的合照  我早刪掉連電話號  也都換掉為什麼對你  卻還忘不掉我不知道  Why do I love you so我想知道  Why do I love you so都過了那麼久  我為什麼依舊在告別你的路上一直地逗留Why do I love you soOh Why Why Why...為何世界圍著你轉動少了你時針都不願動為何我一人  兩份晚餐為何依然  點著燭光更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 戒掉舊習慣  怎麼那麼難我不知道  Why do I love you so我想知道  Why do I love you so都過了那麼久  我為什麼依舊在告別你的路上一直地逗留Why do I love you soOh Why Why Why...你像毒藥  越想戒掉  思念越咆哮無可救藥  我滿腦  都是你都是你都是你Why Do I Why Do I Why Do I我不知道  Why do I love you so我想知道  Why do I love you so都過了那麼久  我為什麼依舊在告別你的路上一直地逗留Why do I love you soOh Why Why Why...
"
9, 睡皇后,"Queen G作詞：G.E.M. 鄧紫棋作曲：G.E.M. 鄧紫棋編曲：Lupo Groinig監制：Lupo Groinig然後沒然後 曾也夢過 沒然後忙碌一對手 在某夜裡 突然消瘦時間它於哪裡悄悄偷走昂貴的心願逐漸被鐵銹何日發覺望透 世上從沒獨角獸遺忘我是我 誰人的錯世界當然看重成與禍遺忘躍動過那心窩世界只敬仰最優秀的一個難道要醒了嗎 沉睡半生童話用滿腔的志氣踏遍千里為何仍似在自轉原地無人記起了嗎 從前無價童話夢想的圖畫 像海邊泥沙 風吹已散然後十年後 人有幾個 十年後成長得太久 連快樂也 漸為罕有慣了天天埋頭永遠不休更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 連間中一頓飯亦極歉疚如像變了木偶 每日呆滯地奮鬥難道繼續要無目的過進退怎能隨人潮跌墮重燃那漸冷卻的火青春瘋過痛過先不會枉過皇后記起了嗎 沉睡半生童話用最初的勇氣再次高飛無論成與敗亦不會死皇后覺醒了嗎 重拾無價童話夢想的圖畫 再一追逐它 天不太晏這大世界要闖闖不必怕淺窄眼光再別蓋過禾稈中你發的光皇后記起了嗎 沉睡半生童話就算一刻洩氣別要捨棄人若沒有夢這生似死皇后覺醒了嗎 重拾無價童話夢想的圖畫 有天開成花 總不太晏
"
