,Name,Lyric
0, 孤勇者,"英雄聯盟：雙城之戰動畫劇集中文主題曲作詞：唐恬作曲：錢雷編曲：錢雷都 是勇敢的你額頭的傷口 你的 不同 你犯的錯都 不必隱藏你破舊的玩偶 你的 面具 你的自我他們說 要帶著光 馴服每一頭怪獸他們說 要縫好你的傷 沒有人愛小丑為何孤獨 不可 光榮人只有不完美 值得歌頌誰說污泥滿身的不算英雄愛你孤身走暗巷愛你不跪的模樣愛你對峙過絕望不肯哭一場愛你破爛的衣裳卻敢堵命運的槍愛你和我那麽像缺口都一樣去嗎？配嗎？這襤褸的披風戰嗎？戰啊！以最卑微的夢致那黑夜中的嗚咽與怒吼誰說站在光裡的才算英雄他們說 要戒了你的狂 就像擦掉了污垢他們說 要順台階而上 而代價是低頭那就讓我 不可 乘風你一樣驕傲著 那種孤勇誰說對弈平凡的不算英雄更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 愛你孤身走暗巷愛你不跪的模樣愛你對峙過絕望不肯哭一場愛你破爛的衣裳卻敢堵命運的槍愛你和我那麽像缺口都一樣去嗎？配嗎？這襤褸的披風戰嗎？戰啊！以最卑微的夢致那黑夜中的嗚咽與怒吼誰說站在光裡的才算英雄你的斑駁 與眾不同你的沈默 震耳欲聾 You Are The Hero愛你孤身走暗巷愛你不跪的模樣愛你對峙過絕望不肯哭一場 (You Are The Hero)愛你來自於蠻荒一生不借誰的光你將造你的城邦在廢墟之上去嗎？去啊！以最卑微的夢戰嗎？戰啊！以最孤高的夢致那黑夜中的嗚咽與怒吼誰說站在光裡的才算英雄[00:00.00]孤勇者 (《英雄聯盟：雙城之戰》動畫劇集中文主題曲) - 陳奕迅[00:07.43]詞：唐恬[00:08.22]曲：錢雷[00:08.84]編曲：錢雷[00:09.55]吉他：高飛[00:10.35]人聲錄音師：利偉明[00:11.57]人聲錄音棚：雅旺錄音室[00:12.83]Vocal edite：汝文博@SBMS Beijing[00:13.07]混音/母帶：週天澈@Studio 21A[00:14.53]詞版權管理方：北京夢織音傳媒有限公司[00:15.40]曲版權管理方：索尼音樂版權代理(北京)有限公司[00:16.67]錄音作品及MV版權：EAS MUSIC LTD[00:17.02]出品監製：霍錦/盧泓宇[00:18.32]聯合出品方：拳頭遊戲/騰訊遊戲/騰訊視頻[00:19.43]製作人：錢雷[00:22.16]都是勇敢的[00:28.41]你額頭的傷口你的不同你犯的錯[00:36.96]都不必隱藏[00:43.41]你破舊的玩偶你的面具你的自我[00:51.57]他們說要帶著光馴服每一頭怪獸[00:58.74]他們說要縫好你的傷沒有人愛小丑[01:05.76]為何孤獨不可光榮[01:09.11]人只有不完美值得歌頌[01:13.35]誰說污泥滿身的不算英雄[01:20.84]愛你孤身走暗巷[01:22.62]愛你不跪的模樣[01:24.49]愛你對峙過絕望[01:26.33]不肯哭一場[01:28.23]愛你破爛的衣裳[01:29.99]卻敢堵命運的槍[01:31.86]愛你和我那麼像[01:33.76]缺口都一樣[01:35.64]去嗎 配嗎 這襤褸的披風[01:39.39]戰嗎 戰啊 以最卑微的夢[01:43.00]致那黑夜中的嗚咽與怒吼[01:50.24]誰說站在光裡的才算英雄[02:08.59]他們說要戒了你的狂[02:11.57]就像擦掉了污垢[02:16.15]他們說要順台階而上而代價是低頭[02:23.45]那就讓我不可乘風[02:26.52]你一樣驕傲著那種孤勇[02:30.90]誰說對弈平凡的不算英雄[02:38.37]愛你孤身走暗巷[02:40.17]愛你不跪的模樣[02:41.99]愛你對峙過絕望[02:43.93]不肯哭一場[02:45.75]愛你破爛的衣裳[02:47.56]卻敢堵命運的槍[02:49.39]愛你和我那麼像[02:51.33]缺口都一樣[02:53.24]去嗎 配嗎 這襤褸的披風[02:56.83]戰嗎 戰啊 以最卑微的夢[03:00.50]致那黑夜中的嗚咽與怒吼[03:07.84]誰說站在光裡的才算英雄[03:12.73]你的斑駁與眾不同[03:19.88]你的沉默震耳欲聾[03:25.76]You Are The Hero[03:26.55]愛你孤身走暗巷[03:28.16]愛你不跪的模樣[03:29.95]愛你對峙過絕望[03:31.83]不肯哭一場 (You Are The Hero)[03:33.90]愛你來自於蠻荒[03:35.48]一生不借誰的光[03:37.32]你將造你的城邦[03:39.22]在廢墟之上[03:41.17]去嗎 去啊 以最卑微的夢[03:44.78]戰嗎 戰啊 以最孤高的夢[03:48.46]致那黑夜中的嗚咽與怒吼[03:55.82]誰說站在光裡的才算英雄 感謝 楓翎  提供動態歌詞
"
1, 是但求其愛,"作詞：小克作曲：林家謙編曲：林家謙監製：陳奕迅 / 林家謙若愛是但求開心 我問要不要求其傷心論盡半生不懂愛回頭沒有心計 劃未來才來獨處 好好檢討 什麼叫愛你 便 來混亂裡結識到你浪漫叫一切 粉飾 同盼待某一剎驟覺 感情深得可愛在傾吐那刻 回響感情 從不是愛若愛是但求終身 你問怕只怕求其終生 被困你寵愛父母親我為良朋憐憫怎都算是個好人若愛是但求衷心 我問要不要求其忠心縱雙方理念多相同卻不相融莫論配襯再 會 時更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 沒料到深深擁抱合力擦出了 火花 和意外某一剎幻覺 戀情可一可再在參透那刻 回想戀情全不是 愛若愛是但求終身 你問怕只怕求其終生 被困你工作覓滿分我為前途勤奮怎可再另有心神若愛是但求衷心 我問要不要求其忠心縱雙方理念多相同卻不相融莫論配襯若愛是但求 安心怕只怕求其 安穩若愛是但求今生 抱憾要不要求其他生看雙方各自的本能愛的傷痕極度配襯愛七色五味多紛陳更多灰塵落入五蘊
"
2, 相信你的人,"電影 銀河補習班 推廣曲作詞：姚若龍作曲：陳小霞編曲：陳輝陽、 倫偉傑我的腦海裡 有許多美景不知道怎麼形容給你聽越特別的人 越容易孤寂不凡很容易害平凡恐懼讓狂熱成為 生命的指引多累都有著微笑的眼睛不停地思考 像拍打羽翼一定能飛往愛仰望的星你也需要 一個相信你的人暖暖看你 不同於人們的眼神當你懷抱傷痕 仍舊朝夢想狂奔他會心疼不忍 同時又為你興奮你很需要 一個相信你的人緊緊抱你 在雪還沒融的早晨無所求的給予 所以不覺得犧牲最無聲的關懷 情感也最濃烈 而深沈更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 永遠 不要被成見綁住永遠 相信勇敢是魔術永遠堅持 今生去體悟永遠永遠 別認輸你也需要 一個相信你的人暖暖看你 不同於人們的眼神當你懷抱傷痕仍舊朝夢想狂奔他會心疼不忍 同時又為你興奮你很需要 一個相信你的人緊緊抱你 在雪還沒融的早晨無所求的給予 所以不覺得犧牲最無聲的關懷 情感也最濃烈 而深沈你的腦海裡 有許多美景不知道怎麼形容 給我聽就手舞足蹈 就口齒不清我放下自己也想聽仔細[00:00.35]陳奕迅 - 相信你的人(《銀河補習班》電影推廣曲)[00:02.07]作詞：姚若龍[00:02.73]作曲：陳小霞[00:03.74]編曲：陳輝陽、倫偉傑[00:05.05]監製：陳輝陽[00:05.71]OP：Great Music Publishing Ltd.[00:06.84]SP：Sony/ATV Music Publishing(Hong Kong)、Roof Top Music Studio[00:08.21]SP：Sony/ATV Music Publishing(Hong Kong)[00:14.72]我的腦海裡有許多美景[00:22.55]不知道怎麼形容給你聽[00:29.45]越特別的人越容易孤寂[00:37.59]不凡很容易害平凡恐懼[00:44.41]讓狂熱成為生命的指引[00:52.35]多累都有著微笑的眼睛[00:59.25]不停地思考像拍打羽翼[01:07.41]一定能飛往愛仰望的星[01:14.43]你也需要[01:17.76]一個相信你的人[01:21.76]暖暖看你[01:25.05]不同於人們的眼神[01:29.29]當你懷抱傷痕[01:33.18]仍舊朝夢想狂奔[01:37.42]他會心疼不忍[01:39.49]同時又為你興奮[01:44.44]你很需要[01:47.72]一個相信你的人[01:51.77]緊緊抱你[01:55.06]在雪還沒融的早晨[01:59.30]無所求的給予[02:03.65]所以不覺得犧牲[02:07.34]最無聲的關懷[02:10.22]情感也最濃烈而深沉[02:19.21]永遠不要被成見綁住[02:23.10]永遠相信勇敢是魔術[02:26.78]永遠堅持親身去體悟[02:30.47]永遠永遠別認輸[02:37.04]你也需要[02:40.28]一個相信你的人[02:44.37]暖暖看你[02:47.61]不同於人們的眼神[02:51.96]當你懷抱傷痕[02:55.75]仍舊朝夢想狂奔[02:59.90]他會心疼不忍[03:01.97]同時又為你興奮[03:07.22]你很需要[03:10.26]一個相信你的人[03:14.63]緊緊抱你[03:17.56]在雪還沒融的早晨[03:21.91]無所求的給予[03:26.16]所以不覺得犧牲[03:29.95]最無聲的關懷[03:32.68]情感也最濃烈而深沉[03:44.63]你的腦海裡有許多美景[03:52.42]不知道怎麼形容給我聽[03:59.24]就手舞足蹈就口齒不清[04:07.32]我放下自己也想聽仔細 感謝 Coke 阿威  提供歌詞 感謝 阿威  提供動態歌詞 感謝 hii Evan  修正歌詞
"
3, 我們萬歲,"作詞：陳詠謙作曲：翁瑋盈漸漸頭上染了白　你一樣很美純粹發自我真心別皺眉月亮是否仍然認得當天的你約會每一刻亦帶著孩子氣常為碎事而慶祝　懷念幼稚時犯的錯真想與你　重遊那快樂故地情人遊天地　日月換行李如果失憶　我渴望再多一次認識你與你說些無聊事　挽手幾千里證明可不捨不棄吻停不知幾多歲的你特別鳴謝你製造　更歡樂的我除了每月有幾天受折磨段段日子回頭望清怎麼走過確定這碉堡沒有事能攻破曾為憤怒而痛哭　回望厭悶時越的界珍惜有你仍然會對著我坐情人遊天地　日月換行李更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 如果失憶　我渴望再多一次認識你與你說些無聊事　挽手幾千里證明可不捨不棄　吻停你到下世紀變幻　繼續　變幻　拆不開我們　已成　我們還好有愛在　懷中感慨笑著　喊著　抱著如萬世不朽只有愛　多好能擁抱未來情人遊天地　日月換行李從今開始　懶理會世間一切是與非與你說些無聊事　再走幾千里永恆的不捨不棄　降臨你我合葬的墓碑(能從頭偷望你)(能從頭追逐你)(能從頭親近你)我會好好珍惜你(能從頭呵護你)(能從頭感動你)能從頭享受愛你 感謝 Wanderer  提供歌詞 感謝 陳小萌  提供相關著作人姓名
"
4, 破壞王,"We Zzzid It作詞：陳詠謙作曲：王雙駿編曲：the duo bandThis is the duo band, ah百厭慾太強　太過技癢我拒絕正常　秒秒轉風向再刮亂氣場　情緒高漲趁著性格有稜角　鑽探　挖掘　灌溉眾生相讓每一粒種子開始生長感覺箭咀向上　未算囂張我過份好奇　你說你有道理聽過便皺眉　退化到輕機創意被隔離　牆厚幾公里有名有姓到我怕了你　看著你我嘆口氣悶蛋一打開不 OK　我現在帶你飛頑童在破壞　搞破壞　踩上鬼馬的板塊頑童在破壞　搞破壞　擺副嘴臉走出街頑童在破壞　搞破壞　玩到唉呀唉呀過咗界頑童在破壞　搞破壞　通處打個交叉歪一致通過可以不理那些保守的乖乖(Listen up!)理智定野蠻　看看每個元旦哪個十個彈　哪個笑一餐要變又怕煩　純為了搶眼要團結會見到鳥獸散　抱住過去過多晚更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 這麼東歪西倒的空間　你直撞我轉彎頑童在破壞　搞破壞　踩上鬼馬的板塊頑童在破壞　搞破壞　擺副嘴臉走出街頑童在破壞　搞破壞　玩到唉呀唉呀過咗界頑童在破壞　搞破壞　通處打個交叉歪一致通過可以不理那些保守的乖乖Listen up! Here we go againOn the train, on the same planeBest friends we becameOn the road, town to townHappiness is all aroundThe gang is naughty, a little crazyFrom time to time, a little lazyKnock, knock, who's there? 我唔知呀！It's Janet!!!頑童在破壞　搞破壞　踩上鬼馬的板塊頑童在破壞　搞破壞　擺副嘴臉走出街頑童在破壞　搞破壞　玩到唉呀唉呀過咗界頑童在破壞　搞破壞　通處打個交叉歪頑童在破壞　搞破壞　踩上鬼馬的板塊頑童在破壞　搞破壞　逗留灰色那一帶起身再破壞　搞破壞　玩到唉呀唉呀過咗界頑童在破壞　搞破壞　通處打個交叉歪一致通過可以不理那些保守的乖乖 感謝 好青年  提供歌詞 友站連結： 好青年的音樂清單　
"
5, 漸漸,"作詞：陳詠謙作曲：張傑邦編曲：the duo band在夜晚 說早晨閒談後 你更像別人字幕裡 說冬日灰暗回答你 這邊的氣氛就像你 已記不起了連懷舊 也格外寂寥雜物裡 遺物和舊照誰變賣 誰棄掉 誰看到破曉漸漸我甚麼都不想知道我覺得迷失竟比醒覺好漸漸我離開都不想宣佈怕記憶 最後變話題 太俗套別讓我 再失眠沉迷後 有美夢未圓現實裡 你飄蕩很遠還勸我 不應該眷戀更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 但是我 卻看得穿了誰承諾 似信念動搖背誦了 閒話和玩笑忘記吧 誰記住 誰要我發表漸漸我甚麼都不想知道我覺得迷失竟比醒覺好漸漸我離開都不想宣佈怕記憶 最後變話題 太俗套寂寞 寂寞出於你的空白剩下我被記憶掌摑如留下語錄誰來看懷念只可鋪滿被單漸漸我聞歌都不想起舞我覺得我失去一切知覺極美好渾噩哪及記得恐怖記得種種感覺 但欠你的廝守到老[00:00.67]陳奕迅 漸漸[00:02.70][00:04.75]作詞：陳詠謙[00:06.59]作曲：張傑邦[00:08.40]編曲：the duo band[00:10.78][00:14.81]在夜晚 說早晨[00:21.30]閒談後 你更像別人[00:27.62]字幕裡 說冬日灰暗[00:32.62]回答你 這邊的氣氛[00:37.87][00:39.41]就像你 已記不起了[00:47.19]連懷舊 也格外寂寥[00:54.03]雜物裡 遺物和舊照[00:58.73]誰變賣 誰棄掉 誰看到破曉[01:04.88][01:07.11]漸漸我甚麼都不想知道[01:13.62]我覺得迷失竟比醒覺好[01:19.86]漸漸我離開都不想宣佈[01:26.59]怕記憶 最後變話題 太俗套[01:35.98][01:46.37]別讓我 再失眠[01:52.87]沉迷後 有美夢未圓[01:59.32]現實裡 你飄蕩很遠[02:04.35]還勸我 不應該眷戀[02:10.20][02:12.30]但是我 卻看得穿了[02:18.67]誰承諾 似信念動搖[02:25.45]背誦了 閒話和玩笑[02:30.41]忘記吧 誰記住 誰要我發表[02:36.65][02:38.64]漸漸我甚麼都不想知道[02:45.07]我覺得迷失竟比醒覺好[02:51.70]漸漸我離開都不想宣佈[02:58.03]怕記憶 最後變話題 太俗套[03:04.50][03:06.73]寂寞 寂寞出於你的空白[03:14.27]剩下我被記憶掌摑[03:20.96]如留下語錄誰來看[03:25.65]懷念只可鋪滿被單[03:32.21][03:34.36]漸漸我聞歌都不想起舞[03:41.05]我覺得我失去一切知覺極美好[03:47.13]渾噩哪及記得恐怖[03:52.03]記得種種感覺 但欠你的廝守到老[04:03.87][04:11.00] 感謝 養一隻  提供動態歌詞
"
6, 我們,"電影 後來的我們 主題曲作詞：葛大為作曲：陳建騏編曲：陳建騏該說的 別說了你懂得 就夠了真的有 某一種悲哀連淚也不能流只能 目送我最大的遺憾是你的遺憾 與我有關沒有句點 已經很完美了何必誤會 故事 沒說完還能做什麼呢我連 傷感 都是 奢侈的我一想念 你就那麼近但終究 你都不能陪我到 回不去的 遠方原來我很快樂只是不願承認在我懷疑 世界時你給過我 答案更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我最大的遺憾是你的遺憾 與我有關沒有句點 已經很完美了何必誤會 故事 沒說完還能做什麼呢我連 傷感 都是 奢侈的我一想念 你就那麼近但終究 你都不能陪我到 回不去的 遠方原來我很快樂只是不願承認在我懷疑 世界時你給過我 答案我感覺到幸福是看見你幸福曾經親手把時間變慢可惜我們 沒有等 我們[ti:陳奕迅 - 我們][00:00.19]陳奕迅 - 我們(《後來的我們》電影主題曲)[00:04.37]詞：葛大為[00:05.31]曲：陳建騏[00:06.56]編曲：陳建騏[00:06.76]吉他：董運昌[00:07.79]絃樂編寫：劉涵[00:08.02]大提：劉涵(隱分子樂團)[00:08.21]小二：曲靜家[00:08.41]中提：牟啟東[00:09.66]錄音室：Avon Studio/皮老闆錄音室[00:10.72]錄音師：tsamchan/林鉑堅[00:10.98]混音師：Simon Li@nOiz[00:11.79]製作企劃統籌：葛大為[00:23.86]該說的 別說了[00:29.37]你懂得 就夠了[00:36.13]真的有 某一種悲哀[00:40.97]連淚也不能流[00:43.99]只能目送[00:48.54]我最大的遺憾[00:55.15]是你的遺憾 與我有關[01:00.94]沒有句點 已經很完美了[01:06.30]何必誤會故事 沒說完[01:13.74]還能做什麼呢[01:20.35]我連傷感都是 奢侈的[01:27.00]我一想念 你就那麼近[01:31.22]但終究 你都不能[01:34.28]陪我到 回不去的遠方[01:39.83]原來我很快樂[01:45.76]只是不願承認[01:52.12]在我懷疑世界時[01:58.66]你給過我答案[02:29.89]我最大的遺憾[02:35.69]是你的遺憾 與我有關[02:42.56]沒有句點 已經很完美了[02:47.25]何必誤會故事 沒說完[02:55.22]還能做什麼呢[03:01.39]我連傷感都是 奢侈的[03:08.05]我一想念 你就那麼近[03:12.30]但終究 你都不能[03:15.42]陪我到 回不去的遠方[03:20.99]原來我很快樂[03:26.54]只是不願承認[03:33.03]在我懷疑 世界時[03:39.20]你給過我 答案[03:45.49]我感覺到幸福[03:52.10]是看見你幸福[03:58.27]曾經親手把時間變慢[04:03.12]可惜我們沒有等 我們 感謝 rlo84  修正歌詞
"
7, 放(Budweiser EDM Remix),"作詞：葛大為作曲：Jerald Chan如果世界 都變成一片海灘想慵懶就慵懶誰管得著 多好快要淡忘 我每天為誰而戰衣服穿整齊 情緒要按耐求之不得 原地解散放開形象 跳出約束的框框放下習慣 自由需要一點膽量更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 放開計較 無視空洞的理想放下負擔 為所欲為你說的算日復一日 讓相似新聞洗版被生活制約 還不如流浪漢哪來這些 不從人願Oh放開形象 跳出約束的框框放下習慣 自由需要一點膽量放開計較 無視空洞的理想放下負擔 為所欲為你說的算
"
8, 讓我留在你身邊,"電影 擺渡人 主題曲作詞：唐漢霄作曲：唐漢霄我從來不說話因為我害怕 沒有人回答我從來不掙扎因為我知道 這世界太大太多時間浪費 太多事要面對太多已無所謂太多難辨真偽太多紛擾是非 在你身邊是誰最渺小的我 有大大的夢時間向前走一定只有路口沒有盡頭紛紛擾擾這個世界 所有的了解只要 讓我留在你身邊更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 最渺小的我 有大大的夢我願意安靜的活在每個有你的角落如果生活還有什麼 會讓你難過別怕 讓我留在你身邊 都陪你渡過最渺小的我 最卑微的夢我發現這世界沒有那麼那麼的不同現實如果對你不公 別計較太多走吧 暴風雨後的彩虹也許會落空 也許會普通也許這庸庸碌碌的黑白世界你不懂生命中所有的路口 絕不是盡頭別怕 讓我留在你身邊 都陪你度過[01:36.23]陳奕迅[01:39.05][01:41.83]讓我留在你身邊[01:44.67][01:47.52]電影【擺渡人】主題曲[01:50.34]作詞：唐漢霄[01:51.20]作曲：唐漢霄[01:53.05][00:00.90]我從來不說話[00:04.20]因為我害怕 沒有人回答[00:12.36]我從來不掙扎[00:15.33]因為我知道 這世界太大[00:21.02][00:23.28]太多時間浪費 太多事要面對[00:29.12]太多已無所謂[00:34.73]太多難辨真偽[00:37.51]太多紛擾是非 在你身邊是誰[00:43.06][00:46.42]最渺小的我 有大大的夢[00:52.12]時間向前走一定只有路口沒有盡頭[00:58.43]紛紛擾擾這個世界 所有的了解[01:04.40]只要 讓我留在你身邊[01:08.20][01:08.92]最渺小的我 有大大的夢[01:14.62]我願意安靜的活在每個有你的角落[01:20.97]如果生活還有什麼 會讓你難過[02:37.65][01:27.00]別怕 讓我留在你身邊[01:31.55][02:44.90]都陪你渡過[01:33.61][01:54.38]最渺小的我 最卑微的夢[01:59.79]我發現這世界沒有那麼那麼的不同[02:06.20]現實如果對你不公 別計較太多[02:12.16]走吧 暴風雨後的彩虹[02:19.49]也許會落空 也許會普通[02:25.18]也許這庸庸碌碌的黑白世界你不懂[02:31.49]生命中所有的路口 絕不是盡頭[02:37.12]別怕 讓我留在你身邊 都陪你度過 感謝 酷寶 하의산  提供動態歌詞
"
9, 四季,"作詞：小克作曲：周國賢編曲：C.Y.Kong監製：C.Y.Kong我記起那年春天 得我一個不知的欺騙如天空的污染 終於都上演我記起那年暑天 友情愛情兩邊都發現虧欠情路上跌損最後已事過境遷 長街風景已變再度回想誰的臉 往日那位少年又再路過事發景點痛傷少不免 仍是會流淚失眠尚記得當天貫心的一箭我記起那年秋天 飛過一隻心酸小孤燕半枯乾的枝節於窗邊發展我記起那年的冬天 半矇半矓困於繭裡面兜轉緣份未看穿更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 最後已事過境遷 長街風景已變再度回想誰的臉 往日那位少年又再路過事發景點 痛傷少不免仍是會流淚失眠 淚染穿心穿肺那一點季度裡事過境遷 蝴蝶終於蛻變再沒留戀誰的臉 往日兩位少年就算讓世事再翻演 會否不改變仍是會離別 糾纏拔去穿心一箭感恩不怨我感激這年春天 花再開遍祝福相獻待那邱比特放出新一箭[00:00.09]陳奕迅[00:03.27][00:04.96]四季[00:06.55][00:08.27]作詞：小克[00:09.98]作曲：周國賢[00:11.59]編曲：C.Y.Kong[00:13.27]監製：C.Y.Kong[00:15.01][00:15.42]我記起那年春天 得我一個不知的欺騙[00:22.93]如天空的污染 終於都上演[00:28.67]我記起那年暑天 友情愛情兩邊都發現虧欠[00:37.94]情路上跌損[00:40.66][00:42.37]最後已事過境遷 長街風景已變[00:47.78]再度回想誰的臉 往日那位少年[00:55.51]又再路過事發景點[00:58.05]痛傷少不免 仍是會流淚失眠[01:08.17]尚記得當天貫心的一箭[01:12.55][01:29.26]我記起那年秋天 飛過一隻心酸小孤燕[01:36.50]半枯乾的枝節於窗邊發展[01:42.81]我記得那年的冬天 半矇半矓困於繭裡面[01:50.52]兜轉緣份未看穿[01:54.61][01:55.98]最後已事過境遷 長街風景已變[02:01.55]再度回想誰的臉 往日那位少年[02:09.36]又再路過事發景點 痛傷少不免[02:14.89]仍是會流淚失眠 淚染穿心穿肺那一點[02:27.47][02:53.17]季度裡事過境遷 蝴蝶終於蛻變[02:58.61]再沒留戀誰的臉 往日兩位少年[03:06.20]就算讓世事再翻演 會否不改變[03:11.87]仍是會離別 糾纏[03:18.88]拔去穿心一箭感恩不怨[03:23.85][03:26.72]我感激這年春天 花再開遍祝福相獻[03:35.09]待那邱比特放出新一箭[03:40.25] 感謝 富豪  提供歌詞 感謝 T Damon 酷寶  修正歌詞
"
